ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
20337	0.600307	2.88e-01	1.0846431	-5.600618	0.389049	NECTIN3	nectin cell adhesion molecule 3
4386	0.600361	2.88e-01	1.0845526	-5.600711	0.2826474	ANKRD52	ankyrin repeat domain 52
13550	0.600375	2.88e-01	1.0845047	-5.60076	0.296753	RANBP3	RAN binding protein 3
10933	0.600393	2.88e-01	-1.0844539	-5.600813	-0.349028	ATG9A	autophagy related 9A
24689	0.600455	2.88e-01	-1.0843362	-5.600934	-0.2398053		
38663	0.600455	2.88e-01	1.0843212	-5.600949	0.3540284		
34121	0.60051	2.88e-01	-1.0842294	-5.601044	-0.4667873		
8896	0.600528	2.88e-01	-1.0841773	-5.601097	-0.4022447	MLN	motilin
42402	0.600557	2.88e-01	-1.0841048	-5.601172	-0.2993278	LEUTX	leucine twenty homeobox
35429	0.600557	2.88e-01	-1.0840615	-5.601217	-0.4117636	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
30719	0.600557	2.88e-01	-1.0840467	-5.601232	-0.6327803	IL16	interleukin 16
42226	0.600557	2.88e-01	-1.0840182	-5.601261	-0.48861	ATP6AP1L	ATPase H+ transporting accessory protein 1 like
19083	0.600653	2.88e-01	-1.0838806	-5.601403	-0.5765263	MTSS1L	metastasis suppressor 1 like
