Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Glycolysis,-2.353372e-01,-1.058515e+00,3.426573e-01,4.751922e-01,9.970000e-01,53/199,18.59%,STMN1;AGRN;PPFIA4;GPC3;PGAM1;TSTA3;COL5A1;ALDOA;ISG20;TGFA;SOX9;CHST4;CXCR4;P4HA2;PYGB;B4GALT2;NDUFV3;PPIA;TXN;DCN;GAL3ST1;PSMC4;FUT8;RBCK1;STC1;ENO2;MDH1;ALG1;KDELR3;PKM;XYLT2;GPC4;TPI1;QSOX1;ME2;CHST2;PFKP;DSC2;PGLS;TGFBI;UGP2;VCAN;SPAG4;AKR1A1;SRD5A3;SDC3;ELF3;VLDLR;GYS1;HS6ST2;MED24;GPC1;STC2
prerank,Protein Secretion,2.734133e-01,1.054842e+00,3.664260e-01,6.197843e-01,1.000000e+00,25/95,14.29%,DST;IGF2R;KIF1B;MAPK1;ARF1;TPD52;ABCA1;RAB5A;SEC22B;BNIP3;EGFR;LMAN1;AP1G1;MON2;CD63;TOM1L1;RER1;ZW10;ANP32E;GBF1;ARFGAP3;TMED2;ARFIP1;SOD1;STX12
prerank,heme Metabolism,2.453874e-01,1.049968e+00,3.449541e-01,5.801898e-01,1.000000e+00,65/192,23.46%,PRDX2;LPIN2;ARHGEF12;SMOX;HTRA2;FTCD;GYPC;SLC25A37;RNF19A;BCAM;GAPVD1;MAP2K3;ALDH1L1;GCLC;DCAF11;SLC30A1;RCL1;C3;MOCOS;EZH1;SLC11A2;MPP1;PC;ATP6V0A1;ALDH6A1;CPOX;GATA1;TNRC6B;FBXO7;ACSL6;GLRX5;EIF2AK1;BLVRB;USP15;DAAM1;SELENBP1;TRIM58;CAST;ALAD;ABCG2;BTRC;CCDC28A;MYL4;ANK1;FECH;MARK3;PPOX;ELL2;CTSE;PIGQ;TFDP2;NCOA4;NNT;HMBS;RIOK3;MXI1;UROD;RAD23A;SEC14L1;RANBP10;SLC25A38;HEBP1;KAT2B;NFE2;SLC30A10
prerank,Reactive Oxygen Species Pathway,3.033315e-01,1.041186e+00,3.928571e-01,5.581612e-01,1.000000e+00,12/48,17.02%,PRDX2;EGLN2;TXNRD2;GCLC;FTL;FES;MGST1;PRDX6;PRNP;SOD1;PRDX1;MSRA
prerank,Complement,-2.197418e-01,-9.882706e-01,4.920635e-01,6.642872e-01,1.000000e+00,73/200,24.50%,PFN1;CCL5;SPOCK2;GNAI2;PLAT;CTSC;SRC;PSMB9;APOBEC3F;PRSS3;LGALS3;GNB4;RASGRP1;CTSD;CDH13;MAFF;IRF7;PLEK;LAP3;CTSV;DYRK2;RHOG;CD59;LCK;CTSS;PIK3R5;PDGFB;PIK3CG;PREP;F3;CXCL1;DOCK10;PDP1;PSEN1;C1QC;GRB2;PPP4C;LYN;COL4A2;APOBEC3G;TIMP2;TIMP1;RCE1;CD46;IRF1;CBLB;CASP1;PLAUR;CTSH;ANXA5;GZMK;PLA2G7;GNG2;SH2B3;DGKG;DOCK9;C1QA;LGMN;S100A13;LAMP2;LTA4H;SERPINA1;HPCAL4;NOTCH4;WAS;KIF2A;ADAM9;GATA3;SIRT6;GZMB;RABIF;FYN;ADRA2B
prerank,IL-6/JAK/STAT3 Signaling,-2.396623e-01,-9.537461e-01,5.602679e-01,7.541326e-01,1.000000e+00,21/87,17.07%,CSF1;STAT1;IL2RG;FAS;CXCL10;CXCL9;LTB;BAK1;IL3RA;PIK3R5;IL12RB1;CXCL1;IL10RB;CSF2RA;PDGFC;GRB2;CBL;IRF9;ITGA4;IRF1;TNFRSF21
prerank,Spermatogenesis,-2.226166e-01,-9.510737e-01,6.048565e-01,7.331243e-01,1.000000e+00,34/133,22.30%,ACRV1;ACE;GPR182;MEP1B;PACRG;CFTR;NCAPH;PHF7;SLC12A2;ALOX15;HSPA2;GFI1;RPL39L;DNAJB8;POMC;JAM3;EZH2;HBZ;STRBP;GSTM3;TOPBP1;PCSK1N;PARP2;MAST2;NEK2;OAZ3;HSPA4L;ARL4A;HSPA1L;IDE;ADCYAP1;CSNK2A2;KIF2C;SPATA6
prerank,Pperoxisome,2.402325e-01,9.479932e-01,5.555556e-01,7.837971e-01,1.000000e+00,43/104,24.67%,HAO2;TTR;ACSL5;LONP2;SLC23A2;NR1I2;CLN8;ALB;DHCR24;SLC25A17;PRDX5;ACAA1;BCL10;MLYCD;HSD17B11;CNBP;ACSL1;HSD17B4;SOD1;CRAT;EPHX2;HMGCL;PRDX1;IDI1;HSD3B7;DHRS3;IDH1;EHHADH;SIAH1;FADS1;ECH1;GNPAT;SOD2;SERPINA6;ALDH9A1;FDPS;RDH11;CADM1;FABP6;STS;IDH2;ABCC5;CAT
prerank,Oxidative Phosphorylation,2.201544e-01,9.400361e-01,6.098807e-01,7.501371e-01,1.000000e+00,49/185,17.09%,ATP1B1;HTRA2;POR;IDH3B;SUPV3L1;SDHC;NDUFS1;ETFB;NDUFC2;ABCB7;MDH2;HADHA;FXN;ACAA1;UQCRC1;BCKDHA;COX7A2;COX17;OPA1;ALDH6A1;NDUFS7;MFN2;OGDH;TOMM70;GLUD1;SLC25A6;HCCS;ECHS1;NDUFV1;ACADSB;TCIRG1;MTRR;UQCRQ;ALAS1;NDUFB8;ACADM;SDHA;MRPS15;TIMM17A;LRPPRC;CYB5A;FH;SUCLA2;PDHB;COX5B;IDH3A;HSPA9;NDUFA1;COX7B
prerank,Mitotic Spindle,-2.074393e-01,-9.379120e-01,6.382022e-01,7.470489e-01,1.000000e+00,69/198,25.32%,GSN;ARHGAP4;FLNA;CEP250;STK38L;ACTN4;ARFGEF1;NEDD9;EPB41;NCK2;ARFIP2;VCL;ARHGEF11;TUBD1;MYH9;TAOK2;EPB41L2;RICTOR;MAPRE1;DOCK2;CDC42EP1;RASA2;PREX1;CENPJ;CDC42EP4;SMC3;ABI1;CLIP2;MYH10;BCL2L11;CSNK1D;CNTROB;PLEKHG2;RFC1;ABL1;ARHGEF3;KPTN;MID1;CLASP1;MARCKS;WASF2;EZR;UXT;ABR;NEK2;NUSAP1;SYNPO;ARHGEF2;NDC80;KIF11;ARHGDIA;PIF1;ARL8A;RACGAP1;MID1IP1;KIF2C;TSC1;RASAL2;ANLN;RASA1;RAPGEF6;DYNC1H1;RAB3GAP1;CKAP5;TOP2A;BRCA2;CYTH2;KIF23;KIF3B
