ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_2038775	0.0213655	1.79e-03	3.4804488	-1.380469	0.5717652	68299771	TUBB2A	tubulin beta 2A class IIa
ILMN_1758529	0.0213671	1.79e-03	-3.4803227	-1.380767	-0.18514307	518832032	P2RX1	purinergic receptor P2X 1
ILMN_1827199	0.0213689	1.79e-03	3.4801931	-1.381073	0.17822455	3797193		
ILMN_1662935	0.0213702	1.79e-03	-3.4800263	-1.381466	-0.30600114	206597455	C1QTNF7	C1q and tumor necrosis factor related protein 7
ILMN_1824028	0.0213702	1.79e-03	-3.4799758	-1.381585	-0.18157734	4738330		
ILMN_1709474	0.0213812	1.79e-03	3.4796764	-1.382292	0.17385171	110349785	ALMS1	ALMS1, centrosome and basal body associated protein
ILMN_1795835	0.0213975	1.79e-03	3.4792445	-1.38331	0.37970544	254911031	LINC00936	long intergenic non-protein coding RNA 936
ILMN_1866290	0.0213975	1.79e-03	3.4791819	-1.383458	0.33656463	15939282	LOC102467079	uncharacterized LOC102467079
ILMN_1718830	0.0214275	1.80e-03	3.4785326	-1.38499	0.20879529	446713795	ICE2	interactor of little elongation complex ELL subunit 2
ILMN_1735811	0.0214283	1.80e-03	-3.4784212	-1.385252	-0.17658262	NA		
ILMN_1815698	0.0214361	1.80e-03	-3.4781811	-1.385819	-0.16092974	NA		
ILMN_1812678	0.0214492	1.80e-03	3.4778437	-1.386614	0.66373282	51972211	AGMO	alkylglycerol monooxygenase
ILMN_1676335	0.0215036	1.80e-03	3.4767142	-1.389278	0.13626626	NA		
ILMN_2211003	0.0215036	1.80e-03	3.476653	-1.389423	0.28136427	734520311	GAS2L3	growth arrest specific 2 like 3
ILMN_1813795	0.0215091	1.80e-03	-3.4764206	-1.389971	-0.21421505	618857476	RASSF5	Ras association domain family member 5
ILMN_1910628	0.0215091	1.81e-03	3.4763002	-1.390255	0.11655552	5176175		
ILMN_1732251	0.0215091	1.81e-03	3.4761782	-1.390542	0.12329108	50080192	OR10G9	olfactory receptor family 10 subfamily G member 9
ILMN_1691432	0.0215091	1.81e-03	3.4761655	-1.390572	0.16156303	41349473	PRDM4	PR/SET domain 4
ILMN_1873621	0.0215197	1.81e-03	3.475862	-1.391288	0.36344873	148613883	NTN1	netrin 1
ILMN_1871087	0.0215197	1.81e-03	3.4757788	-1.391484	0.12927948	24795101		
ILMN_1871354	0.0215232	1.81e-03	3.4756181	-1.391863	0.15990037	23647525		
ILMN_1722186	0.0215264	1.81e-03	3.4754645	-1.392225	0.23291923	145701027	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7
ILMN_1719254	0.0215351	1.81e-03	-3.4752073	-1.392832	-0.15044755	190341103	TRIM9	tripartite motif containing 9
ILMN_1765014	0.0215681	1.81e-03	-3.4745079	-1.394481	-0.15688486	61966922	FOXB2	forkhead box B2
ILMN_1671693	0.0215722	1.81e-03	-3.4743357	-1.394887	-0.35296262	431822383	TPGS2	tubulin polyglutamylase complex subunit 2
