gene,logFC,p_value,adj_p_value
ANKRD36BP1,0.8270445,8.87e-09,3.7e-08
FIG4,-0.7629082,8.88e-09,3.7e-08
TARP///TRGC2,1.2170264,8.87e-09,3.7e-08
CEP55,-0.4143785,8.35e-09,3.71e-08
TTC6,-0.51562808,8.38e-09,3.72e-08
SFMBT1,-0.592985,8.99e-09,3.74e-08
MAML3,0.7082436,9e-09,3.75e-08
MTMR2,-0.7922223,9.07e-09,3.77e-08
ZNF738,-0.27776769,8.51e-09,3.77e-08
OR5P1P,1.0507186,9.11e-09,3.79e-08
NIF3L1,0.4596486,9.13e-09,3.79e-08
SRXN1,0.31096127,8.6e-09,3.81e-08
CCDC94,0.488905,9.23e-09,3.83e-08
HSP90AA4P,-0.8840714,9.21e-09,3.83e-08
DUOX2,0.6796927,9.23e-09,3.83e-08
RAI2,0.573645,9.23e-09,3.83e-08
PPP1R13B,0.6966968,9.21e-09,3.83e-08
TRIM68,-0.31814031,8.69e-09,3.85e-08
LOC100287896,-0.36817939,8.7e-09,3.85e-08
STK38,-0.28076396,8.74e-09,3.87e-08
CIDECP,0.4430459,9.32e-09,3.87e-08
TNFAIP8L1,0.8583291,9.32e-09,3.87e-08
PRRT2,0.513035,9.32e-09,3.87e-08
SNTB2,0.5996009,9.38e-09,3.89e-08
LMBRD1,-0.5014964,9.38e-09,3.89e-08
RPL34,0.9697727,9.37e-09,3.89e-08
HCG27,0.4624259,9.37e-09,3.89e-08
HCK,0.59490073,8.78e-09,3.89e-08
SP2,0.6630645,9.37e-09,3.89e-08
SLC2A6,0.6078314,9.41e-09,3.9e-08
PTAFR,0.4998723,9.44e-09,3.91e-08
IER5L,0.5709836,9.46e-09,3.92e-08
C1ORF132///MIR29C,-1.3206618,9.47e-09,3.92e-08
JAM3,0.38850479,8.92e-09,3.95e-08
MZB1,-0.51276676,8.92e-09,3.95e-08
FARSA,0.5451091,9.59e-09,3.97e-08
FAM81A,-0.34661805,9e-09,3.98e-08
KCTD5,0.5753523,9.6e-09,3.98e-08
EPCAM,-1.0911495,9.6e-09,3.98e-08
MIR148B,-1.1907777,9.61e-09,3.98e-08
UBN1,-0.458695,9.63e-09,3.98e-08
CHST11,0.7506745,9.7e-09,4.01e-08
LOC146880,0.4460973,9.72e-09,4.02e-08
GINS1,-0.31297351,9.11e-09,4.02e-08
TEC,-0.8090591,9.79e-09,4.05e-08
BAIAP2L2,0.4813595,9.8e-09,4.05e-08
TIMM44,0.4636227,9.82e-09,4.06e-08
CLTB,0.6432886,9.85e-09,4.07e-08
GPD1L,0.41787246,9.24e-09,4.08e-08
RPS6KA4,0.4979682,9.87e-09,4.08e-08
UBALD2,0.6826341,9.9e-09,4.09e-08
UBA2,0.4513559,9.89e-09,4.09e-08
AEN,0.5119418,9.94e-09,4.1e-08
FAT4,-0.41218882,9.32e-09,4.11e-08
KIZ,-0.6796141,9.96e-09,4.11e-08
SERINC3,0.4759364,1e-08,4.13e-08
DUX4,0.6744709,1e-08,4.13e-08
RNASEK-C17ORF49///RNASEK///C17ORF49,0.6912041,1e-08,4.13e-08
TSPAN33,0.7256277,1e-08,4.13e-08
ANO5,-0.39791674,9.38e-09,4.14e-08
DSTNP2,0.30727928,9.41e-09,4.15e-08
TUBB4A,0.6107618,1.01e-08,4.16e-08
SLIT1,0.4519968,1.01e-08,4.17e-08
IFITM2,0.8450005,1.01e-08,4.18e-08
TRIM52,-0.5157282,1.02e-08,4.19e-08
C1ORF112,-0.27715204,9.54e-09,4.2e-08
TRBV5-4,-1.822045,2.78e-10,4.21e-08
LIMD1,0.6676377,1.03e-08,4.23e-08
DEFB108B,0.5592432,1.03e-08,4.24e-08
PPM1H,-0.27279557,9.66e-09,4.25e-08
SIGLEC1,0.74011,1.03e-08,4.26e-08
CHTF18,0.4451486,1.03e-08,4.26e-08
CNTNAP3B///CNTNAP3P2///CNTNAP3,-1.1983955,1.04e-08,4.27e-08
GRIN2A,-0.32969313,9.74e-09,4.28e-08
PPDPF,1.0748773,1.05e-08,4.31e-08
AIFM3,0.4287555,1.05e-08,4.32e-08
CGN,0.92559,2.94e-10,4.33e-08
DZANK1,-0.48433016,9.84e-09,4.33e-08
RNF141,-0.6774159,1.05e-08,4.33e-08
GPR68,0.4302405,1.06e-08,4.35e-08
CYP3A7-CYP3A51P///CYP3A7,0.54982085,9.91e-09,4.35e-08
ARHGAP39,-0.2851946,9.93e-09,4.36e-08
GADD45G,0.36122281,1e-08,4.41e-08
ZNF155,-0.6837745,1.08e-08,4.42e-08
RNF133,-1.1293005,1.08e-08,4.44e-08
CYP2F1,-0.87358305,1.01e-08,4.45e-08
PRLH,0.5976573,1.08e-08,4.46e-08
STK38L,-0.7077227,1.09e-08,4.46e-08
SRFBP1,-0.8951986,1.09e-08,4.47e-08
MOGS,0.6305505,1.09e-08,4.48e-08
EDA,0.8879725,3.07e-10,4.48e-08
IRX6,0.730535,1.1e-08,4.52e-08
LACE1,-0.5681282,1.1e-08,4.52e-08
EPDR1,0.4371175,3.12e-10,4.53e-08
ZSWIM4,0.565165,1.11e-08,4.54e-08
RAB11FIP3,0.3774282,1.11e-08,4.54e-08
MIR98,-0.5669355,1.12e-08,4.58e-08
WDR60,-0.8200773,1.12e-08,4.61e-08
PAQR3,-0.5111032,1.12e-08,4.61e-08
PPP1R36,-0.5380546,1.05e-08,4.62e-08
ESRRB,0.5588386,1.13e-08,4.63e-08
MAL,0.37850373,1.06e-08,4.64e-08
CSNK2A1,0.8820575,3.22e-10,4.64e-08
ZNF398,0.5001395,1.14e-08,4.65e-08
ZNF782,-0.5914573,1.13e-08,4.65e-08
FAM107B,-0.5306914,1.13e-08,4.65e-08
SLBP,0.3449445,1.13e-08,4.65e-08
APCDD1,0.8112036,1.14e-08,4.65e-08
MYH9,0.29562315,1.07e-08,4.68e-08
SLC29A3,-0.24858105,1.07e-08,4.68e-08
LRRC18,-0.44283017,1.07e-08,4.7e-08
ACRC,-0.7383327,1.15e-08,4.7e-08
ZNF611,-0.7006064,1.15e-08,4.7e-08
PLPP7,0.5465841,1.15e-08,4.7e-08
PSMA5,-0.8077577,1.15e-08,4.7e-08
CCNA1,-0.65627912,1.08e-08,4.71e-08
BICD1,-0.7815064,1.15e-08,4.72e-08
GMNN,-0.9304832,1.15e-08,4.72e-08
GPRC5A,1.1275427,1.15e-08,4.72e-08
TMEM106B,-0.28633633,1.08e-08,4.75e-08
TTC12,-0.41913257,1.08e-08,4.75e-08
KLF3,0.5730368,1.16e-08,4.75e-08
SLFNL1,0.5217327,1.16e-08,4.75e-08
TLE2,0.6243618,1.17e-08,4.76e-08
SLC13A2,1.0078859,1.17e-08,4.78e-08
E4F1,0.4314836,1.17e-08,4.78e-08
FAM63B,-0.5903286,1.17e-08,4.78e-08
KIAA0391,-0.5351873,1.18e-08,4.81e-08
TOM1,0.4605395,1.18e-08,4.81e-08
LINGO3,0.4904745,1.18e-08,4.81e-08
OSER1,-0.7438623,1.18e-08,4.82e-08
ZBTB42,0.6384936,1.18e-08,4.82e-08
NFATC1,0.7621186,1.18e-08,4.82e-08
CFD,1.197715,1.18e-08,4.82e-08
C9ORF116,-0.5173004,1.1e-08,4.82e-08
PYM1,0.4729691,1.18e-08,4.83e-08
KRTAP2-3///KRTAP2-2///KRTAP2-4///KRTAP2-1,0.57471,1.19e-08,4.84e-08
ACOX3,0.4586123,1.19e-08,4.87e-08
LGI4,0.40654531,1.12e-08,4.88e-08
CHIAP2,1.9827127,1.2e-08,4.88e-08
SLC28A3,-0.51883868,1.12e-08,4.89e-08
C1RL,0.5858045,1.2e-08,4.9e-08
WSB2,0.5750055,1.21e-08,4.92e-08
MSRA,0.5148245,1.21e-08,4.92e-08
VPS72,0.6390277,1.22e-08,4.96e-08
ZNF469,-1.7958925,3.5e-10,5e-08
BBOX1,-0.37165565,1.14e-08,5e-08
PPP1R42,-0.62708973,1.15e-08,5.01e-08
CD40,0.5647891,1.23e-08,5.01e-08
UBBP4,0.7640682,1.23e-08,5.02e-08
AGR2,-1.7707173,1.23e-08,5.02e-08
DNAJA3,0.4055468,1.25e-08,5.1e-08
BST2,1.070275,1.25e-08,5.1e-08
ME3,0.538245,1.26e-08,5.11e-08
SLC6A14,1.08909473,1.18e-08,5.15e-08
CDC27,-0.8358259,1.27e-08,5.16e-08
TCEAL8,-0.6822323,1.28e-08,5.18e-08
CTSV,-0.5760709,1.28e-08,5.2e-08
CLCN7,0.28417901,1.2e-08,5.24e-08
CSF2RB,0.8760205,1.3e-08,5.3e-08
IGFBP4,-0.35126863,1.22e-08,5.31e-08
TMEM192,-0.5364032,1.31e-08,5.32e-08
CNTD1,-0.44394153,1.23e-08,5.35e-08
SLC35D2,0.29191282,1.24e-08,5.37e-08
NDUFS6,-0.6499282,1.33e-08,5.39e-08
YTHDF1,0.4167345,1.33e-08,5.39e-08
GADD45B,0.54453852,1.24e-08,5.4e-08
TMEM267,-0.7198036,1.33e-08,5.4e-08
CCT3,-0.6422123,1.34e-08,5.42e-08
RRM2,-1.0288223,1.34e-08,5.42e-08
FGL2,-1.2167082,1.34e-08,5.42e-08
FAM170B,0.4784218,1.34e-08,5.42e-08
ICA1,-0.7455227,1.35e-08,5.46e-08
