gene,organ,instrument_source,n_instruments,IVW_beta,IVW_p,IVW_p_adj,Egger_p,Cochran_Q_p,F_statistic,verdict,IVW_p_adj_50gene
GDF15,Lung,eQTLGen,1,-0.179903777222522,0.464827198363251,0.9177578274973504,,,430.03975876,Not Significant (IVW p>=0.05),0.8196188676954851
GDF15,Skin,eQTLGen,1,0.454021708497756,0.301300103039419,0.9177578274973504,,,430.03975876,Not Significant (IVW p>=0.05),0.8196188676954851
IGF1,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
IGF1,Liver,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
IGF1,Lung,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
IGF1,Skin,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
LAMC3,Kidney,eQTLGen,1,-0.022290306392037,0.703945415151674,0.9736387884890036,,,1424.93415289,Not Significant (IVW p>=0.05),0.9553544919915575
LAMC3,Liver,eQTLGen,1,0.0604896346198785,0.474516186560544,0.9177578274973504,,,1424.93415289,Not Significant (IVW p>=0.05),0.8196188676954851
LAMC3,Lung,eQTLGen,1,-0.0392450173382328,0.742648442433721,0.9801320586038292,,,1424.93415289,Not Significant (IVW p>=0.05),0.9731255452579791
LAMC3,Skin,eQTLGen,1,-0.205458357291557,0.335101425518805,0.9177578274973504,,,1424.93415289,Not Significant (IVW p>=0.05),0.8196188676954851
LTB,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
LTB,Liver,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
LTB,Lung,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
LTB,Skin,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
LTBP2,Kidney,eQTLGen,1,-0.293707935970646,0.0455002638963584,0.5157773983701662,,,275.53676049,Single instrument - Unable to assess pleiotropy,0.39900231416806603
LTBP2,Liver,eQTLGen,1,-0.467394081959794,0.027779438091232,0.5157773983701662,,,275.53676049,Single instrument - Unable to assess pleiotropy,0.39900231416806603
LTBP2,Lung,eQTLGen,1,-0.0695845009690028,0.816835377661842,0.9829713866778098,,,275.53676049,Not Significant (IVW p>=0.05),0.9814731351245495
LTBP2,Skin,eQTLGen,1,-0.132491649916358,0.804337625352551,0.980273981533108,,,275.53676049,Not Significant (IVW p>=0.05),0.9814731351245495
LUM,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
LUM,Liver,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
LUM,Lung,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
LUM,Skin,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
MDK,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
MDK,Liver,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
MDK,Lung,GTEx,1,-0.4043750905264592,0.0412613301956189,0.5157773983701662,,,39.602309010865255,Single instrument - Unable to assess pleiotropy,0.39900231416806603
MDK,Skin,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
MFAP4,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
MFAP4,Liver,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
MFAP4,Lung,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
MFAP4,Skin,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
PDGFD,Kidney,eQTLGen,1,0.294904333267664,0.123154616073819,0.7494838063920984,,,496.93772241,Not Significant (IVW p>=0.05),0.6601015903060482
PDGFD,Liver,eQTLGen,1,-0.0852329315855248,0.729268258555084,0.9801320586038292,,,496.93772241,Not Significant (IVW p>=0.05),0.9667044357590648
PDGFD,Lung,eQTLGen,1,0.107423287105809,0.756807561161861,0.980273981533108,,,496.93772241,Not Significant (IVW p>=0.05),0.9775432416819619
PDGFD,Skin,eQTLGen,1,-1.26847121164546,0.0404756354494245,0.5157773983701662,,,496.93772241,Single instrument - Unable to assess pleiotropy,0.39900231416806603
