,COL15A1,COL1A1,SERPINE2,SERPINF2,stage,label
GSM3998269,4.866936408346836,3.3739967220027793,1.884854769355385,9.690004780099274,2,1
GSM3998270,4.997904961793817,2.8995859436779767,1.9664138147680243,9.729387437239126,0,0
GSM3998271,3.575290157677292,3.2964185929337635,1.5224955011738301,9.764421408106339,1,1
GSM3998272,4.015198675361981,2.968321632559236,1.4697657288048334,10.619049373718058,0,0
GSM3998273,4.28174837701059,2.9131357720296918,1.5823959031313735,10.217617907167558,1,1
GSM3998276,4.469593904140154,4.735755403803238,1.821847609573523,9.597636272400733,0,0
GSM3998277,4.060699731421193,4.152784442979479,1.1477234485994685,9.771876812816915,2,1
GSM3998278,4.582498777265457,4.206472283764821,0.8970945785765909,10.787977873241589,2,1
GSM3998279,4.785200791801649,4.01811944002986,2.4224908449083733,10.078218012597727,1,1
GSM3998281,4.587671544866412,4.554674473453886,1.4184415681864126,9.924113975652418,0,0
GSM3998283,4.111211456116757,3.8168934556011322,1.8819452046425078,10.228420642646444,1,1
GSM3998284,3.6708667729414897,3.929251984126134,0.8490136049996599,10.655456889037316,2,1
GSM3998286,5.165342557508924,2.4570427195321582,2.1849658932742866,9.773784249057423,0,0
GSM3998287,4.227536246071642,2.3162119774748655,2.499640802411976,9.729201235057173,2,1
GSM3998288,4.594023205498917,2.4634408628192963,1.6855386196119178,9.800091615231532,0,0
GSM3998289,4.651789809637815,3.2004548968501214,1.9097617841322543,9.77557227067323,0,0
GSM3998290,4.218149853110357,4.619897072103418,2.2005089316863145,9.946093401612917,0,0
GSM3998291,5.089449423499534,3.944162795348605,2.0100810459349256,10.014925214888324,1,1
GSM3998292,4.473103643827919,3.2610829794647787,2.0345535682242484,9.891045731586956,1,1
GSM3998293,4.9711022816158685,3.5437787262222407,1.9262623770163383,10.358976946501215,0,0
GSM3998294,3.8004752876571333,3.401714001312022,2.148897128087723,9.927806368619246,1,1
GSM3998295,4.3967243298904535,2.7705946992706005,1.6515404271796337,9.440910671863609,1,1
GSM3998296,4.9444255690314085,2.7050764972717563,2.0004716492923222,9.412609596438578,1,1
GSM3998297,3.779080961109271,3.081808773445316,1.4341691043802551,9.026433507005537,2,1
GSM3998299,5.25280454620472,3.0323763349625126,2.2649050746746098,10.048861465186318,2,1
GSM3998300,4.689881400686984,2.812478267501728,1.8639883708976595,9.523304963020314,1,1
GSM3998302,3.5891865316819773,4.5891764795319,1.244972609000042,10.148234816952439,1,1
GSM3998303,4.453174136256382,3.5789538489631547,1.6584824560843123,10.59421279352647,0,0
GSM3998304,2.9992753734132043,3.440276937839561,1.0065034048923627,10.505923394461282,0,0
GSM3998305,4.916164578906766,2.995234012793308,1.508913867769955,10.225177346519148,0,0
GSM3998306,4.231602927603244,2.6548990419657486,1.9824937650136591,10.016975634298753,1,1
GSM3998307,4.1263558666087325,3.4567528593806593,1.80152777059604,10.09354261349081,0,0
GSM3998310,4.202322348432401,2.8842502321622643,1.8435813190890988,9.792238281555969,1,1
GSM3998311,4.955726464196579,2.98510796661751,1.4301424965552154,9.582544421449096,1,1
GSM3998312,4.224971716741036,4.35870389017777,1.8901160691416035,9.927521916777184,2,1
GSM3998313,4.733764052612692,5.470295586629674,1.8130675731986217,10.07654594062704,2,1
GSM3998315,4.618918679909281,2.849322228836205,1.448749280563365,9.774000524290352,1,1
GSM3998316,4.372372969744256,3.407980167669894,1.163882226072802,9.579446039457407,1,1
GSM3998317,3.9985126351662115,3.0630499175380224,1.309289198310923,9.35823432679429,1,1
GSM3998318,4.209162872132016,4.089348156599576,1.4990341714819453,9.559364545034867,2,1
GSM3998320,5.043635786068254,3.754285113367842,0.9880639557511335,9.971923823191693,1,1
GSM3998321,4.8812844961214985,3.117543390799728,1.5673518666533426,9.923564896660364,0,0
GSM3998323,4.492088590329312,2.6954816188518063,1.2889183614570991,9.538092679072818,0,0
GSM3998325,4.196347083951941,2.3379539294550558,1.2124354408747726,10.025285952789986,0,0
GSM3998326,5.47614737992174,3.5213801929390818,1.1800371014156537,10.039124482749902,0,0
GSM3998331,4.382730069208697,3.138550722399707,0.7875794060637502,10.228368721780626,1,1
GSM3998335,4.901573629493673,4.568621984121403,1.7602522817853323,10.232936277772732,2,1
GSM3998336,4.52771926431932,3.821618988907413,1.697445566840945,10.136369807705995,0,0
GSM3998337,4.0858867390671705,2.624911547991573,1.396239993613363,10.010713755546886,2,1
GSM3998339,4.167713417186617,3.6478509346964865,1.4226446011855254,10.78834175575737,0,0
GSM3998341,4.579079133298726,3.9406409908421343,1.8380005278290772,10.52292599848903,2,1
GSM3998342,4.788780499848966,4.205611030030873,0.8231726249411551,10.286598731407295,0,0
GSM3998343,4.420482042677399,5.918013128928506,2.131990504704805,10.250618719776071,2,1
