gene,tissue,logFC,adj_p_value
BCDIN3D-AS1,Lungs,0.8546861,0.0214
BCKDHA,Lungs,0.9751445,4.64e-11
BCL2L2-PABPN1///PABPN1,Lungs,0.6142959,3.89e-11
BCL7B,Lungs,1.1052759,4.22e-14
BCL9,Lungs,0.7592332,1.69e-09
BDKRB1,Lungs,-1.9411675,0.000212
BFSP2,Lungs,-0.701955,0.000194
BHLHE40-AS1,Lungs,-0.6992485,0.0251
BICD1,Lungs,-0.7815064,4.72e-08
BIK,Lungs,1.4935578,0.000789
BIVM-ERCC5///ERCC5,Lungs,-1.8814023,3.04e-17
BLCAP,Lungs,-0.58517698,0.00407
BLK,Lungs,2.1847489,0.000283
BLOC1S1-RDH5,Lungs,-0.811081,0.000408
BLOC1S1-RDH5///BLOC1S1,Lungs,1.8615214,1.1e-18
BLOC1S5-TXNDC5,Lungs,1.0102135,0.00803
BMP5///BMP5,Lungs,-0.82453843,9.27e-13
BMP7,Lungs,-0.6671825,1.86e-06
BMS1P4,Lungs,0.7878312,0.000269
BMS1P4-AGAP5,Lungs,0.6416903,0.00128
BMS1P4///BMS1P6///BMS1P5///AGAP11///BMS1///AGAP11,Lungs,-1.2813995,9.65e-14
BNIPL///C1ORF56,Lungs,-0.68325203,0.0389
BOLA2-SMG1P6///LOC101060386///SMG1P3///SMG1P1///SMG1P5///BOLA2///SMG1P2///SLC7A5P2///SMG1,Lungs,-0.6910318,7.29e-09
BOLA2-SMG1P6///LOC101060386///SMG1P3///SMG1P1///SMG1P5///BOLA2///SMG1P2///SMG1,Lungs,-0.6691636,3.75e-09
BOLA2-SMG1P6///SMG1P3///SMG1P1///SMG1P5///BOLA2///SMG1P2///SMG1,Lungs,-0.9044636,1.33e-10
BORA,Lungs,-0.8805864,2.95e-11
BORCS7-ASMT///BORCS7,Lungs,-1.1179036,2.02e-11
BPNT1,Lungs,-0.6621209,1.22e-09
BRAF,Lungs,1.03651138,2.83e-05
BRK1,Lungs,1.7802559,3.6e-19
BTBD6,Lungs,1.2893386,3.65e-13
BTG3-AS1,Lungs,-0.6552583,0.0301
BTN2A3P,Lungs,-0.7116591,7.91e-09
BTNL8///BTNL3,Lungs,0.74416891,1.59e-29
BTRC,Lungs,-0.6242273,1.94e-09
BUD31,Lungs,-0.6528774,0.0197
C10ORF105,Lungs,-0.8877185,0.00688
C10ORF12,Lungs,-1.0778227,4.74e-11
C10ORF131,Lungs,-0.8317364,2.37e-05
C10ORF67-AS1,Lungs,-3.0638882,4.26e-07
C11ORF24,Lungs,1.1654655,8.91e-14
C11ORF45,Lungs,-1.04374291,0.00239
C11ORF65,Lungs,0.8532557,0.000168
C11ORF91,Lungs,-1.334979,0.00143
C12ORF10,Lungs,1.4805391,6.48e-20
C12ORF57///C12ORF57,Lungs,1.091135,3.88e-09
C12ORF71,Lungs,-1.2609547,0.019
C14ORF2///C14ORF2,Lungs,1.2105955,3.94e-10
C14ORF28,Lungs,-1.5635636,4.08e-15
C15ORF38-AP3S2///ARPIN,Lungs,0.8370368,3.58e-15
C16ORF70,Lungs,0.7416714,5.72e-13
C16ORF74,Lungs,-0.85874,0.000248
C17ORF100,Lungs,1.0058377,0.00178
C17ORF107,Lungs,-1.0937248,0.0174
C17ORF75,Lungs,-0.9026991,1.92e-10
C18ORF25,Lungs,-1.2342973,5.14e-14
C19ORF47,Lungs,1.0418614,2.15e-13
C19ORF53,Lungs,0.9154991,3.01e-16
C19ORF54,Lungs,0.7879286,5.73e-11
C19ORF60,Lungs,0.9840382,1.23e-13
C19ORF66,Lungs,1.0383591,9.69e-15
C1D,Lungs,-1.4173127,2.71e-16
C1GALT1C1L,Lungs,0.9190425,0.0374
C1ORF116,Lungs,1.2148132,2.12e-06
C1ORF132///MIR29B2,Lungs,-1.8711445,2.39e-12
C1ORF132///MIR29C,Lungs,-1.3206618,3.92e-08
C1ORF158,Lungs,-0.87882927,2.11e-09
C1ORF162,Lungs,0.61369648,1.43e-08
C1ORF168,Lungs,-0.70013205,1.74e-06
C1ORF189,Lungs,-0.91044841,5.35e-09
C1ORF220,Lungs,2.0911856,3.63e-09
C1QTNF2,Lungs,1.1375536,7.75e-14
C1QTNF3-AMACR///C1QTNF3,Lungs,-0.91258741,1.03e-19
C1QTNF5///MFRP,Lungs,1.0824314,9.87e-11
C1QTNF9B-AS1,Lungs,0.8134245,2.54e-06
C1RL-AS1,Lungs,0.6877354,2.13e-06
C20ORF144///C20ORF144,Lungs,0.6172236,2.29e-07
C20ORF96,Lungs,-0.72305115,1.96e-13
C21ORF59///C21ORF59,Lungs,-1.0440805,9.94e-09
C2CD2L,Lungs,0.9416705,1.17e-16
C2CD4C,Lungs,-2.600063,5.35e-07
C2CD5,Lungs,-1.1642586,4.39e-12
C2ORF27A,Lungs,-1.0750475,8.41e-06
C3ORF86P,Lungs,-1.8508411,5.14e-07
C4ORF22,Lungs,-0.90036662,5.68e-11
C4ORF50,Lungs,1.4157532,0.0139
C4ORF51,Lungs,0.6123851,0.00235
C5ORF38,Lungs,0.9478414,8.45e-12
C5ORF42,Lungs,-0.66071921,1.07e-18
C5ORF63,Lungs,0.9430519,0.00515
C6ORF226,Lungs,0.8206055,8.49e-10
C7ORF25,Lungs,-1.2459273,9.88e-16
C7ORF26,Lungs,0.7272086,6e-12
