gene,logFC,p_value,adj_p_value
ZNF827,-0.56242528,2.6599999999999997e-23,1.1400000000000001e-21
ITM2C,-0.7627657,2.6499999999999996e-23,1.1400000000000001e-21
MAPK10,-0.95369955,2.7799999999999996e-23,1.19e-21
MPHOSPH10,-2.5131605,3.87e-24,1.2300000000000002e-21
PITPNB,-2.1353864,3.9299999999999995e-24,1.24e-21
SLC33A1,-1.8093073,4.0599999999999995e-24,1.2600000000000002e-21
MYZAP,-3.652276,2.8299999999999997e-24,1.3e-21
TNNC1,-3.6362389,2.8199999999999997e-24,1.3e-21
PTPN21,-1.3950457,2.6699999999999998e-24,1.3e-21
MAP2,-2.0453044,2.73e-24,1.3e-21
SSH2,0.76062939,3.1299999999999994e-23,1.3300000000000001e-21
TNS2,0.79717433,3.1299999999999994e-23,1.3300000000000001e-21
FXR1,-2.5962955,4.31e-24,1.3300000000000001e-21
ARC,-4.7357694,3.02e-24,1.35e-21
ITGA3,-1.5389486,3.1899999999999998e-24,1.4000000000000002e-21
MATN3,-3.6327869,3.3e-24,1.4200000000000002e-21
FRMD6,-0.77594481,3.3999999999999995e-23,1.4400000000000001e-21
SIGLEC10,0.88510347,3.4199999999999996e-23,1.4400000000000001e-21
RCAN2,-0.66621477,3.73e-23,1.57e-21
PHC2,0.45485963,3.75e-23,1.57e-21
SYNPO2,-1.58025795,3.9099999999999994e-23,1.6300000000000001e-21
LRRC32,1.0055108,3.98e-23,1.65e-21
NUP107,-2.1466327,5.5099999999999995e-24,1.68e-21
USP47,-2.5896645,5.69e-24,1.72e-21
TM9SF3,-1.4681227,5.8799999999999995e-24,1.76e-21
CUBN,-0.69070536,4.27e-23,1.76e-21
KCNMB4,-2.6052736,4.28e-24,1.8100000000000002e-21
LUC7L3,-2.7579945,6.56e-24,1.9300000000000003e-21
WDR49,-2.09746885,5.1199999999999996e-23,2.1e-21
CRABP2,-0.80453179,5.1299999999999997e-23,2.1e-21
ZNF483,-0.55872159,5.2399999999999996e-23,2.14e-21
FCER1A,-0.81508778,5.7e-23,2.32e-21
MRPS11,2.1053127,8.09e-24,2.3400000000000003e-21
ABCD3,-2.3462682,8.2e-24,2.35e-21
SLC25A37,0.5674871,5.83e-23,2.36e-21
ATP6V1C1,-1.9940727,8.39e-24,2.39e-21
HERC4,-1.8100695,8.809999999999999e-24,2.48e-21
HELLS,-2.2404218,9.11e-24,2.5300000000000003e-21
AGFG1,0.44386124,6.429999999999999e-23,2.6e-21
COL1A2///COL1A2,-2.5446464,9.7e-24,2.67e-21
SLC11A1,1.10728537,6.819999999999999e-23,2.7500000000000003e-21
GABARAPL1,2.0309377,1.0899999999999999e-23,2.95e-21
TP53BP1,-0.55251337,7.619999999999999e-23,3.0500000000000004e-21
TLR4,0.7103303,7.7e-23,3.0700000000000002e-21
NBPF25P///NBPF19///NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF12///NBPF3///NBPF1///NBPF14,-1.7436864,1.19e-23,3.17e-21
FAM65B,0.91920724,8.249999999999999e-23,3.2800000000000003e-21
DEFA1B///DEFA3///DEFA1,1.97377742,8.339999999999999e-23,3.2900000000000002e-21
FAM107A,0.84700349,8.559999999999999e-23,3.3500000000000002e-21
RPL36,1.7100959,1.2699999999999999e-23,3.36e-21
ATOH8,0.69390697,8.749999999999999e-23,3.4200000000000005e-21
HNRNPR,-1.7898218,1.32e-23,3.45e-21
GFOD1,0.77504996,9.069999999999999e-23,3.53e-21
TGFB3,-1.01667604,9.579999999999999e-23,3.72e-21
CYSLTR1,-0.96666194,9.879999999999999e-23,3.8100000000000004e-21
HOPX,0.79590083,9.889999999999999e-23,3.8100000000000004e-21
RRAS,2.9895586,1.47e-23,3.82e-21
JDP2,-1.9233149,9.62e-24,3.850000000000001e-21
COG6,-1.8329136,1.55e-23,3.9300000000000005e-21
PSMD8,1.6621432,1.56e-23,3.94e-21
SERPINI1,-0.76562733,1.04e-22,4.0000000000000004e-21
PLRG1,-2.1231532,1.61e-23,4.02e-21
NARS,-1.9679518,1.6499999999999998e-23,4.07e-21
FUT8,-0.58423776,1.07e-22,4.100000000000001e-21
CD163,1.34539428,1.08e-22,4.100000000000001e-21
ACSS2,0.77375883,1.08e-22,4.1200000000000005e-21
NRP2,-1.00402683,1.1e-22,4.16e-21
IL17RA,0.5481523,1.18e-22,4.45e-21
LSM12,1.76631,1.8399999999999998e-23,4.51e-21
GUCY1A2,-1.4092983,1.1699999999999998e-23,4.600000000000001e-21
FREM1,-0.81646492,1.2500000000000001e-22,4.72e-21
LOC441081,1.08637828,1.27e-22,4.78e-21
LUM,-0.94466129,1.3e-22,4.8800000000000004e-21
H2AFY2,-0.52354365,1.32e-22,4.920000000000001e-21
CFI,-1.9813777,2.0399999999999998e-23,4.95e-21
MID1IP1,0.60441828,1.35e-22,5.040000000000001e-21
ESF1,-2.6826645,2.13e-23,5.15e-21
SLC5A9,0.78189458,1.4e-22,5.2e-21
SNORA22,3.1565218,2.3099999999999999e-23,5.5000000000000005e-21
NOTCH4,0.95044363,1.49e-22,5.53e-21
LIN7A,0.57800041,1.52e-22,5.610000000000001e-21
AZIN1,-2.2745364,2.52e-23,5.920000000000001e-21
NPM1,-1.73624,2.6499999999999996e-23,6.180000000000001e-21
