gene,tissue,logFC,adj_p_value
BGLAP,Kidney,0.8025702,0.00479
BICD2,Kidney,0.952,0.00964
BICRA,Kidney,0.788,0.0383
BIN3,Kidney,0.8599017,0.0101
BIN3-IT1,Kidney,1.1504862,0.00374
BIRC5,Kidney,-1.40832,0.00244
BLACAT1,Kidney,-1.4601002,0.00166
BLOC1S1-RDH5///RDH5,Kidney,-0.7603194,0.04068538
BLOC1S3,Kidney,0.669,0.0283
BLOC1S4,Kidney,-1.0819407,9.38e-05
BLOC1S5,Kidney,-1.3006957,5.74e-07
BLOC1S5-TXNDC5///TXNDC5,Kidney,1.3172881,0.00439652
BLTP1,Kidney,-0.644824,5.67e-05
BMP7-AS1,Kidney,-1.03,0.00835
BMP8A,Kidney,-0.7455425,0.03715913
BMT2,Kidney,-0.8457475,0.0108
BNIP3,Kidney,-0.6821007,0.00832
BPESC1,Kidney,-1.5870664,0.000797
BPI,Kidney,-1.2501115,0.0127
BPIFA3,Kidney,-1.3372356,0.00591
BPIFA4P,Kidney,-1.5367865,0.00196
BPIFB3,Kidney,-1.0624743,0.0307
BPIFB4,Kidney,-1.2572925,0.00411
BPIFB6,Kidney,-1.3119809,0.00693
BRD2,Kidney,-0.9677829,2.33e-05
BRD3OS,Kidney,0.8837512,0.000168
BRD7P3,Kidney,-1.47,0.00919
BRF2,Kidney,1.31,0.0138
BRMS1,Kidney,0.59638091,0.000714
BSCL2,Kidney,1.2703036,0.0132
BSN-AS2,Kidney,-1.7232267,0.00266
BST1,Kidney,-0.7884734,0.000209
BTBD10,Kidney,-1.1007892,9.28e-09
BTBD18,Kidney,-0.6639545,0.00674
BTBD9-AS1,Kidney,-1.59,0.000987
BTD,Kidney,-0.9900004,0.01451611
BTF3P11,Kidney,-0.9638906,0.00023
BTG1,Kidney,-0.8220625,0.00377
BTG4,Kidney,-1.4818461,0.000979
BTNL10,Kidney,-1.5038819,0.00272
BZW2,Kidney,-0.993742,0.000105
C10ORF111,Kidney,-0.9917224,0.0238
C10ORF2,Kidney,-0.9930435,2.5e-05
C10ORF71-AS1,Kidney,-1.5453987,0.00078
C10ORF95-AS1,Kidney,1.0571703,0.00253
C11ORF31,Kidney,-0.6659227,0.00871
C11ORF63,Kidney,-0.7441545,0.0133
C11ORF72,Kidney,1.5356009,0.00122
C11ORF80,Kidney,1.0664142,0.0104
C12ORF40,Kidney,-1.6455241,0.00171
C12ORF42,Kidney,-1.4736099,0.00137
C12ORF50,Kidney,-1.5372652,0.000824
C12ORF56,Kidney,-1.0956726,0.00258
C12ORF65,Kidney,-1.2533656,7.06e-06
C12ORF66,Kidney,-0.6000535,0.0224
C14ORF166,Kidney,-1.1732127,7.44e-08
C14ORF169,Kidney,-1.3151482,1.45e-11
C14ORF177,Kidney,-1.6065945,0.000762
C14ORF178,Kidney,-1.1399682,0.0106
C14ORF79,Kidney,1.3979943,0.000253
C15ORF41,Kidney,-0.7997435,0.000783
C15ORF65,Kidney,-0.7632309,0.00223
C16ORF46,Kidney,-1.477559,0.00131
C16ORF72,Kidney,-0.6371031,0.0122
C16ORF86,Kidney,-0.6385287,0.00197
C16ORF87,Kidney,-0.9332135,0.00947
C16ORF92,Kidney,-1.0965472,0.00404
C17ORF47,Kidney,-1.5370297,0.00116
C17ORF51,Kidney,-1.0515834,5.73e-05
C17ORF64,Kidney,-1.2828029,0.0228
C17ORF97,Kidney,-0.5877068,0.0299
C17ORF99,Kidney,1.4671485,0.00154
C18ORF21,Kidney,-0.8876989,5.71e-05
C19ORF43,Kidney,0.9134011,0.0443
C19ORF68,Kidney,-1.0765189,1.35e-06
C1ORF105,Kidney,-1.6057743,0.000176
C1ORF109,Kidney,-1.0190361,0.000569
C1ORF127,Kidney,-1.071034,0.0369
C1ORF145,Kidney,-1.6541284,0.00432
C1ORF174,Kidney,-0.7600682,0.000254
C1ORF204,Kidney,1.0625488,0.00799
C1ORF228,Kidney,1.3211385,9.72e-05
C1ORF234,Kidney,-1.1431846,0.0108
C1ORF43,Kidney,0.8956254,0.0249
C1ORF52,Kidney,-0.6067236,0.00342
C1ORF53,Kidney,-1.0423441,3.23e-05
C1ORF61,Kidney,1.5370031,0.00177
C1ORF64,Kidney,0.9006483,0.0277
C1QTNF7-AS1,Kidney,-1.8549299,0.000923
C20ORF187,Kidney,-1.5745048,0.00173
C20ORF194,Kidney,0.6489634,0.00678
C20ORF197,Kidney,-1.64517,0.000617
C20ORF202,Kidney,-1.156988,0.007
C20ORF24,Kidney,-0.7437841,0.0011
C20ORF78,Kidney,-1.3694474,0.0317
C21ORF2,Kidney,1.2107941,0.00182
C21ORF62,Kidney,-1.0991508,0.00875
C22ORF23,Kidney,-1.1388305,0.00698
C22ORF31,Kidney,1.261089,0.00963
C2CD3,Kidney,-1.7308164,0.00323
C2CD4B,Kidney,-1.3859667,0.00047
C2ORF16,Kidney,-1.1618542,0.0147
C2ORF47,Kidney,-0.7301348,0.0235
C2ORF48,Kidney,-1.6779832,0.000396
C2ORF50,Kidney,-1.201362,0.00843
C2ORF57,Kidney,-1.368343,0.0062
C2ORF73,Kidney,-0.7385195,0.0229
C2ORF74,Kidney,-0.8718169,0.00521
C2ORF76,Kidney,-0.7588569,0.00227
C2ORF80,Kidney,-1.2899681,0.00319
C2ORF82,Kidney,-1.3916385,0.00165
C2ORF92,Kidney,-0.7,0.0186
C3ORF18,Kidney,-0.5927822,0.00681139
C3ORF20,Kidney,1.560015,0.00136
C3ORF30,Kidney,-0.9907872,0.0377
C3ORF33,Kidney,-1.1923196,4.27e-06
C3ORF38,Kidney,-1.2324512,6.73e-07
C3ORF49,Kidney,-1.4703074,0.00104
C3ORF58,Kidney,-1.033508,5.6e-05
C3ORF80,Kidney,-1.8165028,0.000162
C4ORF26,Kidney,-1.0192374,0.0421
C4ORF33,Kidney,-0.7088011,0.0202
C4ORF45,Kidney,-1.238308,0.0143
C4ORF47,Kidney,-0.7360046,0.0094
C5ORF22,Kidney,-1.2608791,1.67e-07
C5ORF45,Kidney,0.7537657,0.000437
C5ORF47,Kidney,-1.6764735,0.000863
C5ORF52,Kidney,-1.1356652,0.0188
C5ORF58,Kidney,-4.2722502,2.62e-05
C5ORF66,Kidney,-1.4951669,0.00106
C5ORF66-AS2,Kidney,-1.4953661,0.000993
C6ORF1,Kidney,-0.6450943,0.00375
C6ORF10,Kidney,-1.1738937,0.0202
C6ORF201,Kidney,-1.5008425,0.00102
C6ORF203,Kidney,-0.6413071,0.0404
