gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category,matrisome_division
OAS1,1.27027007,0.00386,-0.683881,0.0027359,0.6916259,3.9e-05,-0.64406034,0.00117,False,Non-ECM,Non-ECM
OLFML3,1.6984416,0.000116,-0.67883102,0.0008032,0.9260436,2.26e-09,-1.1788003,3.9e-06,False,Non-ECM,Non-ECM
PDE1A,1.02516096,0.00278,-0.58879525,0.0227027,-0.68857936,1.05e-13,-1.27251132,9.69e-27,False,Non-ECM,Non-ECM
PDGFD,-0.8901066,0.0146,-1.05559167,0.002057,-1.3643127,4.45e-07,-0.8761549,2.33e-05,True,Secreted Factors,Matrisome-associated
PORCN,-0.8386748,0.000265,1.318775,6.87e-06,1.1490895,5.63e-15,-0.760934,5.01e-05,False,Non-ECM,Non-ECM
RAC2,1.43200873,1.78e-06,-0.66384802,0.0087597,1.0923759,3.68e-10,-0.67340593,5.99e-11,False,Non-ECM,Non-ECM
RNASE1,-1.5686847,0.000765,-1.14762315,0.0016162,0.8163227,2.08e-09,-0.73231377,1.46e-09,False,Non-ECM,Non-ECM
RNASE6,1.69936691,0.000131,-0.65969719,0.0005728,-0.6375855,4.05e-06,-0.79572185,1.04e-15,False,Non-ECM,Non-ECM
SERPINE2,1.0038187,0.000792,-0.66736081,0.0425783,-1.3449823,2.74e-08,-1.9706074,1.45e-32,True,ECM Regulators,Matrisome-associated
SERPINF2,2.7390396,0.000802,1.3225455,0.043,0.63997202,3.11e-20,-0.59567572,1.22e-08,True,ECM Regulators,Matrisome-associated
SERPINH1,0.94882229,5.44e-06,-0.79163778,0.0016122,0.7277705,7.93e-06,-0.73761569,1.02e-15,True,ECM Regulators,Matrisome-associated
SLC39A8,-1.0427255,0.0305,2.42042,4.75e-10,1.31767847,2.07e-17,-0.8579001,9.32e-05,False,Non-ECM,Non-ECM
SORT1,-0.5957617,0.0239,-0.9347933,0.0094411,0.66340185,7.06e-22,-0.6307995,0.000171,False,Non-ECM,Non-ECM
SPARCL1,1.41812269,0.0054,-0.88501875,0.0246792,-1.7856164,7.63e-14,-0.60177431,3.08e-18,True,ECM Glycoproteins,Core matrisome
SRC,0.7519966,0.0011,-0.8850278,0.03815,0.5851355,3.47e-12,-1.2616061,0.000525,False,Non-ECM,Non-ECM
STAT1,-1.7880455,0.000102,-0.80761934,0.0015262,-1.0810745,3.29e-07,-0.75356189,1.16e-07,False,Non-ECM,Non-ECM
