gene,matrisome_division,matrisome_category,logFC_skin,adj_p_skin,logFC_kidney,adj_p_kidney,logFC_liver,adj_p_liver,logFC_lungs,adj_p_lungs
SPP1,Core matrisome,ECM Glycoproteins,-3.11337489,4.25e-15,-1.5815458,0.00152,-2.23,1.61e-10,-3.9608964,1.92e-11
SVEP1,Core matrisome,ECM Glycoproteins,-1.4205033,0.000299,-1.653771,0.00079,-0.603,0.000564,-1.5330298,1.68e-07
TGFB2,Matrisome-associated,Secreted Factors,-0.9545215,8.59e-06,-1.2042768,0.00142,-2.744284,2.07e-08,-0.65730721,6.76e-12
TGFB3,Matrisome-associated,Secreted Factors,-1.04914499,1.4000000000000002e-21,-1.5824395,0.00102,-0.859,1.98e-06,-1.01667604,3.72e-21
TGM2,Matrisome-associated,ECM Regulators,-2.41498901,2.1999999999999997e-25,-1.438884,0.000114,1.434334,1.16e-05,1.3318364,7.98e-13
THBS1,Core matrisome,ECM Glycoproteins,-2.45515344,9.01e-30,0.8024248,0.00287,-1.83,3.86e-09,1.16263442,7.21e-13
TIMP1,Matrisome-associated,ECM Regulators,-1.01400282,4.27e-15,0.94847442,5.67e-05,-1.95,1.84e-10,-0.780185,0.0418
TIMP4,Matrisome-associated,ECM Regulators,-1.29454714,1.53e-09,-1.4164741,0.00156,-3.319472,2.27e-05,0.92155603,1.32e-19
TNC,Core matrisome,ECM Glycoproteins,-1.65298949,3.78e-23,1.28357073,0.000179,1.090925,8.25e-05,-1.40301982,3.61e-16
TNFAIP6,Core matrisome,ECM Glycoproteins,-1.1473936,3.51e-07,-1.9017365,0.00102,0.871812,6.05e-05,-0.9965125,0.0352
VCAN,Core matrisome,Proteoglycans,-0.71024619,4.47e-09,1.948057,9.07e-06,-1.43,3.31e-09,-2.1909255,1.03e-13
VWF,Core matrisome,ECM Glycoproteins,-0.97442246,2.94e-25,0.6088809,0.000127,-1.6,3.64e-08,0.80510831,2.46e-17
WIF1,Matrisome-associated,Secreted Factors,2.39273755,3.3e-19,-1.8327843,0.00215,0.58924,0.00525,1.3618409,0.000175
WNT2,Matrisome-associated,Secreted Factors,-1.39002268,8.57e-08,-1.4775357,0.00119,1.657302,4.65e-08,0.8935836,7.27e-05
