source,gene,organ,n_snps_in_model,z_twas,pval_twas,fdr_twas
eQTLGen,TNXB,Kidney,214,-1.4125209733024013,0.1577966196586773,0.22041432587243814
GTEx,COL3A1,Lung,4,1.3612258750456159,0.17344231954190636,0.24036100975886238
GTEx,COL15A1,Skin,39,1.3267242079138974,0.1845999300562613,0.2538249038273593
eQTLGen,SERPINE1,Skin,141,-1.319424334472382,0.1870272908194961,0.2551690169320257
GTEx,PDGFD,Liver,2,-1.2824332190928416,0.19969071734570187,0.27035050963725793
eQTLGen,VCAN,Skin,188,1.2397760565837386,0.21505823662319168,0.2889332034021507
GTEx,TGFB3,Skin,11,-1.220910427441305,0.22211993595946322,0.29615991461261765
eQTLGen,VWF,Lung,960,-1.1183549139632325,0.2634154421485435,0.3485798332191252
eQTLGen,SEMA7A,Lung,70,-1.1068708522361344,0.2683497695798229,0.3524593988511107
eQTLGen,VWF,Skin,960,1.0984854734191456,0.2719925574492228,0.35459770452639416
eQTLGen,SERPINH1,Kidney,168,1.0541910024848942,0.2917954785697141,0.3776176781490418
GTEx,F13A1,Liver,2,1.013956403429698,0.31060355558531993,0.3990235458614329
eQTLGen,COL6A3,Liver,260,0.9952803301454141,0.3195999416777915,0.40713653387190923
eQTLGen,CCL2,Liver,97,-0.9912872627961034,0.32154533072838287,0.40713653387190923
eQTLGen,SERPINH1,Liver,449,-0.8850298172202821,0.3761405498693906,0.47286240555009107
GTEx,SFRP4,Skin,16,0.8368257296088847,0.40269053253597376,0.5026491753640523
eQTLGen,TNXB,Skin,884,-0.7798124092951069,0.43550130102540185,0.5361453376289359
eQTLGen,SPP1,Skin,1968,0.7796140442128362,0.43561808682351044,0.5361453376289359
GTEx,THBS1,Skin,2,0.7542817471497303,0.4506800601474601,0.5508311846246734
GTEx,THBS1,Lung,2,0.7305711267248926,0.46504115342184926,0.5644637448430723
GTEx,PDGFD,Skin,1,0.703754708780801,0.4815855435497842,0.5805414771559042
GTEx,SDC3,Lung,1,0.6794220769430992,0.4968704654817375,0.5948925301005837
GTEx,LTBP2,Lung,6,0.6413424752962139,0.5213001983595484,0.6172930641587552
eQTLGen,TGM2,Lung,165,-0.6393508792301119,0.5225946963616734,0.6172930641587552
eQTLGen,THBS1,Kidney,342,0.5650759769952565,0.5720220875688156,0.6684523318310011
GTEx,PRELP,Skin,9,-0.5629018557026165,0.5735017165140974,0.6684523318310011
eQTLGen,TGFB3,Kidney,231,0.45982822604911705,0.6456395213778459,0.7475826037006637
GTEx,COL1A1,Lung,3,-0.4313304920142064,0.6662280821971456,0.7663800161222067
eQTLGen,CCL5,Kidney,154,0.4008482509232709,0.6885318518617296,0.782111240607301
eQTLGen,SDC3,Lung,374,0.4004961081681931,0.6887911493984753,0.782111240607301
eQTLGen,COLEC11,Kidney,58,0.37572874865489864,0.7071185629528678,0.7977747889724662
eQTLGen,SERPINH1,Lung,449,0.36226932563411,0.717150778196268,0.7998127238860854
eQTLGen,FBN1,Kidney,221,-0.3600715509949561,0.7187936269015098,0.7998127238860854
eQTLGen,F13A1,Kidney,415,0.3550420547288611,0.7225580857834522,0.7998127238860854
GTEx,COL1A2,Lung,1,0.31429572690818425,0.7532964433510156,0.8243073833573484
eQTLGen,LTBP4,Kidney,95,-0.3132984690081115,0.7540539131848472,0.8243073833573484
eQTLGen,PLXND1,Kidney,146,0.28722650317773624,0.7739388943007526,0.8408225024502004
eQTLGen,SERPINF2,Kidney,86,-0.26346531117205835,0.7921919569773932,0.8553729106013571
GTEx,SERPINF2,Skin,81,0.22529018205803494,0.8217535369475164,0.8818818445290421
eQTLGen,LAMC3,Kidney,111,-0.19366515233031836,0.8464380796086035,0.9028672849158438
GTEx,MFAP4,Lung,1,0.1685520292102483,0.8661490157109579,0.9183266672598107
eQTLGen,F13A1,Liver,1065,-0.1571545869750866,0.875123017826146,0.9185263650053233
GTEx,COL1A1,Skin,7,0.15505854061138327,0.8767751665959904,0.9185263650053233
GTEx,VWF,Skin,8,-0.14342794910337303,0.8859522109714482,0.9226484563963011
eQTLGen,CTSS,Kidney,432,-0.09364623534937293,0.9253901804681273,0.9580510103670024
GTEx,PLXND1,Skin,4,-0.0771135261539764,0.9385332327275722,0.9659757249125889
GTEx,GDF15,Skin,2,-0.06877611596260559,0.945167829761159,0.9671484769649068
eQTLGen,VWF,Kidney,264,0.05248845266157181,0.9581394960936567,0.974754631864067
GTEx,LAMC3,Lung,24,-0.023538921357936633,0.9812203923232952,0.9886340739553189
eQTLGen,F13A1,Lung,1065,-0.021286848426464066,0.9830168348987545,0.9886340739553189
eQTLGen,COL6A3,Kidney,85,0.012321817644944022,0.9901688607130759,0.9901688607130759
