AEBP1,BMP1,CCL19,CCL2,CCL21,CCL5,CLEC2D,COL15A1,COL1A1,COL1A2,COL3A1,COLEC11,FGF14,LAMC3,LTBP2,MDK,MFAP4,PDGFD,SERPINE2,SERPINF2,SERPINH1,SPARCL1,SVEP1,VWF,GSM,study,organ,label
8.188580551521357,12.391002195760015,9.189153103980837,7.395431800334939,6.763386960355675,7.1276213591349435,11.41908897595593,5.895452941488438,8.411849236476648,7.147354657658904,9.120661768053447,6.68727500584805,8.111382263026522,9.323682378352768,6.9627271427882045,6.687066239172504,7.729138213301784,6.849520710817758,9.847071534369032,6.924439303976901,13.804165187627795,9.460403222679568,10.405802252516544,11.940648508961774,GSM1623341,GSE66494,Kidney,1
6.439401560475866,12.200773199854734,6.683711697271093,6.752547300901857,6.1682344487644665,6.525719484013454,15.629762009161002,5.748332445153619,7.573936162040534,6.752048541087626,8.183360159022081,6.949996109660293,8.245090505589998,8.325014162021883,6.834017348540257,4.819078993914062,7.730972249112531,6.743943164771334,7.375207888012247,7.557831382926581,12.343120707212517,9.470187822714507,10.221790712824607,11.944854979209651,GSM1623342,GSE66494,Kidney,1
6.594062891919148,12.423351655080927,7.422577608872609,8.104405738170975,6.27635731436092,6.725451135916831,17.877157884913345,5.63628195636552,8.17624349677273,7.112136764238583,9.100014797179709,6.776829380652411,8.29764877682369,9.76876261657792,6.958937907969093,9.493771219685584,7.867061978770919,6.354358216015956,10.269231442888026,6.322729957323409,12.520912673878689,9.055634522683619,10.324830588334308,14.421605648833808,GSM1623343,GSE66494,Kidney,1
10.643255932071446,12.058755817508562,5.928726754295293,8.740828856332628,6.156399228794445,6.694272744225835,11.918962895530537,6.056725269584224,8.488124464361098,7.571523295730531,9.021969673159335,5.036230797942815,8.3334942940177,24.372390106482403,6.891170391208783,5.727514540366043,8.95294502390774,6.987351518986391,5.298626467720874,5.250839496334304,11.80998521500851,10.219552163196163,13.327165677963881,15.383770194957618,GSM1623344,GSE66494,Kidney,1
5.31019650813731,12.116768793738844,5.928726754295293,6.71380895069135,6.400895306379131,6.537122169674798,12.538111839430806,5.35199213280409,7.4173955709918795,6.3369351764155155,8.223505661676521,6.451761362890524,8.237253663331677,7.7218789794774505,7.749948547664226,7.0551096465101635,7.754456857038466,7.1290707678909095,8.950358808050112,5.383329758600931,11.523017829406156,9.130449107843601,9.88800639644801,13.275435178204603,GSM1623345,GSE66494,Kidney,1
9.381620216966823,12.302796921405458,11.101536084696189,8.79798805592022,7.53541592364708,13.78662491877076,10.708193008305885,5.811490433101126,8.300714797033521,7.7045060554821765,8.830352543486962,6.378214861846761,8.195025939525445,12.968328699619324,6.849035652791921,13.262996034068658,8.661544862882847,6.141337291886661,6.147864644867723,5.806323589035523,14.037368052556339,9.260801526425166,11.019582803098634,14.982563440575959,GSM1623346,GSE66494,Kidney,1
8.652640177421707,12.439536682843876,7.0557395952443045,6.807304679676616,6.118011722199182,7.270938583219816,7.498844335804331,5.591926082942816,8.13493815397026,7.616404399572061,8.616635516726655,6.422668450814776,8.10390488842595,10.570148306124459,7.291177138186965,3.747291597721366,8.669359450764908,6.203047648011288,4.872849145614783,8.231805743734734,14.4160398081855,8.499889311019503,11.189390164004877,12.369219991654802,GSM1623347,GSE66494,Kidney,0
8.013504637924838,12.418770068393929,7.0270633049541305,6.77042782080433,6.140379603377328,7.244253907002956,8.157510561134824,5.586540500485282,8.059809081015622,7.5475609678202105,8.5126242348309,6.421586135402586,8.102323499047783,10.086886455618632,7.252971201647179,3.6757992063204257,8.684226200916024,6.257548879387433,4.788505948499816,7.947080989241592,14.032660696089625,8.605843474783798,11.079558815651897,12.118781081147999,GSM1623348,GSE66494,Kidney,0
8.599041771782074,12.399512852310522,7.048812175803872,6.768535778999474,6.003354759188735,7.223511382754359,7.154546736916085,5.527171634127848,8.187608897614515,7.570527495972044,8.643679967779363,6.3946483651002195,8.166676143837915,10.398363794659268,7.101429946680784,3.638580996494369,8.647783930543556,6.149405313002375,4.712007386241608,7.9505247830921135,14.160317456476117,8.526813341837782,11.21317244944725,12.197113833689624,GSM1623349,GSE66494,Kidney,0
8.45016195400891,12.434122801532439,7.068693249271638,6.7987130814203605,6.1468285819143675,6.804182422482226,7.77774577190066,5.650449633256,8.1607777633717,7.571892890912111,8.54950416890227,6.391341144991432,8.162801440418546,10.384908904256017,7.323855432132649,3.946343763673221,8.62823056201577,6.257116886586791,4.949888972761649,8.01813451727919,13.358695999860846,8.568475167656043,11.475153022469875,12.208916508277547,GSM1623350,GSE66494,Kidney,0
8.493155050657915,12.413833120106599,7.072534363957708,6.818698469475879,6.08731077407703,6.867552280381864,7.725803279862053,5.603918076774779,8.172116494929407,7.594033788581203,8.535714819745468,6.389603885515283,8.170019833380174,10.520248864025787,7.274678531686812,3.9741100189894594,8.634230298328637,6.283253084669465,5.007269843896375,7.988094006858713,13.741697615599556,8.55333946805844,11.42753143253009,12.214969885085582,GSM1623351,GSE66494,Kidney,0
5.667330577252153,13.27811197710447,6.748456857700094,6.5807543389996095,6.922110983068039,6.702659712397654,5.049051989285426,6.229984773386289,7.637690373883942,6.65111958264055,7.98758063149306,5.42073870117355,10.011839383750129,7.126209173048405,7.280489769059636,6.98893716615869,8.629924561900284,6.5646748780938715,5.183985438672957,5.343628852147015,11.546785587086948,10.677350246346654,10.674618644978716,15.626337040308057,GSM1623352,GSE66494,Kidney,1
