gene,tissue,logFC,adj_p_value
C22ORF39,Liver,2.544357,2.03e-09
C22ORF46P,Liver,0.979825,0.00144
C2CD4D-AS1,Liver,-1.431593,0.00346
C2ORF66,Liver,-2.002551,0.0276
C3ORF22,Liver,-1.578472,7.29e-05
C3ORF52,Liver,-1.465977,0.000367
C3ORF62,Liver,1.260402,2.9e-08
C3P1,Liver,2.957193,4.11e-12
C4BPB,Liver,1.685973,1.15e-06
C4ORF17,Liver,-2.317755,6.44e-07
C5AR2,Liver,0.846256,0.000308
C5ORF15,Liver,-1.06136,0.00872
C5ORF27,Liver,1.446245,0.01219
C5ORF4,Liver,1.163689,0.03769
C6ORF163,Liver,0.807823,6.07e-05
C8G,Liver,2.240834,6.32e-06
C8ORF74,Liver,-2.50159,0.0028
C8ORF82,Liver,0.783555,0.0139
C9ORF163,Liver,-2.409214,0.000158
CA1,Liver,-1.118842,0.018
CA13,Liver,1.333728,1.26e-07
CA7,Liver,-1.618695,1.33e-05
CA9,Liver,-4.631563,1.64e-07
CACFD1,Liver,-0.6685393,0.000419
CACNA1A,Liver,-2.678865,1.14e-06
CACNA1G,Liver,-1.039886,0.000121
CACNA2D4,Liver,-1.837241,0.00207
CACNB3,Liver,-3.058098,9.85e-06
CACNG3,Liver,-1.915323,0.000126
CACNG5,Liver,1.294403,5.86e-07
CACNG6,Liver,-4.139839,4.71e-08
CACNG8,Liver,0.686075,0.00145
CACTIN-AS1,Liver,-0.9125685,0.000572
CALCB,Liver,-0.854156,0.00408
CALHM1,Liver,-4.839305,5.35e-10
CALHM5,Liver,1.394599,1.14e-07
CALML4,Liver,-1.989675,0.00272
CALR4P,Liver,0.590359,0.00117
CAMK1G,Liver,-0.87742383,0.0012396
CAMK2N2,Liver,-1.026295,0.0448
CAMSAP3,Liver,2.032695,1.54e-05
CAND2,Liver,-2.468279,3.44e-07
CAPN5,Liver,0.589229,0.0163
CAPZA3,Liver,-1.065882,0.0135
CAPZB,Liver,1.111128,0.000125
CARD10,Liver,-0.9315161,3.97e-05
CARINH,Liver,1.20631,7.42e-05
CARNS1,Liver,-0.920062,0.00191
CASC8,Liver,-0.735641,0.0274
CASP14,Liver,-1.063285,0.00295
CASP16P,Liver,-0.8831605,0.00279
CASTOR1,Liver,0.87862,0.000243
CATIP,Liver,-3.039224,0.00062
CATSPER3,Liver,-1.49218,0.000188
CATSPERG,Liver,-2.335214,6.48e-07
CATSPERT,Liver,-0.69818,0.0202
CATSPERZ,Liver,0.821231,0.00779
CBARP,Liver,2.084006,1.3e-07
CBFA2T3,Liver,1.487782,0.000476
CBLC,Liver,-0.598486,0.00235
CBLL2,Liver,-1.442049,0.037
CBLN2,Liver,0.7736443,0.0248
CBR1,Liver,1.853065,1.93e-07
CBY1,Liver,1.460632,1.23e-05
CCDC102A,Liver,-2.221723,0.00373
CCDC106,Liver,-0.6987533,0.000958
CCDC110,Liver,-1.210214,4.06e-07
CCDC116,Liver,-2.47977,1.24e-06
CCDC15-DT,Liver,0.67,0.00156
CCDC154,Liver,-1.1861769,0.000194
CCDC157,Liver,-1.580381,0.000747
CCDC183,Liver,-0.6990998,6.06e-05
CCDC183-AS1,Liver,-0.8077284,3.34e-05
CCDC185,Liver,-2.906061,4.72e-06
CCDC197,Liver,0.808769,6.88e-05
CCDC22,Liver,-0.8156763,3.27e-06
CCDC27,Liver,0.611685,0.0146
CCDC3,Liver,-0.684,9.11e-06
CCDC32,Liver,-0.961719,0.0251
CCDC38,Liver,0.6060849,0.000296
CCDC51,Liver,0.85775,0.000646
CCDC6,Liver,-1.947271,3.61e-08
CCDC61,Liver,0.899121,0.000719
CCDC69,Liver,0.72916,0.0134
CCDC78,Liver,-1.0980811,0.00011
CCDC8,Liver,-2.594773,6e-08
CCDC88B,Liver,-1.3636998,9.44e-10
CCL15,Liver,0.976661,0.0064
CCL17,Liver,-0.682819,0.0027
CCL3L1,Liver,-1.185407,0.0013
CCL7,Liver,-2.026086,0.000189
CCN6,Liver,-2.913824,3.39e-06
CCNA2,Liver,0.705113,0.00428
CCNB1IP1,Liver,-1.674348,0.000296
CCNB3,Liver,0.678,3.07e-06
CCNE1,Liver,-4.34318,1.42e-08
CCNE2,Liver,-0.957975,0.00331
CCNYL4,Liver,-0.70348,0.00659
CCNYL6,Liver,-1.010855,0.000115
CCS,Liver,1.63792,1.1e-06
