gene,tissue,logFC,adj_p_value
CSTF2,Liver,-0.893099,0.0497
CSTPP1,Liver,4.377578,1.31e-06
CT47A1,Liver,-1.31483,7.18e-06
CT47A6,Liver,-3.000936,1.66e-06
CT47A7,Liver,-2.850807,3.68e-08
CT55,Liver,-0.875758,0.0127
CTDNEP1,Liver,1.084491,0.0019
CTNS-AS1,Liver,-0.7883502,7.77e-07
CTPS2,Liver,3.530084,5.21e-16
CTRB2,Liver,-2.417485,0.000188
CTSL3P,Liver,0.687264,0.00232
CTU1,Liver,-0.7477263,0.000201
CTU2,Liver,1.376479,8.13e-07
CUTALP,Liver,-1.59452,0.00234
CXXC4-AS1,Liver,1.6,2.52e-06
CYB561D1,Liver,-1.466309,0.011
CYB5D2,Liver,1.748705,1.08e-06
CYB5RL,Liver,-1.670132,0.0113
CYBC1,Liver,-0.6368861,5.02e-06
CYCSP52,Liver,-1.041979,0.000287
CYCSP55,Liver,-1.748935,1.67e-06
CYP17A1-AS1,Liver,0.863,5.33e-05
CYP1B1-AS1,Liver,0.750137,0.00145
CYP21A2,Liver,-0.6357371,0.000602
CYP2C9,Liver,3.031124,5.33e-09
CYP2D7,Liver,2.00512,5.67e-09
CYP2S1,Liver,-2.509413,0.00763
CYP2T1P,Liver,-0.5964709,0.00037
CYP46A1,Liver,-1.158706,0.00642
CYP4F2 /// CYP4F3,Liver,2.1455155,0.02584
CYP4F3,Liver,2.222255,9.98e-12
CYRIB,Liver,1.444534,1.64e-06
CYSRT1,Liver,0.986909,0.00194
CYTB,Liver,-0.606,0.00468
CYTH1,Liver,0.862939,0.0217
DACH2,Liver,-1.209902,0.00367
DACT3,Liver,-0.649,0.00151
DAD1P1,Liver,-2.530755,2.19e-08
DAPK1,Liver,1.652247,5.15e-07
DAPL1,Liver,-2.832991,5.05e-05
DARS1,Liver,-1.838357,7.65e-08
DAZ1,Liver,-0.82303,0.045
DAZ4,Liver,-0.78011,0.00882
DAZL,Liver,-1.428275,0.000143
DBIL5P,Liver,1.522821,1.66e-05
DBNDD1,Liver,-1.03,5.39e-05
DBNDD2,Liver,-0.601,0.000313
DCAF11,Liver,2.547444,3.57e-10
DCAF12L2,Liver,-1.472971,0.00478
DCAF16,Liver,-1.0017737,0.04978
DCAF4L2,Liver,-1.1025,0.000793
DCAF7,Liver,-1.237723,0.000348
DCLK2,Liver,-3.997757,1.5e-07
DCST1,Liver,-2.103638,3.41e-05
DCST2,Liver,-2.781968,1.26e-08
DCTD,Liver,2.081177,6.11e-09
DCTN6,Liver,2.265202,0.000116
DCTPP1,Liver,-1.625713,0.00016
DCX,Liver,-0.802528,0.00968
DDI2,Liver,3.637535,2.59e-10
DDIT4L,Liver,-1.969809,0.00368
DDT,Liver,1.248342,4.03e-07
DDX12P,Liver,-0.6135561,0.00044
DDX19B,Liver,1.51471,1.67e-05
DDX25,Liver,-1.699995,6.6e-05
DDX31,Liver,-0.868638,0.0118
DDX39B,Liver,2.828426,5.45e-12
DDX49,Liver,1.476991,8.7e-06
DEFA1,Liver,-1.8177407,0.000232
DEFA1B,Liver,-3.08013,4.18e-05
DEFB106A,Liver,0.865375,0.000124
DEFB107A,Liver,1.121519,3.76e-06
DEFB107B,Liver,-0.724587,0.00617
DEFB108B,Liver,1.123867,3.25e-07
DEFB109A,Liver,-0.985466,0.000325
DEFB109B,Liver,-2.651402,8.29e-07
DEFB110,Liver,0.917948,9.16e-05
DEFB112,Liver,0.61882,0.00519
DEFB113,Liver,-2.252161,0.000143
DEFB115,Liver,-0.853116,0.00417
DEFB122,Liver,-0.886455,0.00261
DEFB123,Liver,-1.235546,0.00539
DEFB128,Liver,1.604997,1.16e-07
DEFB129,Liver,-1.267598,0.0109
DEFB130A,Liver,0.649908,0.00422
DEFB132,Liver,-0.745605,0.00404
DEFB133,Liver,0.657664,0.00272
DEGS2,Liver,-1.349995,0.00577
DELE1,Liver,-1.351006,0.00459
DELEC1,Liver,-0.949059,0.000111
DENND1A,Liver,-0.773187,0.00482
DENND2B,Liver,1.07772,5.74e-05
DEPDC4,Liver,-0.999039,0.000753
DEPDC5,Liver,0.760984,0.00215
DERL2,Liver,1.079526,0.000196
DERPC,Liver,1.267243,5.25e-05
DFFA,Liver,2.507453,1.66e-07
DGCR11,Liver,1.680009,1.56e-08
DGKA,Liver,-0.808,1.88e-06
DGKQ,Liver,-0.9715339,7.48e-06
DGLUCY,Liver,0.702152,0.0429
DHDH,Liver,-1.302871,5.71e-05
DHH,Liver,1.952425,7.56e-11
DHODH,Liver,1.760202,7.58e-05
DHRS12,Liver,-0.990078,0.00331
DHRS4L1,Liver,1.346532,5.93e-07
DHRS4L2,Liver,1.705968,0.000548
DHTKD1,Liver,1.949896,5.16e-05
DHX37,Liver,-0.630485,3.15e-05
DIABLO,Liver,-1.348906,0.00223
DIO3,Liver,0.962422,2.49e-06
DIPK1C,Liver,0.672326,0.00124
DIPK2A,Liver,2.585762,5.08e-09
DISC1FP1,Liver,-0.734,0.00717
DISC2,Liver,-0.860516,0.008
DISP2,Liver,-0.795397,0.00527
DIXDC1,Liver,1.155949,2.94e-06
DKK4,Liver,-3.517931,8.56e-08
DLEU7,Liver,1.402114,1.13e-07
DLG5-AS1,Liver,0.657905,0.00745
DLGAP1-AS1,Liver,-1.642782,0.000921
DLGAP2,Liver,0.829349,3.2e-05
DLK1,Liver,-2.901728,0.000238
DLX1,Liver,-1.515266,0.00258
DMAC1,Liver,-2.41307,4.09e-05
DMGDH,Liver,3.075443,8.4e-08
DNAAF19,Liver,-1.67354,0.000322
DNAJC25-GNG10,Liver,0.733357,0.00747
DNAJC27,Liver,-0.836276,0.03
DNAJC5B,Liver,0.728801,0.00852
DNAJC5G,Liver,-2.116488,6.64e-06
DNM2,Liver,2.441791,2.16e-10
DNM3,Liver,0.647123,0.000396
DNMBP-AS1,Liver,-1.745668,8.9e-05
DNMT3B,Liver,-1.482824,1.95e-06
DNMT3L,Liver,0.6187,0.0296
DNPEP,Liver,1.552168,9.14e-06
DOC2A,Liver,-0.6507907,0.000742
DOCK8-AS1,Liver,-1.240699,4.23e-06
DOLK,Liver,0.719959,0.00845
DONSON,Liver,-1.430285,0.00399
DPF3,Liver,1.143709,9.21e-05
DPP3-DT,Liver,-0.6156079,0.00122
DPPA5,Liver,-1.486582,3.07e-06
DPY19L2P1,Liver,-2.026072,2.62e-07
DPYD-AS2,Liver,0.65,1.33e-05
DRC10,Liver,-3.06104,5.03e-09
DRC11,Liver,-1.83453,0.00168
DRC12,Liver,-1.687319,3.34e-06
DRC2,Liver,-0.72062,0.0197
DRC4,Liver,-2.946496,2.2e-05
DRC5,Liver,-2.294358,0.000301
DRD3,Liver,-4.912629,1.08e-08
DRD4,Liver,-1.229493,0.0205
DRD5,Liver,-0.761332,0.00344
DRGX,Liver,-0.762463,0.00314
DRP2,Liver,-1.66492,0.00156
DSCAM,Liver,1.573809,1.98e-08
DSG1,Liver,1.983987,9.65e-09
DSG1-AS1,Liver,0.643,2.49e-05
DTX1,Liver,-0.7424133,0.000236
DUS1L,Liver,-0.6645114,0.00019
DUSP13B,Liver,-3.551565,6.61e-07
DUSP14,Liver,1.036323,8.72e-05
DUSP28,Liver,-2.09956,2.81e-05
DUSP4,Liver,-2.20042,5.18e-05
DUSP5P1,Liver,-2.499927,6.42e-06
DUT,Liver,-3.134381,7.29e-08
DUX1,Liver,-0.863182,0.0257
DUX3,Liver,-5.570962,5.23e-09
DUX4L1,Liver,-2.133851,0.0184
DUX4L6,Liver,-4.734314,8.94e-07
DUX4L8,Liver,-1.069511,0.0294
DUX5,Liver,-6.314572,6.56e-10
DUXA,Liver,-3.314391,6.65e-06
DUXAP3,Liver,-2.043607,2.08e-08
DVL2,Liver,-0.6419047,4.01e-06
DYNC1I1,Liver,-1.758277,0.000405
DYNC1LI1,Liver,1.136863,1.82e-06
DYNC2I2,Liver,3.598595,1.73e-11
DYNLT2,Liver,-3.892879,1.53e-08
DYRK1A,Liver,2.075057,2.46e-09
DYTN,Liver,-3.327176,6.23e-05
E4F1,Liver,-0.9272234,0.000267
ECI2,Liver,1.867789,4e-09
ECRG4,Liver,-1.310352,0.0457
ECSIT,Liver,1.59118,2.11e-05
EDARADD,Liver,-2.070597,9.12e-08
EDDM3A,Liver,-1.713224,0.00021
EDNRA,Liver,-1.357816,1.56e-07
EEF1A1,Liver,1.992247,5.02e-11
EEF1A2,Liver,-1.41235756,0.0046268
EEF1AKMT2,Liver,1.298597,4.03e-07
EEF1AKMT4,Liver,1.010516,0.00813
EEF1AKMT4-ECE2,Liver,-2.470263,7.03e-08
EEF1B2,Liver,2.364678,7.99e-12
EEIG1,Liver,-0.7093573,4.41e-06
EEIG2,Liver,-0.612,6.71e-05
EFCAB5,Liver,-3.241311,4.26e-07
EFHD2,Liver,-0.6644253,0.000203
EFNA2,Liver,5.729662,3.91e-13
EFNA5,Liver,-3.556135,1.5e-05
EFS,Liver,-2.534595,3.01e-06
EGFL7,Liver,-1.2424255,1.04e-05
EGFLAM,Liver,-2.073368,5.34e-06
EHBP1L1,Liver,-0.719,3.73e-09
EHD4-AS1,Liver,-0.623,0.00116
EIF2AK1,Liver,1.001898,0.000393
EIF2B1,Liver,1.056353,0.000766
EIF2B2,Liver,0.645438,0.0227
EIF3B,Liver,1.551127,4.77e-05
EIF3I,Liver,1.383601,0.00591
EIF3L,Liver,0.91787,0.000152
EIF4EBP1,Liver,1.302924,0.00124
EIF5A,Liver,2.630324,6.93e-07
EIF6,Liver,1.017765,0.0341
ELAPOR1,Liver,-2.501878,0.00163
ELF5,Liver,-1.037109,1.51e-05
ELFN2,Liver,-4.467915,9.08e-07
ELK3,Liver,2.989121,1.17e-09
ELK4,Liver,2.436448,1.66e-08
ELMOD1,Liver,-2.41299,9.46e-07
ELOC,Liver,2.158898,7.06e-05
ELOVL6,Liver,1.509373,0.000129
ELP6,Liver,-1.797611,0.00083
EMC6,Liver,1.269309,0.000152
EMC9,Liver,1.058554,0.00877
EMG1,Liver,-0.994354,0.00314
EMILIN3,Liver,-3.013404,4.62e-07
EML2,Liver,-0.755,5.88e-08
EMX1,Liver,-2.164533,0.00119
ENDOG,Liver,1.034106,0.00857
ENPP6,Liver,-1.830471,8.65e-07
ENPP7,Liver,-0.7716523,0.00218
ENTPD6,Liver,4.265082,5.32e-09
ENTR1,Liver,1.174802,9.67e-06
ENY2,Liver,1.308623,0.0107
EOLA1,Liver,-0.97217,0.0286
EOLA2,Liver,1.440956,1.96e-05
EPB41L1-AS1,Liver,-0.6816648,0.0114
EPB41L4A,Liver,-0.993651,7.58e-05
EPB41L4A-AS1,Liver,-0.922046,0.0275
EPB42,Liver,-2.225215,3.6e-08
EPCIP-AS1,Liver,0.694592,0.000177
EPHA10,Liver,1.239737,7.32e-07
EPHB6,Liver,-0.8578241,1.69e-06
EPHX2,Liver,2.191315,6.18e-06
EPHX3,Liver,-3.048869,2.96e-06
EPOP,Liver,-1.382853,0.00032
EPPK1,Liver,-1.35,2.72e-07
EPRS1,Liver,0.703988,0.0441
ERAS,Liver,-1.075718,0.00713
ERBB4,Liver,1.638731,3.34e-08
ERC2,Liver,-1.494443,3.56e-06
ERF,Liver,2.408927,3.93e-06
ERFL,Liver,-1.285912,7.74e-06
ERGIC3,Liver,-0.59661436,4.25e-05
ERVMER34-1,Liver,-3.129558,4.87e-07
ESPN,Liver,-0.7922483,0.000728
ESRP1,Liver,-1.875204,0.00685
ESRRA,Liver,2.317325,1.01e-08
ESRRG,Liver,-0.694,0.00544
ESX1,Liver,-0.599897,0.0411
ETF1,Liver,0.672058,0.0388
ETFA,Liver,1.913501,4.93e-07
ETV2,Liver,1.223954,1.6e-05
ETV4,Liver,-2.058122,5.36e-09
ETV7,Liver,-0.879449,0.000155
EVC,Liver,0.906076,2.04e-05
EVPLL,Liver,-0.6411454,0.0353
EXO5,Liver,-2.415876,4.69e-10
EXOSC10,Liver,-1.022077,0.000183
EXOSC10-AS1,Liver,-0.6477776,0.00321
EXOSC5,Liver,-1.1176634,8.93e-06
EXPH5,Liver,1.484222,1.33e-06
EXTL1,Liver,-2.386475,2.99e-08
EZHIP,Liver,-0.893224,0.0324
F2,Liver,1.799127,1.25e-05
F8A3,Liver,1.997678,3.96e-05
FA2H,Liver,-1.439489,0.000662
FAAH2,Liver,1.378916,4.32e-07
FABP5P3,Liver,-1.319033,1.48e-06
FADS6,Liver,1.592002,1.5e-06
FAF1,Liver,1.776935,0.000114
FAHD1,Liver,1.641751,3.85e-07
FAHD2A,Liver,1.515914,0.00135
FAHD2B,Liver,-2.815595,1.67e-12
FAHD2CP,Liver,-2.950366,5.12e-05
FAIM2,Liver,-2.23919,0.00322
FAM107B,Liver,1.457371,0.00755
FAM120A2P,Liver,-2.94431,1.16e-06
FAM124B,Liver,0.63,0.00142
FAM133A,Liver,-2.687134,2.45e-07
FAM153CP,Liver,-1.799744,0.00235
FAM161B,Liver,-2.3849,0.000272
FAM163B,Liver,-0.9675784,2.9e-06
FAM169BP,Liver,-3.544521,6.16e-08
FAM178B,Liver,-2.190853,1.27e-05
FAM181A,Liver,-2.906234,3.05e-06
FAM184B,Liver,-3.640662,5.32e-09
FAM209A,Liver,-1.0378,0.00402
FAM20A,Liver,1.209657,0.016
FAM218A,Liver,0.601122,0.00747
FAM229B,Liver,-0.892648,0.00218
FAM241B,Liver,-4.519665,2.98e-09
FAM41AY2,Liver,-1.128766,0.00102
FAM46A,Liver,0.90445009,0.0017198
FAM47E,Liver,0.980881,7.45e-05
FAM53A,Liver,0.977247,0.000716
FAM74A3,Liver,-3.187343,2.13e-05
FAM83G,Liver,-0.786,2.45e-05
FAM86B3P,Liver,-4.509358,9.34e-11
FAM86C1P,Liver,-1.136435,0.00638
FAM86JP,Liver,-2.657513,1.46e-05
FAM89A,Liver,-1.429794,0.000451
FAM8A1,Liver,0.940254,4.99e-05
FAM90A1,Liver,-5.103758,1.41e-09
FAM90A7,Liver,-4.633817,2.24e-07
FAM9B,Liver,0.9960803,0.000273
FANCE,Liver,-1.897129,0.000328
FARS2,Liver,0.781888,0.0363
FASTK,Liver,-0.7214991,0.000336
FAT4,Liver,1.05213,3.31e-07
FAXC,Liver,-3.187764,3.88e-06
FBF1,Liver,1.060304,1.41e-05
FBXL19,Liver,-1.050904,1.18e-07
FBXL21P,Liver,-2.687419,3.2e-07
FBXL8,Liver,-1.2437318,8.91e-05
FBXO2,Liver,-0.85,0.000282
FBXO24,Liver,-3.553622,1.16e-06
FBXO40,Liver,-1.824959,0.0031
FBXO42,Liver,0.853083,0.00269
FBXO43,Liver,1.087734,8.79e-06
FBXO47,Liver,-0.795537,0.000998
FBXO48,Liver,0.894162,0.000201
FBXW10B,Liver,1.049102,6.8e-05
FBXW11,Liver,2.123373,2.31e-07
FBXW12,Liver,-1.145485,8.96e-05
FBXW2,Liver,2.508591,4.83e-06
FBXW9,Liver,-0.7720426,0.000792
FCAMR,Liver,-1.898987,6.93e-05
FCHO1,Liver,-1.2605991,1.28e-09
FDX1,Liver,0.669885,0.00863
FDX2,Liver,-0.7522223,0.000107
FECH,Liver,-1.704756,0.000245
FEM1A,Liver,-1.028148,0.000329
FERD3L,Liver,0.628146,0.00888
FES,Liver,-0.7115469,0.00104
FFAR1,Liver,0.920448,5.83e-05
FFAR3,Liver,-3.069866,2.32e-05
FGD4,Liver,1.62504,0.000115
FGF17,Liver,-0.718,0.00129
FGF21,Liver,2.17264,3.97e-09
FGF6,Liver,0.999122,0.000452
FGF8,Liver,-1.865019,6.88e-05
FGL1,Liver,3.077618,1.59e-08
FHIP1A,Liver,0.688,5.33e-13
FHIP1B,Liver,-1.36291,0.00624
FHIP2A,Liver,-2.349201,5.66e-05
FHIP2B,Liver,-0.7000617,2.99e-06
FIGLA,Liver,-0.856983,9.8e-05
FITM1,Liver,0.98621759,0.0011493
FKBP1AP1,Liver,-2.96676,7.19e-09
FKBP6P2,Liver,-0.92385,0.00012
FKBPL,Liver,-0.598042,0.0308
FKRP,Liver,1.682643,1.86e-08
FLI1,Liver,-0.596,1.17e-06
FLII,Liver,-0.624985,4.85e-06
FLJ40330,Liver,-0.697164,0.03495
FLRT1,Liver,-1.220292,0.0257
FMC1,Liver,-2.922996,1.43e-09
FMNL1,Liver,-0.934,6.19e-11
FMNL1-AS1,Liver,-0.918,3.79e-07
FMO9P,Liver,-1.796701,2.19e-06
FNDC11,Liver,-1.200011,3.26e-05
FNTA,Liver,0.891133,0.000677
FOXC1,Liver,-2.863779,1.66e-08
FOXD4,Liver,-0.973132,0.0161
FOXD4L1,Liver,-0.726349,0.00194
FOXD4L3,Liver,-3.192967,2.19e-05
FOXD4L5,Liver,-1.727738,1.75e-06
FOXD4L6,Liver,-1.925003,4.37e-06
FOXL1,Liver,-0.768,0.0109
FOXR2,Liver,-0.827606,0.0118
FREM2,Liver,-0.974785,0.0123
FRG2B,Liver,-2.832433,9.7e-11
FRG2C,Liver,-3.596808,4.91e-05
FRS2,Liver,1.989896,7.93e-12
FSAF1,Liver,-1.600886,0.00943
FSD1L,Liver,1.531718,1.46e-06
FSHR,Liver,-3.124904,3.53e-05
FST,Liver,-1.493792,0.0106
FSTL5,Liver,-0.680635,0.019
FTCD-AS1,Liver,-1.0610865,0.000174
FTH1P12,Liver,-1.28634,0.000848
FTH1P7,Liver,2.495699,1.1e-14
FUCA2,Liver,1.699812,9.11e-08
FUT2BP,Liver,-2.818822,5.18e-07
FUT3,Liver,-1.405518,0.015
FUT5,Liver,-3.494768,3.6e-07
FXYD2,Liver,-1.65,3.3e-08
FYCO1,Liver,1.064054,3.66e-05
FZD10,Liver,1.061462,2.59e-05
FZR1,Liver,1.719989,7.47e-07
G6PC2,Liver,-2.529347,4.32e-06
GABPB1-AS1,Liver,1.01642,0.000547
GABRA2,Liver,-1.143535,0.00399
GADL1,Liver,-1.823207,9.66e-07
GAGE1,Liver,0.749328,0.000196
GAGE10,Liver,-2.710785,7.56e-05
GAGE12B,Liver,-5.240781,5.49e-10
GAGE12C,Liver,-5.084049,7.22e-09
GAGE12D,Liver,-0.606561,0.0347
GAGE12E,Liver,-3.649247,2.36e-09
GAGE12F,Liver,-1.799421,4.73e-06
GAGE12J,Liver,-5.508785,8.18e-08
GAGE2B,Liver,-4.672928,2.88e-09
GAGE2C,Liver,-1.072767,3.63e-05
GAGE4,Liver,-5.454667,1.64e-07
GAGE5,Liver,-3.041667,7.48e-08
GAGE6,Liver,-1.524813,4.22e-05
GAL3ST2,Liver,-1.270088,0.00446
GAL3ST3,Liver,-1.961612,0.00383
GALK2,Liver,1.094312,8.14e-05
GALNT2,Liver,1.339051,1.57e-08
GALNT9,Liver,0.709171,0.0012
GALNTL6,Liver,-3.127665,7.7e-05
GALR2,Liver,-3.109006,2.01e-07
GAPDH,Liver,2.079182,3.03e-10
GARIN3,Liver,-1.748781,9.08e-08
GARIN4,Liver,-4.181984,6.12e-08
GARIN5A,Liver,-3.628453,1.71e-07
GAS2L2,Liver,-0.780672,0.00134
GAS6-AS1,Liver,-1.41,1.45e-11
GAS6-DT,Liver,-0.609,0.00123
GAS8-AS1,Liver,-1.377802,0.00352
GATA3-AS1,Liver,0.756093,0.00262
GATB,Liver,-0.703332,0.00234
GATD1,Liver,2.367102,4.19e-11
GATD3,Liver,2.449343,1.71e-07
GBF1,Liver,2.409069,8.94e-11
GBGT1,Liver,-2.145843,2.09e-08
GCAT,Liver,0.80992384,0.0115632
GCAWKR,Liver,0.952,0.00924
GCN1,Liver,-1.083669,0.00587
GCNT4,Liver,1.021002,2.7e-05
GCNT7,Liver,-1.151396,0.0042
GDA,Liver,0.84635,4.4e-06
GDF1,Liver,0.608433,0.0115
GDF2,Liver,0.840384,0.000259
GDF3,Liver,-4.02591,8.13e-07
GEFT,Liver,-0.6877401,0.04247
GEMIN2,Liver,-1.596187,0.00378
GEMIN8P4,Liver,-2.717578,0.000202
GET1,Liver,0.907449,0.00051
GET4,Liver,3.094652,3.04e-08
GFI1B,Liver,-1.14827,0.00487
GFOD3P,Liver,1.41683,2.73e-07
GFPT2,Liver,-2.940049,6.77e-05
GFRA4,Liver,0.700689,0.00468
GGCT,Liver,1.080926,0.00665
GGT2P,Liver,-0.7342368,0.000625
GGT6,Liver,-1.117537,0.00133
GGTA1,Liver,-0.905,2.59e-09
GGTLC2,Liver,-0.858256,0.0028
GH1,Liver,-3.187437,1.3e-06
GIGYF1,Liver,1.871576,2.25e-08
GINS3,Liver,-1.875634,0.00935
GINS4,Liver,-3.811309,2.52e-08
GIP,Liver,-1.728887,0.00121
GIPR,Liver,-0.886,4.99e-05
GIT2,Liver,3.525001,8.57e-08
GJB2,Liver,2.134826,7.59e-09
GJB3,Liver,-4.558309,1.15e-08
GJD2,Liver,-0.592005,0.0461
GKAP1,Liver,1.074367,1.65e-06
GKN1,Liver,1.165969,0.0283
GLA,Liver,-2.030691,0.000236
GLI2,Liver,-0.843,2.66e-05
GLI3,Liver,-1.035238,0.000881
GLO1,Liver,1.172355,6.13e-05
GLTPD2,Liver,2.144951,2.15e-09
GLYATL3,Liver,0.6014479,0.00546
GLYCTK,Liver,2.741538,1.42e-07
GMEB2,Liver,-1.738985,5.1e-05
GMPS,Liver,1.363405,6.42e-06
GNAS-AS1,Liver,-0.760404,0.00854
GNAT2,Liver,-1.27728,0.000901
GNB1L,Liver,1.328608,3.45e-07
GNG12,Liver,2.083085,6.46e-07
GNG8,Liver,-0.900026,0.0376
GNGT2,Liver,-0.672,0.000343
GNRH2,Liver,-1.4672,5.24e-05
GNRHR2,Liver,1.061741,2.79e-05
GNS,Liver,-1.977697,3.53e-05
GOLGA2P10,Liver,-0.712665,1.34e-05
GOLGA2P11,Liver,-0.946849,0.00252
GOLGA2P3Y,Liver,0.640067,0.00254
GOLGA2P6,Liver,-1.808831,0.0036
GOLGA6B,Liver,-1.71636,0.000576
GOLM2,Liver,1.907617,3.24e-05
GON7,Liver,0.962073,0.00406
GOSR1,Liver,1.048286,7.83e-06
GOT1,Liver,-0.96039,0.00859
GP6,Liver,-1.41127,2.93e-06
GP6-AS1,Liver,-0.691509,0.00592
GP9,Liver,-0.743847,0.0124
GPAT2,Liver,-0.5904093,0.000146
GPAT3,Liver,0.975137,0.0174
GPATCH1,Liver,1.03578,0.000882
GPBAR1,Liver,-0.760769,0.00419
GPC5,Liver,0.631,0.000575
GPC5-AS2,Liver,0.6646534,0.0345
GPC6,Liver,2.352967,2.27e-12
GPHRB,Liver,1.681731,0.0205
GPR107,Liver,0.771018,0.00397
GPR119,Liver,-1.611036,0.000487
GPR124,Liver,-0.9415847,0.03823
GPR125,Liver,1.3276889,0.04713
GPR137,Liver,-0.8029916,9.2e-05
GPR139,Liver,-2.528479,1.45e-05
GPR142,Liver,-1.594349,0.00605
GPR148,Liver,-2.228004,8.38e-06
GPR149,Liver,-0.978374,0.000427
GPR152,Liver,-3.316048,6.57e-07
GPR15LG,Liver,-1.942827,0.0121
GPR179,Liver,-1.278995,0.000557
GPR180,Liver,1.737313,0.000752
GPR31,Liver,-1.301972,0.000597
GPR34,Liver,-0.599,4.03e-05
GPR35,Liver,-0.8080711,0.000265
GPR42,Liver,-0.806483,0.000333
GPR45,Liver,-0.619473,0.0192
GPR50,Liver,-1.135421,0.0028
GPR6,Liver,-2.798499,5.68e-06
GPR61,Liver,-2.201525,1.14e-07
GPR63,Liver,-3.305817,9.49e-05
GPR68,Liver,-2.932059,8.31e-08
GPRASP1,Liver,1.055409,6.19e-06
GPRIN2,Liver,-0.6106142,0.00764
GPSM1,Liver,-1.4613969,6.81e-08
GPT,Liver,-0.7709893,0.0026
GPX4,Liver,2.029412,2.06e-11
GPX5,Liver,-2.587981,6.16e-08
GRB2,Liver,1.518972,8.34e-09
GREP1,Liver,-0.8309207,0.000806
GRHL3,Liver,-2.498586,7.89e-07
GRIA4,Liver,-1.450193,0.00024
GRID2IP,Liver,-0.8859828,0.00168
GRIN3B,Liver,-0.8836292,0.000703
GRK6,Liver,-0.7258946,4.27e-05
GRM3,Liver,-2.548731,3.59e-06
GRM6,Liver,-1.740161,1.86e-08
GRPEL1,Liver,0.914175,0.00291
GRXCR2,Liver,-1.783693,4.72e-06
GSDMA,Liver,-2.069674,1.62e-07
GSDMC,Liver,-2.665885,4.32e-05
GSG1,Liver,-1.048223,5.5e-05
GSS,Liver,0.920916,0.0337
GSTA5,Liver,-3.227566,1.09e-05
GSTA7P,Liver,0.7566388,0.00426
GSTO1,Liver,2.366209,1.92e-10
GSTT2,Liver,-1.922109,0.0351
GSTT2B,Liver,0.949096,0.0157
GSTTP2,Liver,-1.856477,1.2e-07
GSTZ1,Liver,1.128899,0.00101
GTF2E2,Liver,-2.019225,2.66e-05
GTF2H2,Liver,2.156193,6.95e-07
GTF2IRD1P1,Liver,0.656409,0.00464
GTF2IRD2B,Liver,-1.823068,9.81e-07
GTF2IRD2P1,Liver,-1.1402,2.14e-06
GTF3A,Liver,-2.046184,1.03e-06
GUCA1ANB-GUCA1A,Liver,1.425351,9.61e-08
GUCA2B,Liver,-2.183267,9.26e-05
GUSBP14,Liver,-2.813465,3.08e-06
H1-10-AS1,Liver,-3.430602,2.32e-06
H1-3,Liver,-1.03,1.78e-08
H1-4,Liver,1.767737,4.59e-09
H1-5,Liver,-1.44,2.07e-07
H1-7,Liver,-1.666339,0.000128
H2AB1,Liver,-2.779939,9.87e-06
H2AB2,Liver,-1.49956,0.000625
H2AB3,Liver,0.975149,0.000228
H2AC1,Liver,-2.300332,0.00238
H2AC11,Liver,-2.086733,1.12e-07
H2AC13,Liver,-1.22,0.000313
H2AC14,Liver,0.904807,0.00186
H2AC16,Liver,0.586946,0.00925
H2AC17,Liver,-0.735,0.00637
H2AC18,Liver,-1.2338763,3.5e-05
H2AC19,Liver,2.67963,1.46e-05
H2AC6,Liver,2.262864,5.95e-06
H2AC7,Liver,-0.605093,0.00809
H2AC8,Liver,-0.8208946,0.00035
H2AZ2,Liver,0.951707,6.39e-05
H2BC1,Liver,-0.992662,5.18e-05
H2BC10,Liver,-1.08,0.000208
H2BC11,Liver,-0.98,3.8e-05
H2BC12,Liver,0.889254,0.0282
H2BC12L,Liver,-0.8283588,0.000713
H2BC14,Liver,-1.13,0.000375
H2BC15,Liver,-0.6085151,0.00148
H2BC26,Liver,-2.140243,3.76e-06
H2BC3,Liver,0.691216,0.00098
H2BC4,Liver,4.109105,2.02e-11
H2BC5,Liver,1.531937,4.23e-05
H2BC6,Liver,1.854863,2.27e-08
H2BC7,Liver,1.168756,0.000871
H2BC8,Liver,-0.65,1.48e-06
H2BC9,Liver,1.648363,6.3e-09
H3-3A,Liver,0.734134,0.0012
H3-3B,Liver,-1.063332,0.00149
H3C1,Liver,-0.9407024,0.00286
H3C10,Liver,-0.7131335,0.0195
H3C11,Liver,0.758487,0.000411
H3C13,Liver,-1.974933,0.000979
H3C2,Liver,-1.27,3.22e-06
H3C3,Liver,-0.6709705,0.0353
H3C6,Liver,0.962968,1.42e-05
H3C7,Liver,0.914044,0.00153
H3P6,Liver,2.55443,1.47e-08
H4C1,Liver,-0.9271704,0.00253
H4C11,Liver,2.281424,7.22e-09
H4C12,Liver,-0.957048,0.00333
H4C13,Liver,1.042266,0.00248
H4C14,Liver,-1.3500845,9.13e-06
H4C15,Liver,-1.3890361,4.21e-06
H4C16,Liver,-1.2450173,4.79e-06
H4C2,Liver,1.812027,4.22e-06
H4C3,Liver,1.900556,0.00158
H4C5,Liver,3.805743,2.19e-16
H4C6,Liver,-1.24,9.1e-06
HAAO,Liver,4.023019,6.12e-10
HACD1,Liver,-1.521395,0.0138
HACE1,Liver,0.811709,0.00135
HACL2,Liver,-0.713995,0.00556
HAGHL,Liver,-1.89164,0.00262
HAO1,Liver,2.004127,1.49e-05
