gene,logFC,p_value,adj_p_value
ADAMTS9,-0.74034591,1.88e-21,1.85e-19
CILP2,-2.55181869,2.0000000000000002e-21,1.97e-19
LOC105374646,0.82827044,2.35e-21,2.3e-19
RUBCNL,-1.11574936,2.6900000000000002e-21,2.61e-19
IGHV3-7,-4.31179489,3.04e-21,2.95e-19
TMEM119,-1.17342582,3.2100000000000004e-21,3.1e-19
HTR2A,-1.28225249,3.23e-21,3.11e-19
WIF1,2.39273755,3.44e-21,3.3e-19
MKX,-1.26369087,3.4900000000000005e-21,3.34e-19
MPEG1,-0.91981229,3.6800000000000004e-21,3.46e-19
CTSB,-0.68159479,3.6800000000000004e-21,3.46e-19
LOC101927995,-1.26916453,3.6700000000000006e-21,3.46e-19
RAB20,-0.8896299,3.660000000000001e-21,3.46e-19
DUSP3,-0.30360329,3.78e-21,3.54e-19
FEZ2,-0.33658704,4.4400000000000004e-21,4.13e-19
CYP4Z2P,1.3669263,4.4300000000000005e-21,4.13e-19
LOC105374541,-2.14921731,4.51e-21,4.18e-19
ZNF22-AS1,-0.73536088,5.27e-21,4.86e-19
LOC102724874,-2.0975448,6.050000000000001e-21,5.57e-19
MATN4,2.12170261,6.2600000000000005e-21,5.73e-19
COL4A3,-1.05121277,6.3300000000000004e-21,5.77e-19
TNFRSF10B,-0.63034736,7.4e-21,6.72e-19
SMIM3,-1.07794631,7.42e-21,6.72e-19
NAV2-AS4,-1.03904479,7.75e-21,7e-19
CCR1,-1.33780138,7.790000000000001e-21,7.01e-19
JCAD,-0.93072989,7.82e-21,7.01e-19
LGALS3BP,-0.99722869,9.510000000000002e-21,8.5e-19
SRGN,-0.97811755,1.01e-20,9.01e-19
GPR176,-0.73037889,1.02e-20,9.08e-19
IGHJ5,-3.71987633,1.08e-20,9.51e-19
LGALS9,-1.02224628,1.1e-20,9.65e-19
VOPP1,-0.67714436,1.22e-20,1.07e-18
NLGN4X,-0.93245561,1.26e-20,1.1e-18
IGHV4-59,-4.48688347,1.35e-20,1.18e-18
ELK3,-0.42968628,1.39e-20,1.2e-18
COL4A2-AS1,-1.09289378,1.57e-20,1.36e-18
C3,-1.19235715,1.62e-20,1.39e-18
HAPLN3,-0.85107614,2.12e-20,1.82e-18
PLA1A,-1.57901186,2.22e-20,1.9e-18
FCGR1CP,-2.28386645,2.4e-20,2.05e-18
IGKV1-33,-4.27139323,2.47e-20,2.1e-18
LOC105375909,-2.10033426,2.56e-20,2.17e-18
STOM,-0.36541012,2.59e-20,2.19e-18
SIGLEC1,-1.17401669,2.61e-20,2.2e-18
IGLC3,-3.85398949,2.77e-20,2.32e-18
IGKJ1,-3.63959079,3.04e-20,2.54e-18
PCBP3,-1.1425601,3.08e-20,2.57e-18
LOC105376244,-1.2816527,3.29e-20,2.73e-18
IL6,-2.43353414,3.37e-20,2.78e-18
IGLC1,-3.94139206,3.37e-20,2.78e-18
SPARCL1,-0.60177431,3.74e-20,3.08e-18
LRP1B,1.15178063,3.9e-20,3.2e-18
ALPK2,-1.86343164,4.58e-20,3.74e-18
PDE7B,-0.63585954,4.97e-20,4.04e-18
LOC102724584,-0.90104383,5.08e-20,4.12e-18
TYROBP,-0.9602053,5.29e-20,4.27e-18
PTX3,-1.64037852,5.39e-20,4.35e-18
LOC107985779,1.22910322,6.34e-20,5.1e-18
IGLJ2,-4.0077002,6.7e-20,5.36e-18
KCNJ6,-2.50682202,6.79e-20,5.42e-18
LOC101929256,-0.88970424,7.16e-20,5.7e-18
ITSN1,-0.3974659,7.66e-20,6.08e-18
IGKV2-28,-4.35352279,7.76e-20,6.14e-18
SAMHD1,-0.68795625,8.87e-20,6.99e-18
TTC7B,-0.40919203,9e-20,7.07e-18
TLDC2,-0.6689148,9.51e-20,7.45e-18
IGKV1-39,-3.72618049,1.01e-19,7.92e-18
GUCY1A1,-0.74777625,1.17e-19,9.14e-18
LOC102724852,-1.7608638,1.21e-19,9.36e-18
CCL2,-1.43692,1.29e-19,1e-17
CXCL1,-1.93024189,1.33e-19,1.03e-17
IGLL5,-3.7468482,1.35e-19,1.04e-17
FAM225A,-0.97635295,1.45e-19,1.11e-17
RGL1,-0.52239131,1.46e-19,1.11e-17
H19,-1.74961997,1.5e-19,1.14e-17
LOC112267876,-1.75327883,1.61e-19,1.22e-17
CFAP161,0.90572521,1.62e-19,1.23e-17
PDE10A,-0.70764197,1.64e-19,1.24e-17
IGKV3-11,-4.25844925,1.77e-19,1.33e-17
APOL1,-1.18151231,1.78e-19,1.33e-17
IGLV2-14,-3.6921341,1.83e-19,1.37e-17
FZD4,-0.7932003,1.85e-19,1.38e-17
ITGB1,-0.42211731,2e-19,1.49e-17
LTBP2,-1.22845963,2.2e-19,1.63e-17
CDH10,1.89888899,2.36e-19,1.74e-17
CDH5,-0.72932212,2.72e-19,2e-17
BATF3,-1.08355508,2.75e-19,2.02e-17
HCLS1,-0.78830078,3.04e-19,2.23e-17
GALNT10,-0.57700465,3.15e-19,2.3e-17
FKBP1A,-0.29513911,3.18e-19,2.31e-17
ASAP1,-0.35000269,3.81e-19,2.77e-17
LRRN2,-0.89743995,3.86e-19,2.79e-17
SPIB,-2.03345507,3.89e-19,2.81e-17
CR1L,-1.6946867,3.95e-19,2.84e-17
LOC100129034,-0.37011621,3.99e-19,2.86e-17
APLNR,-1.14432968,4.33e-19,3.1e-17
PTGER4,-0.68291758,4.35e-19,3.1e-17
TM6SF1,-0.44618309,4.54e-19,3.23e-17
ITGA4,-0.9709649,4.69e-19,3.33e-17
IGKV1D-39,-3.70424395,4.72e-19,3.34e-17
SPRY4,-0.78792165,4.83e-19,3.4e-17
AOAH,-0.93884788,5e-19,3.52e-17
FOLR2,-1.04253749,5.43e-19,3.81e-17
RIC3,0.41814574,5.76e-19,4.03e-17
KLHL6,-0.8935411,5.97e-19,4.17e-17
IGLC2,-3.54629555,6.08e-19,4.23e-17
PLAC8,-1.74168358,7.46e-19,5.17e-17
MYO1B,-0.46744266,7.51e-19,5.19e-17
IGKJ2,-4.56798522,7.71e-19,5.32e-17
LOC105377016,-0.4890383,7.83e-19,5.37e-17
CCN1,-1.3078522,7.83e-19,5.37e-17
LOC105373905,-1.41545766,7.95e-19,5.44e-17
IGKV2D-28,-4.21786543,9.02e-19,6.15e-17
ADAMTS4,-1.25140058,9.38e-19,6.38e-17
TNFRSF1B,-0.76753364,9.49e-19,6.44e-17
RASSF2,-0.66236812,9.8e-19,6.63e-17
SUGCT,-0.95088299,1.03e-18,6.92e-17
CALD1,-0.56686356,1.08e-18,7.25e-17
KHDRBS3,-0.74090522,1.1e-18,7.37e-17
HCN1,-1.48730006,1.1e-18,7.37e-17
LOC107984429,-0.85808207,1.15e-18,7.7e-17
LOC107984360,-1.08518721,1.22e-18,8.14e-17
GNS,-0.36029388,1.3e-18,8.6e-17
LOC105374412,-1.40458862,1.3e-18,8.6e-17
SLC35B4,-0.27934791,1.31e-18,8.62e-17
SHC1,-0.46192229,1.31e-18,8.65e-17
HOTS,-1.6479279,1.33e-18,8.72e-17
IGFBP3,-1.46564942,1.39e-18,9.08e-17
CCL3,-2.46986155,1.46e-18,9.48e-17
ZC3H6,0.39089921,1.45e-18,9.48e-17
FAM225B,-0.95389436,1.6e-18,1.04e-16
FSIP1,-1.46259796,2.07e-18,1.34e-16
SGCG,1.14767209,2.26e-18,1.46e-16
SASH3,-0.9589265,2.44e-18,1.57e-16
C5AR1,-1.12105938,2.56e-18,1.64e-16
TFEC,-1.18713393,2.67e-18,1.71e-16
CARD6,-0.716887,2.71e-18,1.73e-16
KLHL5,-0.40554736,2.71e-18,1.73e-16
TM4SF18,-0.8108413,2.91e-18,1.85e-16
MTHFD1L,-0.6705983,3.11e-18,1.98e-16
LYN,-0.7087188,3.15e-18,1.99e-16
IGHG4,-4.19928238,3.17e-18,2e-16
APBB1IP,-0.9892665,3.19e-18,2.01e-16
MSC-AS1,-0.68337733,3.63e-18,2.28e-16
LOC112268296,-1.18025647,3.67e-18,2.3e-16
CSF1R,-0.77835203,3.73e-18,2.33e-16
SH2B3,-0.55401673,3.75e-18,2.34e-16
GJC1,-0.67608424,4.02e-18,2.49e-16
B4GALT1,-0.6183697,4e-18,2.49e-16
C7,-1.28433885,4.31e-18,2.67e-16
SLC7A6,-0.27173804,4.81e-18,2.97e-16
IGKV3-15,-3.96076129,4.99e-18,3.07e-16
CEACAM21,-1.2011409,5.08e-18,3.12e-16
TRIB2,-0.60721137,5.56e-18,3.41e-16
TMEM233,-1.10461408,5.8e-18,3.55e-16
TXNDC5,-0.58557672,6.08e-18,3.71e-16
BMP1,-0.66011388,6.12e-18,3.72e-16
SOCS3,-1.41106255,6.88e-18,4.17e-16
LINC00856,-1.78637029,7.1e-18,4.3e-16
HAVCR2,-0.82963523,7.84e-18,4.74e-16
SDC3,-0.84848048,7.99e-18,4.82e-16
PLEKHO1,-0.62784032,8.44e-18,5.07e-16
ABL2,-0.40438389,1.05e-17,6.27e-16
LOC107986013,-0.69523344,1.07e-17,6.38e-16
SEPTIN4,-0.50247055,1.08e-17,6.45e-16
LAPTM5,-0.87117966,1.08e-17,6.45e-16
IL10RA,-0.80879457,1.1e-17,6.5e-16
SH2D3C,-0.76134635,1.1e-17,6.53e-16
PRND,-2.30452321,1.13e-17,6.67e-16
NAV2-AS5,-0.91493596,1.13e-17,6.67e-16
NLRC4,-0.69020534,1.14e-17,6.69e-16
CGAS,-0.70610588,1.16e-17,6.78e-16
IL12RB2,-0.64057123,1.17e-17,6.85e-16
NGF,-1.1379986,1.18e-17,6.89e-16
INMT,-0.88509554,1.24e-17,7.2e-16
CCDC71L,-0.60967179,1.3e-17,7.54e-16
ICAM1,-0.88508485,1.46e-17,8.48e-16
C6,-1.82655994,1.59e-17,9.22e-16
FAM162B,-0.76101486,1.6e-17,9.25e-16
CLMAT3,-0.96004342,1.61e-17,9.28e-16
SIGLEC11,-1.33932372,1.63e-17,9.35e-16
BLOC1S5-TXNDC5,-0.56590056,1.63e-17,9.36e-16
SERPINH1,-0.73761569,1.79e-17,1.02e-15
LOC101927293,-1.18651857,1.8e-17,1.03e-15
RNASE6,-0.79572185,1.83e-17,1.04e-15
IGKV1-5,-3.93000488,1.83e-17,1.04e-15
LGI2,-0.97409389,1.83e-17,1.04e-15
LOC112267984,-1.1147381,1.85e-17,1.05e-15
COTL1,-0.94738375,2.05e-17,1.16e-15
CYBA,-0.75178938,2.11e-17,1.19e-15
IRF8,-1.08325194,2.25e-17,1.26e-15
LEPR,1.01950756,2.37e-17,1.33e-15
DPYS,-1.6280225,2.43e-17,1.36e-15
MSN,-0.39904941,2.47e-17,1.38e-15
CTHRC1,-1.28570345,2.75e-17,1.53e-15
LOC112267915,-0.90012629,2.86e-17,1.59e-15
HDGFL3,-0.38916112,2.93e-17,1.62e-15
TMEM236,-0.90918615,3.16e-17,1.74e-15
EEIG2,-0.41548481,3.23e-17,1.78e-15
ERG,-0.55314255,3.25e-17,1.79e-15
LMCD1,-0.59560612,3.53e-17,1.94e-15
COL11A1,-2.66807047,3.54e-17,1.94e-15
CENPO,-0.31778708,4.14e-17,2.26e-15
LOC105379170,-0.68674087,4.69e-17,2.56e-15
ADAP2,-0.65817167,4.82e-17,2.62e-15
CALU,-0.61808015,4.84e-17,2.63e-15
PHACTR2,-0.3637935,5.22e-17,2.83e-15
STAT3,-0.34301114,5.32e-17,2.88e-15
COMP,-2.15564646,5.46e-17,2.94e-15
LOC105374542,-1.97272746,5.54e-17,2.98e-15
PGF,-0.84859096,5.62e-17,3.02e-15
DACT1,-0.94777688,5.87e-17,3.14e-15
CHST11,-0.72535323,5.85e-17,3.14e-15
IKBIP,-0.65342633,6.2e-17,3.31e-15
LINC00908,0.97221937,6.35e-17,3.38e-15
SHROOM4,-0.46510077,6.37e-17,3.39e-15
CYRIA,-0.59179228,6.59e-17,3.5e-15
RBMS3-AS1,-0.84493944,7.19e-17,3.8e-15
POSTN,-1.03992482,7.38e-17,3.9e-15
SPP1,-3.11337489,8.06e-17,4.25e-15
ETS1,-0.473772,8.08e-17,4.25e-15
TRPM2,-0.85320459,8.13e-17,4.26e-15
TIMP1,-1.01400282,8.17e-17,4.27e-15
GLIS3,-1.03444741,8.16e-17,4.27e-15
SCARA5,1.39531634,8.24e-17,4.3e-15
GRAP,-0.73544237,8.34e-17,4.34e-15
SUN1,0.20767199,8.84e-17,4.59e-15
PDIA4,-0.3058989,9.06e-17,4.69e-15
ICAM2,-0.6529464,9.21e-17,4.76e-15
LOC105375242,-1.14221202,9.23e-17,4.76e-15
GGT5,-0.97769839,9.34e-17,4.81e-15
TLR8,-1.02664422,9.64e-17,4.95e-15
KCP,-0.93859813,9.76e-17,5e-15
LINC01614,-2.53675621,9.78e-17,5e-15
FGR,-0.65685187,1e-16,5.11e-15
