gene,logFC_skin,adj_p_skin,logFC_kidney,adj_p_kidney,logFC_liver,adj_p_liver,logFC_lungs,adj_p_lungs
SVEP1,-1.4205033,0.000299,-1.653771,0.00079,0.867,8.75e-10,-1.5330298,1.68e-07
TAF9B,-2.7242287,1.57e-05,-0.8144582,0.0124,1.475478,1.68e-06,0.5980805,1.19e-08
TAGLN,-0.6293668,3.03e-08,2.12357696,2.63e-09,2.14,6.02e-13,-0.7302509,6.78e-05
TAGLN2,-0.9349774,0.00215,1.06,0.00655,2.985035,2.47e-08,0.8371177,2.74e-08
TBC1D22B,-1.4650427,0.0174,0.6602248,0.0214,-1.474277,0.000702,0.6061164,3.66e-09
TBX5,-1.1325377,0.00445,-1.5146142,0.00349,-1.9178,0.000268,1.0835405,3.57e-07
TDO2,-1.83012285,4.77e-11,0.80552947,0.000706,3.658932,5.8e-10,-1.71142377,7.82e-18
TDRD9,-0.78109041,0.00202,-1.1590974,0.0109,-1.710393,0.00239,0.60610656,1.22e-20
TGFB2,-0.9545215,8.59e-06,-1.2042768,0.00142,-2.744284,2.07e-08,-0.65730721,6.76e-12
TGFB3,-1.04914499,1.4000000000000002e-21,-1.5824395,0.00102,-0.859,1.98e-06,-1.01667604,3.72e-21
TGFBR1,-0.6504068,5.59e-15,-0.8789638,0.00485,0.879653,0.00136,-1.3531168,2.05e-15
TGM2,-2.41498901,2.2e-25,-1.438884,0.000114,1.434334,1.16e-05,1.3318364,7.98e-13
THBS1,-2.45515344,9.01e-30,0.8024248,0.00287,1.9,5.93e-10,1.16263442,7.21e-13
THY1,-1.69448009,2.5000000000000002e-29,-1.6895961,0.00135351,-1.59,6.87e-10,-1.71080506,1.3799999999999999e-30
TIE1,-0.62182122,2.01e-11,1.17,0.00186,0.597,4.12e-07,1.3725845,3.73e-14
TIMP1,-1.01400282,4.27e-15,0.94847442,5.67e-05,-1.95,1.84e-10,-0.780185,0.0418
TIMP4,-1.29454714,1.53e-09,1.4164741,0.00156,-3.319472,2.27e-05,0.92155603,1.32e-19
TIPARP,0.5852423,0.00102,-2.1299302,2.24e-14,1.69,4.79e-14,-0.6637995,0.000471
TKFC,-0.9312622,0.00139,-0.7942927,0.000177,1.977949,2.42e-05,0.6151282,5.52e-09
TKT,-0.702885,0.00247,0.61449702,0.000187,2.453804,3.31e-05,0.63945686,1.62e-20
TLE5,-0.8111673,2.67e-06,0.8237967,0.00632,2.440865,2.22e-11,-1.1024559,3.17e-08
TLR10,-1.43568583,1.31e-13,-1.5315714,0.000836,-2.846806,5.97e-08,2.9179237,2.52e-08
TLR2,-0.59938129,1.13e-09,1.18512326,0.000175,-1.090835,0.00484,0.97219928,5.43e-19
TLR4,-0.69291394,3.42e-11,-0.9464314,0.000684,0.645,6.92e-06,0.7103303,3.0700000000000002e-21
TMEM156,-0.84474608,7.11e-07,-1.6303599,0.000497,-1.872101,4.86e-09,-0.72148171,3.33e-10
TMEM200A,-0.61569894,1.16e-12,0.809,0.0492,-1.49,1.28e-06,-0.83668,0.000809
TMEM259,-3.1662065,2.04e-05,2.3582889,4.91e-05,2.718675,8.87e-09,1.0351573,1.21e-12
TMEM37,-0.62823231,1.12e-08,0.5983466,0.0289,2.897368,6.59e-11,1.4297536,1.6e-11
TMOD3,-0.7684901,0.00774,-0.8796371,0.000214,1.078797,0.00101,-0.9348705,5.14e-12
TMPO,-0.6334209,5.94e-05,-0.8841448,0.000204,0.635333,0.00398,-0.5899536,3.88e-09
TMPRSS2,-1.0594323,0.0184,-0.8266204,2.14e-05,0.744,1.88e-06,-1.0858275,8.92e-05
TMX1,-0.7124803,0.000153,-1.3460655,8.59e-09,-0.976443,0.00185,-0.9080841,1.34e-15
TNC,-1.65298949,3.7799999999999994e-23,3.1558412,0.00017156,1.090925,8.25e-05,-1.40301982,3.61e-16
TNFAIP6,-1.1473936,3.51e-07,-1.9017365,0.00102,0.871812,6.05e-05,-0.9965125,0.0352
TNFRSF11B,-1.41963819,1.11e-14,1.1176865,1.26e-05,0.683,5.41e-07,-1.44947,0.00912
TNFRSF12A,-0.75607171,2.85e-07,-1.44412,2.26e-05,-3.68,2.6e-14,1.7289145,1.1e-10
TNFRSF1B,-0.76753364,6.44e-17,1.27405175,2.24e-06,0.863,4.08e-11,0.9285105,1.76e-10
TNFRSF21,-0.61979715,2.31e-13,-0.7112826,9.77e-05,2.38,7.339999999999999e-23,-0.72223197,2.02e-20
TP63,-1.1859001,2.09e-05,-1.4070556,0.00227,-4.46471,1.78e-07,-1.44721369,3.98e-22
TPPP3,-0.982496,0.00362,-0.9576591,2.48e-07,-1.18,4.48e-05,-1.42149474,1.3099999999999999e-30
TRAC,-1.142336,0.00054,0.8719256,0.0259,1.46,6.61e-18,1.0422236,6.59e-05
TREM1,-0.79366649,0.000406,-1.2044559,0.043,-1.17,0.000719,1.205315,8.26e-06
TRMT44,-1.08,0.028037,-1.3475537,0.0187,1.030623,0.000142,0.6648964,2.18e-09
TSPAN4,-0.634387,0.00041,0.6749037,0.0281,0.783,1.52e-15,1.3682809,4.61e-12
TSPAN8,0.68722888,1.78e-05,1.2662383,0.00199,2.8,8.42e-20,-0.68302285,4.98e-05
TTN,-0.7330599,0.00164,-1.5461462,0.000908,-1.68612,0.000129,1.13010604,2.8e-11
TUBB3,-0.65042434,2.88e-07,0.60394288,2.98e-05,-3.027349,5.86e-07,-1.595735,2.44e-06
TXNDC5,-0.58557672,3.71e-16,-1.086722,4.39e-05,3.645185,5.4e-11,-0.8312425,0.000301
TYMP,-0.82404501,2.21e-09,0.606905,0.0105,2.895644,6.19e-08,0.6333091,3.21e-06
TYROBP,-0.9602053,4.27e-18,2.19115809,2.09e-06,1.92,6.94e-20,1.9170427,1.87e-14
UBD,-1.38863339,2.73e-08,1.1838776,0.000421,-1.9,1.99e-13,-0.84538503,1.4e-13
UBE4B,-0.7622571,3.44e-06,-0.8829333,0.00105,-0.586,2.19e-09,-0.7951605,2.07e-11
UCP2,-0.86300336,2.26e-12,1.43459347,6.62e-07,1.35,9.43e-13,1.2627091,1.67e-11
USP6,-1.3816983,0.00391,2.3025205,5.63e-05,-0.877215,0.00079,1.9721088,0.000333
VCAM1,-1.27270789,6.53e-25,-2.1179811,0.000217,1.418903,4.47e-06,-1.47585872,6.78e-15
VCAN,-0.71024619,4.47e-09,1.948057,9.07e-06,2.1,9.29e-16,-2.1909255,1.03e-13
VMP1,-0.8809947,1.85e-22,-1.2061432,5.1e-05,-0.721,0.000969,-1.4779875,9.34e-06
VNN1,-0.67820535,8.58e-06,-1.999982,0.0433,3.431364,5.16e-10,0.85868436,1.38e-10
VNN2,-0.99633475,1.52e-06,-0.9286412,0.00598,-1.473719,7.46e-06,1.20592438,8.46e-17
VSIG4,-1.42827665,1.2499999999999999e-23,1.69633573,8.29e-06,1.04,3.9e-06,0.89669186,9.32e-13
VWF,-0.97442246,2.94e-25,0.6088809,0.000127,2.25,5.24e-17,0.80510831,2.46e-17
WDFY4,-0.77680856,2.11e-08,-1.5403612,0.000724,-0.594,1.04e-07,0.8793941,0.0113
WFDC1,-0.60797543,2.3e-06,1.6376545,1.19e-05,0.933,4.77e-06,0.7045759,2.31e-09
WIF1,2.39273755,3.3e-19,1.8327843,0.00215,0.58924,0.00525,1.3618409,0.000175
WNT10B,-0.6265998,0.0101,-0.950968,0.00312671,-2.785589,1.94e-08,1.559168,0.000293
WNT2,-1.39002268,8.57e-08,-1.4775357,0.00119,1.657302,4.65e-08,0.8935836,7.27e-05
XPNPEP2,-0.8080042,0.00278,-0.9155305,0.00163,-1.600529,0.00536,-1.8747959,0.017508
YTHDC2,-0.6801306,0.000138,-0.7124738,0.000124,1.245407,0.0163,-1.0501127,1.62e-14
ZBED2,-0.73010451,2.95e-06,1.19251075,0.000798,-1.293577,0.000255,0.8178973,1.6e-07
ZBP1,-0.9538179,2.06e-06,0.593,0.0142,-0.916,1.1e-07,1.3905121,4.39e-05
ZBTB16,-0.9745233,0.0329,-1.92699435,0.000128,1.783517,4.02e-05,1.41639488,2.79e-16
ZBTB38,0.7621094,9.36e-05,-0.9916916,0.000231,1.092463,3.08e-06,-1.743605,3.11e-14
ZBTB7A,-2.4249534,2.03e-05,-0.918169,0.00279,2.56576,2.26e-13,0.8438823,1.04e-13
ZFP36L2,-1.0218201,1.15e-05,-1.3350787,7.71e-05,0.886,1.72e-08,1.1287214,1.32e-12
ZNF253,-0.757879,0.0273,-1.1081696,0.00571,1.1982,8.88e-07,-0.8471859,6.49e-07
ZNF385B,1.10664882,9.41e-07,-1.5175621,0.00127,1.811018,8.26e-09,1.20323967,7.92e-21
ZNF682,-0.7252493,0.00268,-1.5092859,0.00134,-2.032172,0.00355,-1.0830109,3.54e-08
ZNF83,-0.7254141,0.000134,0.6775739,0.0137,1.69,6.29e-14,-1.8811427,1.09e-15
