gene,logFC_skin,adj_p_skin,logFC_kidney,adj_p_kidney,logFC_liver,adj_p_liver,logFC_lungs,adj_p_lungs
CH25H,-0.95198533,1.02e-13,0.92065484,0.000692,-2.06,2.27e-07,0.9650686,0.00051
CHI3L1,-1.5186154,0.000555,-1.9005463,2.67e-05,-2.71,1.79e-10,-1.57505,1.47e-06
CHM,-1.604053,0.0251,-0.7685066,3.86e-05,1.599536,9.43e-05,-0.669665,1.71e-08
CHN1,-1.26232149,2.0200000000000003e-31,-0.8511241,0.00244,-1.037572,0.00923,-1.1615191,9.04e-13
CHP1,-0.8393,0.00012,-0.5892033,0.0151,1.378066,0.00182,0.6801682,2.73e-08
CIZ1,-1.1441427,1.33e-06,0.704,0.016,2.238041,1.48e-06,0.6808105,1.23e-13
CLIC6,-0.74034002,5.34e-09,-1.1073748,0.0178,-1.08,7.27e-05,-1.31795875,3.85e-17
CLN3,-0.6035928,0.000118,0.7421185,0.0184,0.98717,0.0307,0.7596291,1.7e-08
CMTM3,-0.61355463,1.41e-12,-1.0446503,0.00412,-0.885,2.37e-09,1.5596841,8.56e-16
CNKSR2,0.93621944,3.11e-11,-1.0362491,0.0224,0.86,4.12e-09,-0.9371095,0.000204
CNR2,-1.51867614,2.2e-11,-1.3985165,0.0101,-0.645,8.68e-09,2.1506481,5.06e-05
COL15A1,-1.08431296,2.6899999999999997e-24,2.19890718,6.62e-07,1.42,7.56e-07,-1.3335039,6.28e-29
COL1A1,-1.299026,1.44e-17,1.75677827,1.68e-05,-2.25,1.15e-16,-1.77332415,8.23e-27
COL1A2,-0.64727756,3.42e-10,2.65687138,1.2e-05,2.29,8.34e-20,-2.07443711,9.32e-05
COL3A1,-0.96693176,1.48e-12,3.3215404,0.00010849,-1.11,8.33e-13,-1.61665883,8.19e-25
COL4A1,-1.48041916,1.04e-44,-1.403906,1.29e-05,2.24,5.79e-17,-1.4796275,1.76e-07
COL4A2,-1.10593268,2.25e-20,-1.2185731,7.65e-06,2.47,7.47e-19,-1.6538911,1.2e-08
COL5A2,-1.36821426,2.6899999999999997e-24,1.63287273,1.08e-06,1.17,1.18e-09,-1.8825305,2.1e-14
COL6A3,-1.51928913,5.23e-41,2.0573452,0.000224,1.84,3.5e-14,-1.0107487,8.26e-17
COLEC10,-1.2136463,0.0463,-1.2853554,0.00887,3.966255,1.51e-12,-3.605984,8.12e-13
COLEC11,-0.76029975,1.44e-05,-0.6936599,0.0157,1.84,1.15e-20,-2.0706525,2.9e-06
COMP,-2.15564646,2.94e-15,2.13341441,2.18e-05,-2.740845,0.000116,-1.11978804,2.5599999999999997e-24
CORO1A,-0.64369084,1.73e-08,1.21135591,8.47e-05,1.2,4.96e-13,1.4075773,4.64e-11
CPE,-0.7246665,0.000152,1.21484343,5.71e-05,1.12,5.97e-10,-0.72755826,3.39e-10
CREB3L1,-0.62762303,0.000251,-0.8561084,0.000737,-1.07,0.00124,-1.36876,7.95e-12
CRISPLD2,-0.81476597,1.61e-12,1.8187267,0.00248921,2.28,4.62e-16,0.59428669,2.31e-07
CRYAB,-0.7104442,0.0013,-1.3301873,0.000272,1.76,4.34e-19,0.63765321,6.81e-13
CSF1R,-0.77835203,2.33e-16,1.57852794,1.66e-07,1.26,2.68e-13,-0.70576421,0.0169
CSF2RB,-0.59754227,3.09e-09,2.1557689,0.00175984,-0.954,1.71e-07,0.8760205,5.3e-08
CTLA4,-0.59938666,0.00459,-1.3275212,0.0134,-3.666773,9.25e-07,1.5250948,5.84e-07
CTSE,-0.9954798,0.0426,-1.2560634,0.0102,-1.756581,1.64e-05,-0.89924996,1.07e-12
CTSS,-0.76136234,9.54e-12,1.4322483,4.94e-07,1.47,4.43e-11,-1.2954109,1.21e-11
