gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category,kidney_val_logFC,kidney_val_adj_p_value,kidney_validated,kidney_validated_sig,liver_val_logFC,liver_val_adj_p_value,liver_validated,liver_validated_sig,lung_val_logFC,lung_val_adj_p_value,lung_validated,lung_validated_sig,skin_val_logFC,skin_val_adj_p_value,skin_validated,skin_validated_sig,n_organs_validated,n_organs_validated_sig
JCHAIN,1.66909789,0.0202,-1.40032795,0.0065752,-1.34238042,7.8e-19,-2.45752384,4.43e-11,False,,0.5505616,0.781,True,False,-0.607,0.0259,True,True,-0.88600005,0.175,True,False,0.0831715,0.9997,False,False,3,1
JUND,-1.2899497,3.29e-08,0.62826967,0.0063576,1.5740859,5.09e-15,-1.1586799,5.94e-05,False,,-0.1048057,0.704,True,False,-1.02,5.06e-08,False,False,0.3149575,0.187,True,False,0.09308969,0.9997,False,False,2,0
KRT7,1.71869423,0.0011,-0.96424177,0.0238475,0.985805,2.61e-06,-0.7478173,0.0397,False,,0.5436651,0.357,True,False,-1.34,4.52e-07,True,True,-0.56243077,0.0759,False,False,-0.61782811,0.9997,True,False,3,1
LAMC3,0.62190975,0.000713,-1.31088742,0.0100478,0.73075977,9.65e-16,0.68068461,5.98e-08,False,,0.3490477,0.328,True,False,-2.03,3.11e-13,True,True,0.0780412,0.622,True,False,-0.16155286,0.9997,False,False,3,1
LTBP2,1.3045644,0.00093,-2.0340644,0.01959,-0.72371299,4.52e-13,-1.22845963,1.63e-17,False,,-0.0159196,0.979,False,False,-1.24,1.27e-08,True,True,-1.12073726,0.016,True,True,-0.86035206,0.7001,True,False,3,2
LTBP4,1.02,0.0131,-0.69183996,0.0109231,0.9918055,1.54e-11,0.6687413,3.4e-08,False,,0.2160659,0.602,True,False,-1.11,9.73e-08,True,True,-0.55388924,0.18,False,False,-0.10295222,0.9997,False,False,2,1
LYVE1,1.03768844,0.000281,0.74569738,0.0016664,0.78192501,4.68e-07,-1.5256661,7.77e-05,False,,-0.1424803,0.893,False,False,-0.235,0.372,False,False,1.31386903,0.000545,True,True,-0.67201514,0.9997,True,False,2,1
LYZ,2.79007982,2.16e-06,-0.6877495,0.0259385,0.6459636,0.000109,-0.98360315,1.28e-09,False,,2.4693027,0.0179,True,True,-1.58,5.33e-13,True,True,0.28046044,0.787,True,False,-0.37295683,0.9997,True,False,4,2
MARCO,0.67445687,2.98e-05,1.05994335,0.0076723,-1.0528055,3.62e-05,-2.0073232,0.000584,False,,0.3044104,0.571,True,False,-0.91,0.00275,False,False,-1.2416039,0.0604,True,False,0.15776961,0.9997,False,False,2,0
MDK,-1.9247646,1.75e-06,-0.97178003,0.0096649,-0.87458787,1.83e-34,-0.97964026,5.12e-13,False,,1.0490318,0.056,False,False,-1.3,1.14e-05,True,True,-1.50247309,3.36e-06,True,True,0.15493361,0.9997,False,False,2,2
MFAP4,0.69586103,0.0288,-1.21039013,0.0081603,1.1601555,2.23e-09,-1.5803459,2.43e-05,False,,1.2443365,0.0379,True,True,-1.01,1.15e-05,True,True,-0.46636692,0.335,False,False,-0.50625653,0.9997,True,False,3,2
MME,-0.9866764,0.00189,1.2883051,0.00933,1.04253776,1.34e-13,-1.503449,8.53e-28,False,,-0.7528621,0.405,True,False,0.58,0.000342,True,True,0.91389189,0.212,True,False,-0.55076731,0.9997,True,False,4,1
