gene,organ,instrument_source,n_instruments,IVW_beta,IVW_p,IVW_p_adj,Egger_p,Cochran_Q_p,F_statistic,verdict
COL3A1,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COL3A1,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COL4A1,Kidney,eQTLGen,1,-0.036448084702592,0.845206557169377,0.983344746747594,,,400.920529,Not Significant (IVW p>=0.05)
COL4A1,Liver,eQTLGen,1,0.266479948059731,0.366502603152276,0.9177578274973505,,,400.920529,Not Significant (IVW p>=0.05)
COL4A1,Lung,eQTLGen,1,0.108620626279778,0.795371165373508,0.9802739815331081,,,400.920529,Not Significant (IVW p>=0.05)
COL4A1,Skin,eQTLGen,1,-0.560758228037757,0.451245385470076,0.9177578274973505,,,400.920529,Not Significant (IVW p>=0.05)
COL4A2,Kidney,eQTLGen,1,-1.09484541001112,0.111251616353198,0.7494838063920984,,,48.86709025,Not Significant (IVW p>=0.05)
COL4A2,Liver,eQTLGen,1,0.837895376889975,0.207970426558558,0.8805722875725781,,,48.86709025,Not Significant (IVW p>=0.05)
COL4A2,Lung,eQTLGen,1,-0.304945000513493,0.74545255161418,0.9801320586038292,,,48.86709025,Not Significant (IVW p>=0.05)
COL4A2,Skin,eQTLGen,1,1.03727181835723,0.53315970013964,0.9281919674912172,,,48.86709025,Not Significant (IVW p>=0.05)
COL5A2,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COL5A2,Liver,eQTLGen,1,-1.29110809430924,0.489872918827701,0.9177578274973505,,,395.25813721,Not Significant (IVW p>=0.05)
COL5A2,Lung,eQTLGen,1,-3.97875660199645,0.148587738483298,0.7562254959505167,,,395.25813721,Not Significant (IVW p>=0.05)
COL5A2,Skin,eQTLGen,1,-2.63100239435618,0.589644683823955,0.9421441841255442,,,395.25813721,Not Significant (IVW p>=0.05)
COL6A3,Kidney,eQTLGen,1,0.002183090877473,0.991451400406244,0.99612805795533,,,596.15570569,Not Significant (IVW p>=0.05)
COL6A3,Liver,eQTLGen,1,-0.235335013500712,0.444383402686942,0.9177578274973505,,,596.15570569,Not Significant (IVW p>=0.05)
COL6A3,Lung,eQTLGen,1,0.474372549129618,0.279159358803259,0.9177578274973505,,,596.15570569,Not Significant (IVW p>=0.05)
COL6A3,Skin,eQTLGen,1,-1.37049351409041,0.0790796333190193,0.6238504406278189,,,596.15570569,Not Significant (IVW p>=0.05)
COLEC10,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COLEC10,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COLEC10,Lung,GTEx,1,0.0340692138933888,0.6289423050689427,0.9501043331892538,,,100.61359050980414,Not Significant (IVW p>=0.05)
COLEC10,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COLEC11,Kidney,eQTLGen,1,0.236612515780296,0.297566248363504,0.9177578274973505,,,330.46513369,Not Significant (IVW p>=0.05)
COLEC11,Liver,eQTLGen,1,0.392428482572063,0.237933362716093,0.9160524304972164,,,330.46513369,Not Significant (IVW p>=0.05)
COLEC11,Lung,eQTLGen,1,-0.320658227835521,0.496426877278384,0.9177578274973505,,,330.46513369,Not Significant (IVW p>=0.05)
COLEC11,Skin,eQTLGen,1,1.19763790987355,0.156339850335643,0.7568270027611808,,,330.46513369,Not Significant (IVW p>=0.05)
COMP,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COMP,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COMP,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COMP,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CRISPLD2,Kidney,eQTLGen,1,0.0430481081191738,0.399729035501385,0.9177578274973505,,,3785.00570176,Not Significant (IVW p>=0.05)
CRISPLD2,Liver,eQTLGen,1,0.100742258823193,0.114281235647494,0.7494838063920984,,,3785.00570176,Not Significant (IVW p>=0.05)
CRISPLD2,Lung,eQTLGen,1,0.0175246426697075,0.84579856691085,0.983344746747594,,,3785.00570176,Not Significant (IVW p>=0.05)
CRISPLD2,Skin,eQTLGen,1,-0.0097072407606033,0.951828088245923,0.983344746747594,,,3785.00570176,Not Significant (IVW p>=0.05)
CTSE,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CTSE,Liver,eQTLGen,1,-0.311777948578267,0.0415932590878429,0.5157773983701662,,,110.37183364,Single instrument - Unable to assess pleiotropy
CTSE,Lung,eQTLGen,1,-0.0261713283319257,0.903279807477305,0.983344746747594,,,110.37183364,Not Significant (IVW p>=0.05)
CTSE,Skin,eQTLGen,1,0.364322842726023,0.343256675608797,0.9177578274973505,,,110.37183364,Not Significant (IVW p>=0.05)
CTSS,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CTSS,Liver,eQTLGen,1,0.00510599430121,0.955644894726535,0.983344746747594,,,1514.42392336,Not Significant (IVW p>=0.05)
CTSS,Lung,eQTLGen,1,-0.323746456223511,0.0128705671559159,0.43035129485661155,,,1514.42392336,Single instrument - Unable to assess pleiotropy
CTSS,Skin,eQTLGen,1,-0.0434023736564081,0.85112230649095,0.983344746747594,,,1514.42392336,Not Significant (IVW p>=0.05)
CTSZ,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CTSZ,Liver,eQTLGen,1,-0.0425432857692003,0.781251062450262,0.9802739815331081,,,639.69032241,Not Significant (IVW p>=0.05)
CTSZ,Lung,eQTLGen,1,-0.201802824345681,0.353123615410285,0.9177578274973505,,,639.69032241,Not Significant (IVW p>=0.05)
CTSZ,Skin,eQTLGen,1,0.923013856318583,0.0167912567705435,0.43035129485661155,,,639.69032241,Single instrument - Unable to assess pleiotropy
CXCL3,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CXCL3,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CXCL3,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CXCL3,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CXCL9,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CXCL9,Liver,eQTLGen,1,-0.0644395605411092,0.854890050327824,0.983344746747594,,,198.88050625,Not Significant (IVW p>=0.05)
CXCL9,Lung,eQTLGen,1,-0.109932896415036,0.826579728238666,0.983344746747594,,,198.88050625,Not Significant (IVW p>=0.05)
CXCL9,Skin,eQTLGen,1,-0.534305504004402,0.550186188805007,0.9300766525037024,,,198.88050625,Not Significant (IVW p>=0.05)
DCN,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
DCN,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
DCN,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
DCN,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
EFEMP1,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
EFEMP1,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
EFEMP1,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
EFEMP1,Skin,GTEx,1,-0.2995426585193315,0.3021503846915251,0.9177578274973505,,,51.65396857245359,Not Significant (IVW p>=0.05)
F13A1,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
F13A1,Liver,eQTLGen,1,0.0992307988349828,0.314080577656283,0.9177578274973505,,,1771.88799844,Not Significant (IVW p>=0.05)
F13A1,Lung,eQTLGen,1,0.0880616622875578,0.528289559680248,0.9281919674912172,,,1771.88799844,Not Significant (IVW p>=0.05)
F13A1,Skin,eQTLGen,1,-0.155592377024645,0.53274899899028,0.9281919674912172,,,1771.88799844,Not Significant (IVW p>=0.05)
FBN1,Kidney,eQTLGen,1,-0.0189424614023849,0.895317338291782,0.983344746747594,,,543.10438116,Not Significant (IVW p>=0.05)
FBN1,Liver,eQTLGen,1,-0.111602163296747,0.540144485896421,0.9281919674912172,,,543.10438116,Not Significant (IVW p>=0.05)
FBN1,Lung,eQTLGen,1,-0.134858959708139,0.601556849958094,0.9421441841255442,,,543.10438116,Not Significant (IVW p>=0.05)
FBN1,Skin,eQTLGen,1,0.0454335694434659,0.921392872598044,0.983344746747594,,,543.10438116,Not Significant (IVW p>=0.05)
FGF10,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FGF10,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FGF10,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FGF10,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FGF14,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FGF14,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FGF14,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FGF14,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FGF7,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FGF7,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FGF7,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FGF7,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
FGFBP2,Kidney,eQTLGen,1,0.0673124483108543,0.288008758003942,0.9177578274973505,,,2020.65533289,Not Significant (IVW p>=0.05)
FGFBP2,Liver,eQTLGen,1,-0.0445624246040988,0.618524470800914,0.9430263539445146,,,2020.65533289,Not Significant (IVW p>=0.05)
