gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category
RNASE6,1.69936691,0.000131,-0.7295612,0.000148,-0.6375855,4.05E-06,-0.79572185,1.04E-15,FALSE,
ROBO4,1.17,0.00257,-0.6791721,0.000215,0.73041358,3.98E-13,-0.73154399,1.11E-11,FALSE,
SAMSN1,0.7454767,0.0123,-0.9655794,3.67E-06,-1.207255,2.81E-06,-0.88047928,9.90E-11,FALSE,
SASH3,0.81408659,0.000415,-0.8710765,2.05E-09,0.6036623,7.68E-08,-0.9589265,1.57E-16,FALSE,
SDC3,1.93,7.01E-05,-0.7258871,0.000234,1.1137945,1.33E-13,-0.84848048,4.82E-16,TRUE,ECM-affiliated Proteins
SEMA7A,1.49,0.00033,-0.9609151,0.000166,0.7084395,7.85E-07,-1.4722485,0.04,TRUE,ECM-affiliated Proteins
SERPINE1,-1.3926229,0.00607,-1.3305706,0.000119,1.05529982,3.15E-06,-3.42970049,4.41E-38,TRUE,ECM Regulators
SERPINH1,0.94882229,5.44E-06,-0.7564018,1.98E-06,0.7277705,7.93E-06,-0.73761569,1.02E-15,TRUE,ECM Regulators
SFRP4,0.78663094,0.00323,-1.3947825,0.000393,-1.42136303,3.15E-19,-4.73806111,1.08E-74,TRUE,Secreted Factors
SIGLEC9,1.39,0.0103,-0.7431776,4.50E-08,0.64950286,3.75E-14,-1.14703805,8.70E-15,FALSE,
SIPA1L3,0.5998478,0.0231,-0.6255607,8.33E-06,1.2941668,9.47E-17,-0.6939843,8.49E-06,FALSE,
SLC15A3,1.26,0.000361,-0.7712628,6.38E-06,0.7284527,1.36E-05,-0.77954717,9.15E-14,FALSE,
SLCO4C1,-1.63,0.0139,0.6774893,9.36E-06,1.31083376,6.27E-14,-1.7116801,0.0206,FALSE,
SOD3,0.6845607,0.00836,-1.6966696,8.00E-06,1.1088709,1.16E-12,-0.8855633,8.38E-06,FALSE,
SPARCL1,1.41812269,0.0054,-0.88501875,0.0246792,-1.7856164,7.63E-14,-0.60177431,3.08E-18,TRUE,ECM Glycoproteins
STRN4,1.11,0.000409,-0.6345473,3.66E-05,1.0880627,3.50E-15,-0.5992691,7.55E-05,FALSE,
TAGLN2,1.06,0.00655,-0.8013035,4.84E-06,0.8371177,2.74E-08,-0.9349774,0.00215,FALSE,
TGM2,1.54,0.000382,-0.8157574,0.000356,1.3318364,7.98E-13,-2.41498901,2.20E-25,TRUE,ECM Regulators
THBS1,0.8024248,0.00287,-1.3840433,8.01E-07,1.16263442,7.21E-13,-2.45515344,9.01E-30,TRUE,ECM Glycoproteins
THY1,-1.1892132,0.00456,-1.404969,2.29E-08,-1.71080506,1.38E-30,-1.69448009,2.50E-29,FALSE,
TIE1,1.17,0.00186,-0.5916946,0.000105,1.3725845,3.73E-14,-0.62182122,2.01E-11,FALSE,
TIMP1,0.94847442,5.67E-05,-1.7030555,7.31E-09,-0.780185,0.0418,-1.01400282,4.27E-15,TRUE,ECM Regulators
TMEM200A,0.809,0.0492,-1.1824613,0.000159,-0.83668,0.000809,-0.61569894,1.16E-12,FALSE,
TNFRSF12A,1.61957321,4.21E-05,-3.0295616,1.52E-11,1.7289145,1.10E-10,-0.75607171,2.85E-07,FALSE,
TNFRSF1B,1.27405175,2.24E-06,-0.7801961,3.60E-07,0.9285105,1.76E-10,-0.76753364,6.44E-17,FALSE,
TNFRSF21,-0.7112826,9.77E-05,-0.7442402,1.26E-07,-0.72223197,2.02E-20,-0.61979715,2.31E-13,FALSE,
TPPP3,-0.9576591,2.48E-07,-1.1776683,2.12E-05,-1.42149474,1.31E-30,-0.982496,0.00362,FALSE,
TSPAN4,0.6749037,0.0281,-1.4242626,6.00E-07,1.3682809,4.61E-12,-0.634387,0.00041,FALSE,
TSPAN8,1.2662383,0.00199,-1.58159211,0.0015202,-0.68302285,4.98E-05,0.68722888,1.78E-05,FALSE,
TUBB3,0.60394288,2.98E-05,-0.9408632,0.00192,-1.595735,2.44E-06,-0.65042434,2.88E-07,FALSE,
TYMP,0.606905,0.0105,-1.0290607,2.08E-06,0.6333091,3.21E-06,-0.82404501,2.21E-09,FALSE,
TYROBP,2.19115809,2.09E-06,-1.1860372,9.20E-06,1.9170427,1.87E-14,-0.9602053,4.27E-18,FALSE,
UBD,1.1838776,0.000421,-1.6233543,2.59E-09,-0.84538503,1.40E-13,-1.38863339,2.73E-08,FALSE,
UCP2,1.43459347,6.62E-07,-0.6798697,1.48E-05,1.2627091,1.67E-11,-0.86300336,2.26E-12,FALSE,
VCAM1,1.1785603,0.000479,-0.6241443,0.000949,-1.47585872,6.78E-15,-1.27270789,6.53E-25,FALSE,
VCAN,1.948057,9.07E-06,-1.1231675,3.56E-06,-2.1909255,1.03E-13,-0.71024619,4.47E-09,TRUE,Proteoglycans
VSIG4,1.69633573,8.29E-06,-0.6950719,0.00427,0.89669186,9.32E-13,-1.42827665,1.25E-23,FALSE,
VWF,0.6088809,0.000127,-1.3967071,3.08E-07,0.80510831,2.46E-17,-0.97442246,2.94E-25,TRUE,ECM Glycoproteins
YIPF2,0.6179508,0.00607,-0.7193666,0.00042,0.8809832,2.75E-11,-0.7361244,2.77E-05,FALSE,
