"gene","organ","n_instruments","IVW_beta","IVW_p","Egger_beta","Egger_p","WeightedMedian_beta","WeightedMedian_p","Egger_intercept_p","Cochran_Q_p","F_statistic","verdict"
"COL15A1","Lung",1,-0.89815283453499,0.358362038814089,NA,NA,NA,NA,NA,NA,106.47763344,"Not Significant (IVW p>=0.05)"
"COL15A1","Skin",1,2.57124621350168,0.137325774579982,NA,NA,NA,NA,NA,NA,106.47763344,"Not Significant (IVW p>=0.05)"
"COL1A1","Liver",1,1.20923551526779,0.0642751507877721,NA,NA,NA,NA,NA,NA,64.60140625,"Not Significant (IVW p>=0.05)"
"COL1A1","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COL1A1","Lung",1,-0.0971239848873182,0.916595923220454,NA,NA,NA,NA,NA,NA,64.60140625,"Not Significant (IVW p>=0.05)"
"COL1A1","Skin",1,0.449853143685509,0.783954242914085,NA,NA,NA,NA,NA,NA,64.60140625,"Not Significant (IVW p>=0.05)"
"COL1A2","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COL1A2","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COL1A2","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COL1A2","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COL3A1","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COL3A1","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COL3A1","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COL3A1","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COL4A1","Liver",1,0.266479948059731,0.366502603152276,NA,NA,NA,NA,NA,NA,400.920529,"Not Significant (IVW p>=0.05)"
"COL4A1","Kidney",1,-0.036448084702592,0.845206557169377,NA,NA,NA,NA,NA,NA,400.920529,"Not Significant (IVW p>=0.05)"
"COL4A1","Lung",1,0.108620626279778,0.795371165373508,NA,NA,NA,NA,NA,NA,400.920529,"Not Significant (IVW p>=0.05)"
"COL4A1","Skin",1,-0.560758228037757,0.451245385470076,NA,NA,NA,NA,NA,NA,400.920529,"Not Significant (IVW p>=0.05)"
"COL4A2","Liver",1,0.837895376889975,0.207970426558558,NA,NA,NA,NA,NA,NA,48.86709025,"Not Significant (IVW p>=0.05)"
"COL4A2","Kidney",1,-1.09484541001112,0.111251616353198,NA,NA,NA,NA,NA,NA,48.86709025,"Not Significant (IVW p>=0.05)"
"COL4A2","Lung",1,-0.304945000513493,0.74545255161418,NA,NA,NA,NA,NA,NA,48.86709025,"Not Significant (IVW p>=0.05)"
"COL4A2","Skin",1,1.03727181835723,0.53315970013964,NA,NA,NA,NA,NA,NA,48.86709025,"Not Significant (IVW p>=0.05)"
"COL5A2","Liver",1,-1.29110809430924,0.489872918827701,NA,NA,NA,NA,NA,NA,395.25813721,"Not Significant (IVW p>=0.05)"
"COL5A2","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COL5A2","Lung",1,-3.97875660199645,0.148587738483298,NA,NA,NA,NA,NA,NA,395.25813721,"Not Significant (IVW p>=0.05)"
"COL5A2","Skin",1,-2.63100239435618,0.589644683823955,NA,NA,NA,NA,NA,NA,395.25813721,"Not Significant (IVW p>=0.05)"
"COL6A3","Liver",1,-0.235335013500712,0.444383402686942,NA,NA,NA,NA,NA,NA,596.15570569,"Not Significant (IVW p>=0.05)"
"COL6A3","Kidney",1,0.002183090877473,0.991451400406244,NA,NA,NA,NA,NA,NA,596.15570569,"Not Significant (IVW p>=0.05)"
"COL6A3","Lung",1,0.474372549129618,0.279159358803259,NA,NA,NA,NA,NA,NA,596.15570569,"Not Significant (IVW p>=0.05)"
"COL6A3","Skin",1,-1.37049351409041,0.0790796333190193,NA,NA,NA,NA,NA,NA,596.15570569,"Not Significant (IVW p>=0.05)"
"COLEC10","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COLEC10","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COLEC10","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COLEC10","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COLEC11","Liver",1,0.392428482572063,0.237933362716093,NA,NA,NA,NA,NA,NA,330.46513369,"Not Significant (IVW p>=0.05)"
"COLEC11","Kidney",1,0.236612515780296,0.297566248363504,NA,NA,NA,NA,NA,NA,330.46513369,"Not Significant (IVW p>=0.05)"
"COLEC11","Lung",1,-0.320658227835521,0.496426877278384,NA,NA,NA,NA,NA,NA,330.46513369,"Not Significant (IVW p>=0.05)"
"COLEC11","Skin",1,1.19763790987355,0.156339850335643,NA,NA,NA,NA,NA,NA,330.46513369,"Not Significant (IVW p>=0.05)"
"COMP","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COMP","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COMP","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COMP","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CRISPLD2","Liver",1,0.100742258823193,0.114281235647494,NA,NA,NA,NA,NA,NA,3785.00570176,"Not Significant (IVW p>=0.05)"
"CRISPLD2","Kidney",1,0.0430481081191738,0.399729035501385,NA,NA,NA,NA,NA,NA,3785.00570176,"Not Significant (IVW p>=0.05)"
"CRISPLD2","Lung",1,0.0175246426697075,0.84579856691085,NA,NA,NA,NA,NA,NA,3785.00570176,"Not Significant (IVW p>=0.05)"
"CRISPLD2","Skin",1,-0.00970724076060339,0.951828088245923,NA,NA,NA,NA,NA,NA,3785.00570176,"Not Significant (IVW p>=0.05)"
"CTSE","Liver",1,-0.311777948578267,0.0415932590878429,NA,NA,NA,NA,NA,NA,110.37183364,"Pass (Single instrument - Clean Wald Ratio)"
"CTSE","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CTSE","Lung",1,-0.0261713283319257,0.903279807477305,NA,NA,NA,NA,NA,NA,110.37183364,"Not Significant (IVW p>=0.05)"
