gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category
LCN2,1.0420901,0.00746,-0.918,0.00443,-0.86473163,2.42e-07,-1.0299168,0.00872,False,
LGALS3BP,0.626326,0.0163,-1.1465941,0.0002646,0.6717586,0.000106,-0.99722869,8.5e-19,False,
LILRA5,-1.193788,0.00537,-0.603,0.0352,0.75109732,5.46e-22,-1.73831248,2.57e-11,False,
LILRB2,1.01563747,2.66e-06,-0.776,2.16e-05,0.67781082,2.48e-14,-1.01724562,4.71e-12,False,
LMCD1,-1.2453015,3.43e-06,-0.662,0.00179,0.66385997,6.36e-15,-0.59560612,1.94e-15,False,
LMNB2,-1.1608742,1.19e-05,-0.754,1.25e-05,0.8736336,1.02e-13,0.6735984,8.23e-06,False,
LPL,-1.3762234,4.7e-05,-2.35,1.25e-11,0.7899801,3.36e-10,-1.93654267,1.56e-14,False,
LRRC32,2.17,3.91e-06,-0.925,6.1e-07,1.0055108,1.65e-21,-1.410507,6.09e-26,False,
LTB,1.2828954,0.000313,-1.52,5.14e-09,-2.3211425,1.73e-08,-0.78494861,9.99e-07,True,Secreted Factors
LTBP2,1.3045644,0.00093,-1.24,1.27e-08,-0.72371299,4.52e-13,-1.22845963,1.63e-17,True,ECM Glycoproteins
LTBP4,1.02,0.0131,-1.11,9.73e-08,0.9918055,1.54e-11,0.6687413,3.4e-08,True,ECM Glycoproteins
LTF,3.285713,3.1e-07,-0.788,0.00219,-2.0040382,0.000195,-2.54049199,1.12e-11,False,
LUM,1.3170638,0.00778,-1.21,2.85e-06,-0.94466129,4.8800000000000004e-21,-1.81325366,1.98e-22,True,Proteoglycans
LY96,1.34238051,6.14e-06,-0.821,5.77e-07,2.2425795,3.89e-15,-0.75886169,1.14e-13,False,
LYVE1,1.03768844,0.000281,0.74569738,0.0016664,0.78192501,4.68e-07,-1.5256661,7.77e-05,False,
LYZ,2.79007982,2.16e-06,-1.58,5.33e-13,0.6459636,0.000109,-0.98360315,1.28e-09,False,
MARCO,0.67445687,2.98e-05,-0.91,0.00275,-1.0528055,3.62e-05,-2.0073232,0.000584,False,
MDK,-1.9247646,1.75e-06,-1.3,1.14e-05,-0.87458787,1.83e-34,-0.97964026,5.12e-13,True,Secreted Factors
MFAP4,0.69586103,0.0288,-1.01,1.15e-05,1.1601555,2.23e-09,-1.5803459,2.43e-05,True,ECM Glycoproteins
MIR4435-2HG,-1.2482602,0.00036,-1.06,3.86e-09,-0.8743225,0.00441,-1.42292832,3.57e-34,False,
MT1G,-1.16720705,0.00147,1.26153823,0.0204199,0.74154441,2.24e-08,0.7902255,0.000716,False,
MYL9,1.4274385,0.000428,-0.75,0.00135,0.6475786,3.68e-06,-0.7944349,0.00832,False,
MYO15B,2.298183,2.39e-05,-0.635,7.53e-05,1.19939,6.1e-14,-0.6767884,0.000408,False,
MYO1F,1.1261208,0.000167,-0.873,8.13e-10,0.67442659,5.51e-17,-0.61570539,1.17e-09,False,
NCF4,0.88533208,0.000765,-1.09,3.61e-09,0.68016625,1.75e-18,-0.76583219,8.97e-13,False,
NEDD9,-0.8368033,8.86e-09,-1.1,1.93e-06,0.82461892,2.94e-20,-0.7314623,8.21e-32,False,
NKG7,1.03180338,2.21e-05,-0.86,7.06e-05,1.0950668,4.73e-06,-1.47820075,2.43e-14,False,
NT5DC2,1.05377842,5.07e-07,-0.619,3.52e-06,0.9496932,1.81e-10,-1.1566014,9.68e-06,False,
OAS1,1.27027007,0.00386,-0.683881,0.0027359,0.6916259,3.9e-05,-0.64406034,0.00117,False,
PDE1A,1.02516096,0.00278,-0.58879525,0.0227027,-0.68857936,1.05e-13,-1.27251132,9.690000000000001e-27,False,
PDGFD,-0.8901066,0.0146,-0.743,0.000269,-1.3643127,4.45e-07,-0.8761549,2.33e-05,True,Secreted Factors
PLD3,-1.8064148,0.000187,-0.613,0.00177,0.8896391,2.3e-10,-1.451022,7.69e-06,False,
PLEKHG2,1.1,0.0106,-0.73,1.58e-06,0.6894005,1.46e-07,-0.70172354,1.35e-10,False,
PLEKHO1,1.38,0.000766,-0.899,1.69e-09,0.5853173,3.29e-07,-0.62784032,5.07e-16,False,
PLXNA3,0.818,0.0406,-1.06,1.29e-07,0.6305082,6.92e-11,-0.8750376,1.89e-05,True,ECM-affiliated Proteins
PLXND1,1.8457999,9.66e-06,-0.693,3.1e-05,1.1103905,8.11e-12,-0.6868433,3.78e-12,True,ECM-affiliated Proteins
PMAIP1,-1.4911154,0.00242,-0.941,0.00185,-0.62251,0.00101,0.6181475,0.00294,False,
PPP1R37,1.474341,0.00138,-0.736,0.000236,0.7720218,8.36e-13,-1.1097796,0.0289,False,
PRELP,1.06774475,4.46e-06,-0.677,0.000387,0.70281907,1.43e-12,-0.72140205,1.72e-06,True,Proteoglycans
PTGIS,2.07,0.0174,-0.734,2.06e-05,0.6540736,0.000323,-1.4051363,5.71e-05,False,
PTGS2,2.4868461,1.14e-06,-1.3,1.01e-06,-1.35263,0.00341,0.9591721,0.00117,False,
PTPRC,1.07576425,3.64e-05,-0.784,1.62e-08,-1.402425,1.78e-09,-0.73388952,5.96e-09,False,
RAB11B,0.7125672,0.00157,-0.688,0.0011,0.7826327,6.55e-12,-0.6378023,0.00228,False,
RAB20,0.9941633,0.00578,-0.82,3.83e-06,1.2732645,2e-15,-0.8896299,3.46e-19,False,
RAC2,1.43200873,1.78e-06,-0.989,1.46e-08,1.0923759,3.68e-10,-0.67340593,5.99e-11,False,
RELB,-1.6247895,5.97e-07,-1.29,5.23e-11,-1.35869,8.18e-06,-0.62909029,3.12e-09,False,
