gene,matrisome_division,matrisome_category,logFC_skin,adj_p_skin,logFC_kidney,adj_p_kidney,logFC_liver,adj_p_liver,logFC_lungs,adj_p_lungs,ensembl_id,eqtl_dataset_id
NID1,Core matrisome,ECM Glycoproteins,-0.78306398,2.4700000000000002e-21,1.26,6.96e-05,1.687747,4.02e-07,0.72361725,2.48e-12,ENSG00000116962,eqtl-a-ENSG00000116962
PCOLCE2,Core matrisome,ECM Glycoproteins,-1.5147315,8.34e-06,-2.6784836,5.77e-12,-1.64,5.42e-18,-2.1875755,0.000226,ENSG00000163710,eqtl-a-ENSG00000163710
PDGFD,Matrisome-associated,Secreted Factors,-0.8761549,2.33e-05,-0.8901066,0.0146,2.93,1.15e-20,-1.3643127,4.45e-07,ENSG00000170962,eqtl-a-ENSG00000170962
PLOD2,Matrisome-associated,ECM Regulators,-0.6193502,3.61e-09,-0.8099028,0.0131,2.152636,8.4e-10,-2.1282464,3.29e-19,ENSG00000152952,eqtl-a-ENSG00000152952
PLXNA3,Matrisome-associated,ECM-affiliated Proteins,-0.8750376,1.89e-05,0.818,0.0406,-1.06,1.29e-07,0.6305082,6.92e-11,ENSG00000130827,eqtl-a-ENSG00000130827
PLXND1,Matrisome-associated,ECM-affiliated Proteins,-0.6868433,3.78e-12,1.8457999,9.66e-06,0.605,9.07e-08,1.1103905,8.11e-12,ENSG00000004399,eqtl-a-ENSG00000004399
POSTN,Core matrisome,ECM Glycoproteins,-1.03992482,3.9e-15,1.64720178,8.47e-05,1.557838,1.17e-06,-1.57060251,1.77e-17,ENSG00000133110,eqtl-a-ENSG00000133110
PRELP,Core matrisome,Proteoglycans,-0.72140205,1.72e-06,1.06774475,4.46e-06,1.25,9.12e-15,0.70281907,1.43e-12,ENSG00000188783,eqtl-a-ENSG00000188783
PRG4,Core matrisome,Proteoglycans,-1.2754332,0.000257,1.7329349,0.00169,-2.13,4.72e-14,0.8255777,0.0216,ENSG00000116690,eqtl-a-ENSG00000116690
PRSS12,Matrisome-associated,ECM Regulators,-1.1414552,5.16e-05,-1.237632,0.0105,1.080889,9.67e-06,-1.68967793,1.02e-25,ENSG00000164099,eqtl-a-ENSG00000164099
S100A6,Matrisome-associated,Secreted Factors,0.98,0.029796,-1.0186825,0.00215,2.23,3.7e-20,-1.0353264,0.00295,ENSG00000197956,eqtl-a-ENSG00000197956
SDC3,Matrisome-associated,ECM-affiliated Proteins,-0.84848048,4.82e-16,1.93,7.01e-05,2.287192,7.35e-10,1.1137945,1.33e-13,ENSG00000162512,eqtl-a-ENSG00000162512
