gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category,kidney_val_logFC,kidney_val_adj_p_value,kidney_validated,kidney_validated_sig,liver_val_logFC,liver_val_adj_p_value,liver_validated,liver_validated_sig,lung_val_logFC,lung_val_adj_p_value,lung_validated,lung_validated_sig,skin_val_logFC,skin_val_adj_p_value,skin_validated,skin_validated_sig,n_organs_validated,n_organs_validated_sig,n_organs_found_in_val
ENG,1.51,1.76e-05,-0.9396383,1.71e-06,1.6983564,8.18e-16,-0.77605075,5.47e-11,False,,0.5765817,0.164,True,False,-0.9396383,1.71e-06,True,True,-0.73720762,0.0986,False,False,-0.40566586,0.9997,True,False,3,1,4
F13A1,1.29036425,0.00659,-0.8901881,0.00026,-1.1844791,1.55e-06,-0.75520201,2.76e-12,True,ECM Regulators,0.3174121,0.734,True,False,-0.8901881,0.00026,True,True,0.3515695,0.313,False,False,-0.46838208,0.9997,True,False,3,1,4
FABP4,1.1770375,0.00812,-2.1810066,2.41e-09,3.2476127,1.11e-07,-1.6617342,1.04e-11,False,,0.3459229,0.774,True,False,-2.1810066,2.41e-09,True,True,-1.10322978,0.103,False,False,-1.17877003,0.9997,True,False,3,1,4
FAM167B,1.51,0.0125,-0.7498997,0.0234,1.2400618,1.12e-10,-0.59994405,8.99e-05,False,,0.4778198,0.304,True,False,-0.7498997,0.0234,True,True,-0.37455048,0.263,False,False,0.07622814,0.9997,False,False,2,1,4
FASN,0.82,0.0179,-1.0255399,6.37e-05,1.61349847,1.8599999999999997e-30,1.2587847,0.027,False,,0.1958615,0.618,True,False,-1.0255399,6.37e-05,True,True,0.9097373,0.0675,True,False,0.01486042,0.9997,True,False,4,1,4
FBN1,0.98766503,9.93e-06,-0.6351137,5.07e-05,-2.3309555,3.66e-14,-0.73902208,8.59e-09,True,ECM Glycoproteins,0.5982605,0.375,True,False,-0.6351137,5.07e-05,True,True,-0.29129461,0.339,True,False,-0.35676811,0.9997,True,False,4,1,4
FCER1G,1.55608599,1.09e-07,-0.656773,0.00158,1.3679036,1.15e-10,-0.81640598,1.04e-11,False,,1.5032274,0.0516,True,False,-0.656773,0.00158,True,True,-0.25600719,0.596,False,False,-0.29933422,0.9997,True,False,3,1,4
FGR,0.84842273,0.00121,-0.7707338,7.84e-08,0.91302931,2.67e-26,-0.65685187,5.11e-15,False,,-0.0562646,0.941,False,False,-0.7707338,7.84e-08,True,True,0.25681711,0.543,True,False,-0.12121447,0.9997,True,False,3,1,4
FMOD,1.07161347,5.67e-05,-0.7566551,4.37e-05,1.1440941,6.13e-11,-0.66194003,5.7e-14,True,Proteoglycans,0.5952129,0.344,True,False,-0.7566551,4.37e-05,True,True,-0.10276566,0.73,False,False,-0.41572239,0.9997,True,False,3,1,4
FXYD5,1.14398213,2.54e-10,-0.9419314,3.7e-06,0.6980845,8.22e-09,-1.0619305,0.000213,False,,1.5003897,0.0189,True,True,-0.9419314,3.7e-06,True,True,-0.59825893,0.0289,False,False,0.14254414,0.9997,False,False,2,2,4
GEM,2.2,0.000964,-1.7163509,1.42e-07,-1.23767686,5.45e-20,-1.21508463,3.98e-35,False,,-0.5446034,0.389,False,False,-1.7163509,1.42e-07,True,True,-0.58275216,0.171,True,False,-0.25251183,0.9997,True,False,3,1,4
GFRA1,0.64427413,0.0197,0.89876625,0.024132,-0.81832284,4.74e-13,-0.9718428,0.00388,False,,0.3316022,0.598,True,False,0.2169252,0.0813,True,False,-0.37836138,0.339,True,False,0.15691864,0.9997,False,False,3,0,4
GGT5,0.83980963,0.00185,-1.1650169,2.81e-08,-0.7086182,5.82e-05,-0.97769839,4.81e-15,False,,0.5276891,0.165,True,False,-1.1650169,2.81e-08,True,True,-0.00463567,0.992,True,False,-0.18325822,0.9997,True,False,4,1,4
