ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1716200	0.9997	0.90404264	-0.1212577	-5.075	-0.01905753	NA		
ILMN_2213199	0.9997	0.90407529	0.1212162	-5.075	0.03045756	224451071	CEP44	centrosomal protein 44
ILMN_1680437	0.9997	0.9040985	0.1211868	-5.075	0.01387606	NA		
ILMN_1775337	0.9997	0.90416285	-0.121105	-5.075	-0.01618314	NA		
ILMN_2334205	0.9997	0.9041688	-0.1210975	-5.075	-0.01700319	58331267	ERCC6L	ERCC excision repair 6 like, spindle assembly checkpoint helicase
ILMN_1658635	0.9997	0.90419884	-0.1210593	-5.075	-0.01775353	194578886	CLGN	calmegin
ILMN_1791726	0.9997	0.90420065	0.121057	-5.075	0.02677992	308235961	TUBB3	tubulin beta 3 class III
ILMN_1749641	0.9997	0.90422572	-0.1210252	-5.075	-0.02671208	48928041	FBXO3	F-box protein 3
ILMN_1673222	0.9997	0.90424194	-0.1210046	-5.075	-0.01745078	460838691	ZBTB10	zinc finger and BTB domain containing 10
ILMN_1807171	0.9997	0.90427598	0.1209614	-5.075	0.01679611	113722111	PLA2G5	phospholipase A2 group V
ILMN_3247895	0.9997	0.90429031	-0.1209432	-5.075	-0.02255853	NA		
ILMN_3195138	0.9997	0.90433221	-0.12089	-5.075	-0.01443886	NA		
ILMN_1815319	0.9997	0.90434771	-0.1208703	-5.075	-0.01869236	82546839	CMTM4	CKLF like MARVEL transmembrane domain containing 4
ILMN_1778237	0.9997	0.90434881	-0.1208689	-5.075	-0.02491267	973353088	FN1	fibronectin 1
ILMN_2234930	0.9997	0.90437689	-0.1208332	-5.075	-0.01204117	46877063	PLPPR1	phospholipid phosphatase related 1
ILMN_1727023	0.9997	0.90437791	0.1208319	-5.075	0.01664697	42544150	AMMECR1L	AMMECR1 like
ILMN_1708428	0.9997	0.90438791	-0.1208192	-5.075	-0.01528756	40385872	GPR150	G protein-coupled receptor 150
ILMN_1753627	0.9997	0.90440414	-0.1207986	-5.075	-0.01846125	46094052	DOLK	dolichol kinase
ILMN_1755235	0.9997	0.9044089	-0.1207926	-5.075	-0.01743736	401461772	XPO6	exportin 6
ILMN_3245764	0.9997	0.90441806	0.1207809	-5.075	0.01222983	91680837	SNORA71E	small nucleolar RNA, H/ACA box 71E
ILMN_1654997	0.9997	0.90444069	-0.1207522	-5.075	-0.01597036	332078493	P2RX3	purinergic receptor P2X 3
ILMN_1683162	0.9997	0.90444165	-0.120751	-5.075	-0.01878283	NA		
ILMN_1652808	0.9997	0.90447078	0.120714	-5.075	0.01683394	NA		
