GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
26235	4.01e-07	7.28e-09	0.0612	5.784347	0.3539311	1951.34	FBXL4	F-box and leucine rich repeat protein 4
5600	4.04e-07	7.35e-09	0.1916	-5.782672	-1.1076858	31.35	MAPK11	mitogen-activated protein kinase 11
9064	4.13e-07	7.75e-09	0.1595	-5.773806	-0.9208855	99.56	MAP3K6	mitogen-activated protein kinase kinase kinase 6
391059	4.13e-07	7.70e-09	0.079	5.77484	0.4563527	2799.71	FRRS1	ferric chelate reductase 1
1788	4.13e-07	7.76e-09	0.0657	-5.773572	-0.3794552	436.28	DNMT3A	DNA methyltransferase 3 alpha
130749	4.13e-07	7.58e-09	0.0772	5.777612	0.4460144	389.99	CPO	carboxypeptidase O
3680	4.13e-07	7.68e-09	0.0749	-5.775396	-0.4325386	2022.08	ITGA9	integrin subunit alpha 9
64943	4.13e-07	7.72e-09	0.1162	-5.774398	-0.6709233	100.52	NT5DC2	5'-nucleotidase domain containing 2
79810	4.13e-07	7.71e-09	0.0554	5.77472	0.3199891	508.52	PTCD2	pentatricopeptide repeat domain 2
51390	4.13e-07	7.66e-09	0.0592	5.775844	0.3417228	4717.79	AIG1	androgen induced 1
23513	4.13e-07	7.74e-09	0.1977	-5.774018	-1.1413241	157.69	SCRIB	scribble planar cell polarity protein
26301	4.13e-07	7.73e-09	0.1734	-5.774217	-1.0011114	25.3	GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)
3856	4.13e-07	7.68e-09	0.1861	-5.775371	-1.0747123	1685.75	KRT8	keratin 8
3936	4.13e-07	7.61e-09	0.1215	-5.776873	-0.7017612	1835.12	LCP1	lymphocyte cytosolic protein 1
3493	4.13e-07	7.70e-09	0.304	-5.774821	-1.7552745	953.63	IGHA1	immunoglobulin heavy constant alpha 1
6597	4.13e-07	7.68e-09	0.1065	-5.775371	-0.6150198	378.08	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
5141	4.15e-07	7.82e-09	0.1428	-5.772279	-0.824126	56.57	PDE4A	phosphodiesterase 4A
9938	4.25e-07	8.02e-09	0.0889	-5.768085	-0.5125667	262.21	ARHGAP25	Rho GTPase activating protein 25
6364	4.27e-07	8.08e-09	0.4765	-5.766875	-2.7480331	25.51	CCL20	C-C motif chemokine ligand 20
4891	4.30e-07	8.16e-09	0.0515	5.765137	0.2966981	1391.76	SLC11A2	solute carrier family 11 member 2
7186	4.33e-07	8.22e-09	0.1545	-5.763826	-0.890589	86.14	TRAF2	TNF receptor associated factor 2
115273	4.33e-07	8.25e-09	0.1514	-5.763172	-0.8728058	21.39	RAB42	RAB42, member RAS oncogene family
84926	4.34e-07	8.31e-09	0.1017	-5.761998	-0.5862393	268.86	SPRYD3	SPRY domain containing 3
7515	4.34e-07	8.30e-09	0.0955	-5.762338	-0.5500168	138.57	XRCC1	X-ray repair cross complementing 1
5880	4.34e-07	8.32e-09	0.1575	-5.761865	-0.907563	119.51	RAC2	Rac family small GTPase 2
55204	4.38e-07	8.44e-09	0.0531	5.75944	0.3060968	457.66	GOLPH3L	golgi phosphoprotein 3 like
22904	4.38e-07	8.42e-09	0.2126	-5.759793	-1.2246135	143.83	SBNO2	strawberry notch homolog 2
3671	4.41e-07	8.51e-09	0.1893	-5.757987	-1.0900875	80.48	ISLR	immunoglobulin superfamily containing leucine rich repeat
124976	4.43e-07	8.58e-09	0.1962	-5.756604	-1.1291627	88.26	SPNS2	SPNS lysolipid transporter 2, sphingosine-1-phosphate
51291	4.44e-07	8.62e-09	0.1236	-5.7558	-0.7116618	93.96	GMIP	GEM interacting protein
166785	4.51e-07	8.77e-09	0.0675	5.752887	0.3885518	924.12	MMAA	metabolism of cobalamin associated A
677766	4.53e-07	8.83e-09	0.3129	-5.751711	-1.7996995	500.51	SCARNA2	small Cajal body-specific RNA 2
5252	4.57e-07	8.92e-09	0.0819	-5.750007	-0.4708943	308.97	PHF1	PHD finger protein 1
2768	4.58e-07	8.97e-09	0.0959	-5.749074	-0.5511568	297.63	GNA12	G protein subunit alpha 12
131408	4.59e-07	9.03e-09	0.1347	-5.748018	-0.7740284	43.82	FAM131A	family with sequence similarity 131 member A
11184	4.59e-07	9.01e-09	0.1209	-5.748357	-0.6949266	66.67	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
84679	4.60e-07	9.07e-09	0.0604	5.74721	0.3469237	1031	SLC9A7	solute carrier family 9 member A7
11156	4.72e-07	9.33e-09	0.2196	-5.742462	-1.2610903	22.17	PTP4A3	protein tyrosine phosphatase 4A3
55621	4.74e-07	9.42e-09	0.1268	-5.740812	-0.7281321	120.47	TRMT1	tRNA methyltransferase 1
23645	4.74e-07	9.42e-09	0.1782	-5.740793	-1.0232576	201.84	PPP1R15A	protein phosphatase 1 regulatory subunit 15A
23764	4.74e-07	9.42e-09	0.2873	-5.740833	-1.6492532	51.57	MAFF	MAF bZIP transcription factor F
83871	4.74e-07	9.45e-09	0.1561	-5.740392	-0.8961481	71.79	RAB34	RAB34, member RAS oncogene family
259307	4.79e-07	9.56e-09	0.2778	-5.738365	-1.5939455	57.58	IL4I1	interleukin 4 induced 1
6503	4.81e-07	9.63e-09	0.1392	-5.737194	-0.7985954	225.26	SLA	Src like adaptor
6510	4.87e-07	9.76e-09	0.1791	-5.734848	-1.0268828	65.63	SLC1A5	solute carrier family 1 member 5
9294	4.88e-07	9.82e-09	0.1532	-5.733751	-0.8782033	84.7	S1PR2	sphingosine-1-phosphate receptor 2
57572	4.88e-07	9.82e-09	0.1407	-5.733843	-0.8070273	355.8	DOCK6	dedicator of cytokinesis 6
55342	4.88e-07	9.85e-09	0.0488	5.733283	0.2799667	864.47	STRBP	spermatid perinuclear RNA binding protein
1292	4.92e-07	9.95e-09	0.2022	-5.731579	-1.1589183	748.84	COL6A2	collagen type VI alpha 2 chain
100	4.92e-07	1.00e-08	0.106	-5.730584	-0.6072841	40.34	ADA	adenosine deaminase
3976	4.92e-07	1.00e-08	0.2657	-5.73061	-1.52245	14.74	LIF	LIF interleukin 6 family cytokine
