ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
79581_at	3.93e-06	4.72e-08	7.5568425	8.59699	0.61654545	solute carrier family 52 member 2
2037_at	4.03e-06	4.87e-08	7.5437392	8.56583	0.96568431	erythrocyte membrane protein band 4.1 like 2
1896_at	4.19e-06	5.10e-08	-7.5254281	8.52224	-0.3633561	ectodysplasin A
8795_at	4.46e-06	5.48e-08	7.4951225	8.45001	0.67991464	TNF receptor superfamily member 10b
5549_at	4.46e-06	5.54e-08	7.4907724	8.43963	1.06774475	proline and arginine rich end leucine rich repeat protein
4839_at	4.46e-06	5.54e-08	7.4906711	8.43939	0.58023518	NOP2 nucleolar protein
3003_at	4.47e-06	5.59e-08	7.4876015	8.43206	1.59463905	granzyme K
26084_at	4.64e-06	5.86e-08	-7.4675627	8.38421	-1.08998321	Rho guanine nucleotide exchange factor 26
55803_at	4.64e-06	5.90e-08	7.4648532	8.37774	0.83969063	ArfGAP with dual PH domains 2
963_at	4.64e-06	5.92e-08	7.4636713	8.37491	1.74099014	CD53 molecule
79899_at	4.79e-06	6.17e-08	7.4465956	8.33409	0.74896789	proline rich 5 like
1030_at	4.79e-06	6.19e-08	7.4451758	8.33069	0.46536255	cyclin dependent kinase inhibitor 2B
2769_at	4.82e-06	6.27e-08	7.4400012	8.31831	0.82285528	G protein subunit alpha 15
56652_at	5.01e-06	6.56e-08	7.421305	8.27355	0.62095547	chromosome 10 open reading frame 2
3669_at	5.04e-06	6.64e-08	7.4164275	8.26187	1.15212299	interferon stimulated exonuclease gene 20
10962_at	5.14e-06	6.82e-08	7.4056928	8.23614	1.13062195	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11
7424_at	5.41e-06	7.22e-08	7.3823268	8.18009	1.47030411	vascular endothelial growth factor C
871_at	5.44e-06	7.33e-08	7.3758075	8.16444	0.94882229	serpin family H member 1
9770_at	5.44e-06	7.36e-08	7.3745575	8.16144	1.12589858	Ras association domain family member 2
712_at	5.44e-06	7.39e-08	7.3725278	8.15657	2.46920198	complement C1q A chain
79713_at	6.06e-06	8.28e-08	7.3260042	8.0447	0.59031502	IGF like family receptor 1
5732_at	6.14e-06	8.45e-08	7.3177121	8.02473	1.34303964	prostaglandin E receptor 2
11059_at	6.14e-06	8.50e-08	-7.3152343	8.01876	-0.81580038	WW domain containing E3 ubiquitin protein ligase 1
23643_at	6.14e-06	8.58e-08	7.3114994	8.00976	1.34238051	lymphocyte antigen 96
29992_at	6.14e-06	8.62e-08	7.309643	8.00529	0.66447889	paired immunoglobin like type 2 receptor alpha
713_at	6.14e-06	8.65e-08	7.3085103	8.00256	2.12340911	complement C1q B chain
51435_at	6.17e-06	8.74e-08	7.304162	7.99208	0.90754867	scavenger receptor class A member 3
2289_at	6.25e-06	8.91e-08	-7.296241	7.97298	-1.70325524	FK506 binding protein 5
