ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
236703_at	5.07e-01	3.16e-01	1.0234048	-5.920467	0.20091625		
1569030_s_at	5.07e-01	3.16e-01	-1.0234048	-5.920467	-0.18685322	NUB1	negative regulator of ubiquitin like proteins 1
1561059_a_at	5.07e-01	3.16e-01	1.0233853	-5.920487	0.07088414	LINC00691	long intergenic non-protein coding RNA 691
242130_at	5.07e-01	3.16e-01	1.0232941	-5.920577	0.08925898		
238772_at	5.07e-01	3.16e-01	1.0232708	-5.920601	0.07367813	ZNF207	zinc finger protein 207
236557_at	5.07e-01	3.16e-01	1.023262	-5.920609	0.22928602	ZBTB38	zinc finger and BTB domain containing 38
220524_at	5.07e-01	3.16e-01	-1.023238	-5.920633	-0.15028527	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B
227580_s_at	5.07e-01	3.16e-01	-1.0232354	-5.920636	-0.16151498	TECPR1	tectonin beta-propeller repeat containing 1
1559976_at	5.07e-01	3.16e-01	1.0231901	-5.920681	0.14558024	LOC100506314	uncharacterized LOC100506314
1568619_s_at	5.07e-01	3.16e-01	-1.0231531	-5.920718	-0.18059216	ITPRIPL2	inositol 1,4,5-trisphosphate receptor interacting protein like 2
221897_at	5.07e-01	3.16e-01	-1.0231278	-5.920743	-0.17896502	TRIM52	tripartite motif containing 52
240497_at	5.07e-01	3.16e-01	1.0230553	-5.920815	0.11158706		
209800_at	5.07e-01	3.17e-01	1.0229563	-5.920913	0.24934009	KRT16	keratin 16
244087_at	5.07e-01	3.17e-01	-1.0228773	-5.920992	-0.10724455		
227834_at	5.07e-01	3.17e-01	-1.0228099	-5.921059	-0.1665011	TXLNB	taxilin beta
1569859_at	5.07e-01	3.17e-01	1.0227013	-5.921167	0.0833678	SUCLA2-AS1	SUCLA2 antisense RNA 1
235332_at	5.07e-01	3.17e-01	1.022659	-5.921209	0.10864248	NUTM2B///NUTM2A	NUT family member 2B///NUT family member 2A
202827_s_at	5.07e-01	3.17e-01	-1.0225683	-5.921299	-0.2923251	MMP14	matrix metallopeptidase 14
215410_at	5.07e-01	3.17e-01	-1.0225632	-5.921304	-0.10529166	PMS2P9///PMS2P6///LOC441259///PMS2P5///PMS2P4///PMS2P1	PMS1 homolog 2, mismatch repair system component pseudogene 9///PMS1 homolog 2, mismatch repair system component pseudogene 6///PMS1 homolog 2, mismatch repair system component pseudogene///PMS1 homolog 2, mismatch repair system component pseudogene 5///PMS1 homolog 2, mismatch repair system component pseudogene 4///PMS1 homolog 2, mismatch repair system component pseudogene 1
201892_s_at	5.07e-01	3.17e-01	-1.0224069	-5.92146	-0.15472063	IMPDH2	inosine monophosphate dehydrogenase 2
221297_at	5.07e-01	3.17e-01	1.0223559	-5.92151	0.12185505	GPRC5D	G protein-coupled receptor class C group 5 member D
1564498_at	5.07e-01	3.17e-01	-1.0223455	-5.921521	-0.08794342		
237042_at	5.07e-01	3.17e-01	1.0222831	-5.921583	0.09781698		
241753_at	5.07e-01	3.17e-01	1.0221288	-5.921736	0.129479		
231834_at	5.07e-01	3.17e-01	1.0220197	-5.921844	0.09357898	RBM33	RNA binding motif protein 33
214775_at	5.07e-01	3.17e-01	1.0219781	-5.921886	0.1119402	N4BP3	NEDD4 binding protein 3
236711_at	5.07e-01	3.17e-01	1.0219681	-5.921896	0.08343953	ZIC4	Zic family member 4
229146_at	5.07e-01	3.17e-01	-1.0219552	-5.921908	-0.15573205	C7orf31	chromosome 7 open reading frame 31
214107_x_at	5.07e-01	3.17e-01	-1.0219106	-5.921953	-0.11577403	LOC440434	aminopeptidase puromycin sensitive pseudogene
223365_at	5.07e-01	3.17e-01	1.0219032	-5.92196	0.11921781	DHX37	DEAH-box helicase 37
1565389_s_at	5.07e-01	3.17e-01	1.0218821	-5.921981	0.10489467	GRM5	glutamate metabotropic receptor 5
237056_at	5.07e-01	3.17e-01	-1.0218796	-5.921984	-0.19717686	INSC	inscuteable homolog (Drosophila)
237628_at	5.07e-01	3.17e-01	1.0217658	-5.922097	0.09284229		
