ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
4669_at	3.57e-02	1.24e-02	-2.647774	-3.386338	-0.3096971	4669_at
54542_at	3.57e-02	1.24e-02	2.646916	-3.388223	0.1849317	54542_at
2175_at	3.58e-02	1.24e-02	-2.646497	-3.389142	-0.3601168	2175_at
5925_at	3.59e-02	1.24e-02	-2.645365	-3.39163	-0.2503278	5925_at
9043_at	3.59e-02	1.25e-02	2.645065	-3.392288	0.2358507	9043_at
26872_at	3.60e-02	1.25e-02	2.644139	-3.394319	0.4516218	26872_at
83475_at	3.60e-02	1.25e-02	-2.643553	-3.395605	-0.3997855	83475_at
6911_at	3.60e-02	1.25e-02	-2.643221	-3.396336	-0.7225608	6911_at
79184_at	3.61e-02	1.26e-02	-2.641807	-3.399437	-0.7604328	79184_at
5001_at	3.61e-02	1.26e-02	-2.641641	-3.399802	-0.2526658	5001_at
51177_at	3.62e-02	1.26e-02	2.641345	-3.400451	0.4816368	51177_at
220972_at	3.62e-02	1.26e-02	-2.640828	-3.401585	-0.140849	220972_at
4591_at	3.62e-02	1.26e-02	2.640386	-3.402553	0.2172604	4591_at
8732_at	3.64e-02	1.26e-02	-2.638798	-3.406036	-0.2520162	8732_at
3560_at	3.64e-02	1.27e-02	2.638419	-3.406866	0.5799038	3560_at
8471_at	3.64e-02	1.27e-02	-2.637788	-3.408249	-1.0158557	8471_at
1650_at	3.64e-02	1.27e-02	-2.637752	-3.408329	-0.2026576	1650_at
7311_at	3.64e-02	1.27e-02	2.63771	-3.408421	0.1375721	7311_at
23277_at	3.64e-02	1.27e-02	2.637475	-3.408936	0.2440476	23277_at
79689_at	3.65e-02	1.27e-02	-2.636301	-3.411509	-0.8772591	79689_at
2730_at	3.67e-02	1.28e-02	-2.634141	-3.416239	-0.3929398	2730_at
11102_at	3.67e-02	1.28e-02	-2.634051	-3.416437	-0.1740245	11102_at
27069_at	3.67e-02	1.28e-02	2.633577	-3.417473	0.1292252	27069_at
80183_at	3.67e-02	1.28e-02	2.633544	-3.417546	0.4633691	80183_at
3673_at	3.68e-02	1.28e-02	2.632928	-3.418895	0.4141417	3673_at
56143_at	3.68e-02	1.28e-02	-2.632802	-3.41917	-1.2869046	56143_at
5151_at	3.68e-02	1.28e-02	-2.632669	-3.419461	-0.209339	5151_at
378_at	3.68e-02	1.28e-02	2.632592	-3.419631	0.1371209	378_at
1112_at	3.68e-02	1.28e-02	-2.632528	-3.41977	-0.1490652	1112_at
7710_at	3.68e-02	1.28e-02	-2.632223	-3.420437	-1.303157	7710_at
5289_at	3.69e-02	1.29e-02	2.631064	-3.422975	0.1939719	5289_at
55863_at	3.69e-02	1.29e-02	2.630829	-3.423489	0.1856666	55863_at
23232_at	3.70e-02	1.29e-02	-2.629799	-3.425743	-0.1467195	23232_at
4311_at	3.70e-02	1.29e-02	2.629457	-3.426489	0.7119337	4311_at
