ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
A_24_P811704	2.73e-02	1.22e-02	-2.5806191	-3.501445	-0.8881128	PPFIBP1	PPFIA binding protein 1
A_23_P169909	2.73e-02	1.22e-02	-2.5802752	-3.5022466	-1.0392011	DGKI	diacylglycerol kinase iota
A_23_P328740	2.73e-02	1.22e-02	-2.5799955	-3.5028984	-0.728834		
A_23_P366426	2.73e-02	1.22e-02	-2.579963	-3.5029741	-0.9398591	L3MBTL4	l(3)mbt-like 4 (Drosophila)
A_24_P509306	2.73e-02	1.22e-02	-2.5798685	-3.5031943	-1.1028381		
A_23_P53267	2.74e-02	1.22e-02	-2.579712	-3.5035591	-0.5376563	RSRC2	arginine and serine rich coiled-coil 2
A_23_P160751	2.74e-02	1.22e-02	-2.5796713	-3.5036538	-1.2026656	FCRL2	Fc receptor like 2
A_24_P823381	2.74e-02	1.22e-02	-2.5796358	-3.5037366	-0.5654104	ZKSCAN3	zinc finger with KRAB and SCAN domains 3
A_23_P154457	2.74e-02	1.22e-02	-2.5794927	-3.50407	-0.7003931	NOL10	nucleolar protein 10
A_32_P111524	2.74e-02	1.22e-02	2.5794731	-3.5041158	0.7733809	ZNF664-FAM101A///ZNF664	filamin-interacting protein FAM101A///zinc finger protein 664
A_23_P200425	2.74e-02	1.22e-02	-2.5794393	-3.5041945	-0.4064612	S100PBP	S100P binding protein
A_23_P321913	2.74e-02	1.22e-02	2.5793783	-3.5043367	0.9642473	DEF6	DEF6, guanine nucleotide exchange factor
A_24_P393372	2.74e-02	1.22e-02	-2.5793276	-3.5044547	-0.4558485	PACS2	phosphofurin acidic cluster sorting protein 2
A_24_P283189	2.74e-02	1.22e-02	2.5791455	-3.504879	0.7543022	CD14	CD14 molecule
A_23_P306307	2.74e-02	1.22e-02	-2.5791025	-3.5049793	-1.0924598	OTOP1	otopetrin 1
A_24_P229658	2.74e-02	1.22e-02	-2.5787298	-3.5058475	-0.5898293		
A_23_P310483	2.74e-02	1.22e-02	2.5787172	-3.5058768	0.3794641	C8orf58	chromosome 8 open reading frame 58
A_32_P106512	2.74e-02	1.22e-02	-2.5786349	-3.5060686	-0.8293995		
A_23_P314526	2.74e-02	1.23e-02	2.5784429	-3.5065158	1.1534406	FLOT1	flotillin 1
A_23_P89431	2.74e-02	1.23e-02	-2.5783383	-3.5067596	-1.0259664	CCL2	C-C motif chemokine ligand 2
A_23_P141434	2.74e-02	1.23e-02	-2.5782517	-3.5069613	-0.7723386	ACACA	acetyl-CoA carboxylase alpha
A_24_P321634	2.74e-02	1.23e-02	-2.5781472	-3.5072046	-0.4310937	ZMYM5	zinc finger MYM-type containing 5
