ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
8837_at	2.85e-01	2.24e-02	-2.3438882	-3.53379	-0.27670693	8837_at
91543_at	2.85e-01	2.25e-02	2.3431256	-3.53536	0.6207302	91543_at
23185_at	2.85e-01	2.25e-02	-2.3425803	-3.53648	-0.14978295	23185_at
10939_at	2.85e-01	2.25e-02	2.3421879	-3.53728	0.27377917	10939_at
4358_at	2.85e-01	2.26e-02	2.341974	-3.53772	0.33123549	4358_at
59343_at	2.85e-01	2.26e-02	-2.3418318	-3.53801	-0.25777527	59343_at
24138_at	2.85e-01	2.26e-02	2.3415875	-3.53852	0.44858928	24138_at
23645_at	2.86e-01	2.27e-02	-2.3397667	-3.54225	-0.25641962	23645_at
57147_at	2.87e-01	2.28e-02	2.3370732	-3.54777	0.19268192	57147_at
23025_at	2.88e-01	2.29e-02	-2.3362519	-3.54945	-0.19116671	23025_at
2035_at	2.88e-01	2.29e-02	-2.3350458	-3.55192	-0.1556016	2035_at
57728_at	2.88e-01	2.30e-02	2.3337916	-3.55449	0.2507216	57728_at
9454_at	2.88e-01	2.30e-02	2.3336353	-3.55481	0.48296885	9454_at
85360_at	2.88e-01	2.30e-02	-2.3330925	-3.55592	-0.20427024	85360_at
81577_at	2.88e-01	2.31e-02	-2.3327641	-3.55659	-0.2310893	81577_at
51279_at	2.88e-01	2.31e-02	2.3323726	-3.55739	0.37887189	51279_at
116496_at	2.88e-01	2.31e-02	2.332129	-3.55789	0.4660846	116496_at
80868_at	2.89e-01	2.32e-02	-2.3303522	-3.56152	-0.29186726	80868_at
28513_at	2.90e-01	2.32e-02	-2.3297254	-3.56281	-0.15592182	28513_at
55062_at	2.90e-01	2.34e-02	-2.3272451	-3.56787	-0.4519325	55062_at
6748_at	2.90e-01	2.34e-02	2.3265953	-3.5692	0.38907054	6748_at
55793_at	2.90e-01	2.34e-02	2.3264619	-3.56947	0.27914694	55793_at
23133_at	2.90e-01	2.34e-02	-2.3259952	-3.57042	-0.18934319	23133_at
7803_at	2.90e-01	2.35e-02	-2.3259589	-3.5705	-0.35234716	7803_at
204851_at	2.90e-01	2.35e-02	-2.3257453	-3.57093	-0.17272462	204851_at
55848_at	2.90e-01	2.35e-02	2.3253961	-3.57165	0.30936613	55848_at
10772_at	2.90e-01	2.35e-02	2.3245506	-3.57337	0.32744233	10772_at
9344_at	2.90e-01	2.35e-02	-2.3244407	-3.5736	-0.1780082	9344_at
2694_at	2.90e-01	2.36e-02	-2.3228364	-3.57687	-0.22339323	2694_at
659_at	2.90e-01	2.36e-02	2.3225588	-3.57743	0.21915672	659_at
1448_at	2.90e-01	2.37e-02	-2.3222952	-3.57797	-0.21197218	1448_at
10129_at	2.90e-01	2.37e-02	-2.3219963	-3.57858	-0.34309832	10129_at
80153_at	2.90e-01	2.37e-02	-2.321414	-3.57977	-0.23484533	80153_at
54504_at	2.90e-01	2.37e-02	2.321249	-3.5801	0.70689342	54504_at
5318_at	2.90e-01	2.37e-02	-2.3211037	-3.5804	-0.28397754	5318_at
2119_at	2.90e-01	2.37e-02	-2.3210622	-3.58048	-0.3620359	2119_at
730227_at	2.90e-01	2.37e-02	-2.3209499	-3.58071	-0.27537671	730227_at
10396_at	2.91e-01	2.38e-02	-2.3201076	-3.58243	-0.20807638	10396_at
9177_at	2.91e-01	2.38e-02	-2.3195451	-3.58357	-0.25796875	9177_at
23412_at	2.91e-01	2.39e-02	2.3184717	-3.58576	0.33089081	23412_at
57669_at	2.91e-01	2.39e-02	-2.3183093	-3.58609	-0.29651835	57669_at
60490_at	2.91e-01	2.39e-02	2.3182914	-3.58612	0.30015141	60490_at
55630_at	2.91e-01	2.39e-02	-2.3179242	-3.58687	-0.57946015	55630_at
9697_at	2.91e-01	2.40e-02	2.316936	-3.58888	0.29689733	9697_at
100507331_at	2.91e-01	2.40e-02	-2.3168929	-3.58897	-0.29720619	100507331_at
27131_at	2.91e-01	2.40e-02	-2.3157794	-3.59123	-0.32648361	27131_at
9868_at	2.92e-01	2.41e-02	2.3140734	-3.5947	0.30636301	9868_at
10964_at	2.92e-01	2.42e-02	2.3129326	-3.59702	1.51265966	10964_at
9813_at	2.92e-01	2.42e-02	-2.3128902	-3.59711	-0.21807794	9813_at
10945_at	2.92e-01	2.42e-02	2.3128485	-3.59719	0.30577227	10945_at
64220_at	2.93e-01	2.43e-02	-2.3116896	-3.59954	-0.55750081	64220_at
54434_at	2.93e-01	2.43e-02	2.3107326	-3.60149	0.1677395	54434_at
5191_at	2.93e-01	2.44e-02	-2.3097951	-3.60339	-0.39044129	5191_at
25842_at	2.93e-01	2.44e-02	2.3096411	-3.6037	0.31624579	25842_at
5475_at	2.93e-01	2.44e-02	-2.309236	-3.60452	-0.3090395	5475_at
55601_at	2.94e-01	2.45e-02	2.3082504	-3.60652	0.74585974	55601_at
6934_at	2.94e-01	2.45e-02	-2.3073095	-3.60843	-0.20593618	6934_at
90410_at	2.94e-01	2.46e-02	2.3059802	-3.61113	0.25803832	90410_at
7805_at	2.94e-01	2.46e-02	2.3057209	-3.61165	1.37538767	7805_at
8074_at	2.94e-01	2.47e-02	-2.3049449	-3.61322	-0.2119534	8074_at
51012_at	2.94e-01	2.47e-02	-2.3047419	-3.61363	-0.39697055	51012_at
29882_at	2.94e-01	2.47e-02	2.3046907	-3.61374	0.25466416	29882_at
6181_at	2.94e-01	2.47e-02	2.3046447	-3.61383	0.51851025	6181_at
5672_at	2.94e-01	2.47e-02	-2.3045996	-3.61392	-0.51181503	5672_at
29901_at	2.94e-01	2.47e-02	2.3043915	-3.61434	0.36385022	29901_at
55909_at	2.94e-01	2.48e-02	2.3030604	-3.61704	0.20397972	55909_at
27235_at	2.94e-01	2.48e-02	2.3026302	-3.61791	0.41811247	27235_at
1278_at	2.94e-01	2.49e-02	2.302082	-3.61902	1.20627258	1278_at
10298_at	2.94e-01	2.49e-02	-2.301825	-3.61954	-0.19674367	10298_at
23753_at	2.94e-01	2.49e-02	2.3015314	-3.62013	0.469575	23753_at
4826_at	2.94e-01	2.49e-02	-2.3014542	-3.62029	-0.27274916	4826_at
10550_at	2.94e-01	2.49e-02	2.3010386	-3.62113	0.53717525	10550_at
55092_at	2.95e-01	2.50e-02	2.299259	-3.62473	0.33842652	55092_at
929_at	2.95e-01	2.51e-02	2.298643	-3.62597	0.90447502	929_at
112611_at	2.95e-01	2.51e-02	2.2985849	-3.62609	0.24975982	112611_at
79094_at	2.95e-01	2.51e-02	-2.2979319	-3.62741	-0.29568897	79094_at
29965_at	2.95e-01	2.51e-02	2.2977285	-3.62782	0.25309526	29965_at
5947_at	2.95e-01	2.52e-02	2.2970322	-3.62923	0.62456936	5947_at
7529_at	2.95e-01	2.52e-02	2.2968412	-3.62961	0.29031453	7529_at
8807_at	2.95e-01	2.52e-02	-2.2964471	-3.63041	-0.23717253	8807_at
2135_at	2.96e-01	2.53e-02	2.2948075	-3.63372	0.25131502	2135_at
125_at	2.96e-01	2.53e-02	2.2946109	-3.63412	1.15135433	125_at
1591_at	2.97e-01	2.54e-02	2.2935299	-3.6363	1.59383347	1591_at
49855_at	2.97e-01	2.54e-02	-2.2926142	-3.63814	-0.21015278	49855_at
5128_at	2.97e-01	2.55e-02	-2.2920729	-3.63924	-0.1959625	5128_at
8660_at	2.97e-01	2.55e-02	-2.2906809	-3.64204	-0.28671074	8660_at
22873_at	2.97e-01	2.55e-02	-2.290626	-3.64215	-0.30942822	22873_at
5816_at	2.97e-01	2.56e-02	-2.2901505	-3.64311	-1.23558927	5816_at
6866_at	2.97e-01	2.56e-02	-2.2894209	-3.64458	-0.35587735	6866_at
7596_at	2.97e-01	2.56e-02	2.2893393	-3.64474	0.25293507	7596_at
51131_at	2.97e-01	2.57e-02	2.2881783	-3.64708	0.43933979	51131_at
8678_at	2.97e-01	2.57e-02	2.2881627	-3.64711	0.22280464	8678_at
51322_at	2.97e-01	2.57e-02	2.2880959	-3.64725	0.20840697	51322_at
1579_at	2.97e-01	2.57e-02	-2.2879958	-3.64745	-0.88911313	1579_at
54872_at	2.97e-01	2.57e-02	2.2877856	-3.64787	0.38215876	54872_at
9702_at	2.97e-01	2.57e-02	2.287752	-3.64794	0.25621989	9702_at
6259_at	2.98e-01	2.58e-02	2.2863885	-3.65068	0.24732305	6259_at
10561_at	2.98e-01	2.59e-02	2.284987	-3.6535	1.20135377	10561_at
2974_at	2.98e-01	2.59e-02	-2.2848775	-3.65372	-0.2799581	2974_at
26058_at	2.98e-01	2.59e-02	2.284471	-3.65454	0.16227804	26058_at
2956_at	2.99e-01	2.60e-02	2.2826068	-3.65829	0.30875726	2956_at
51634_at	2.99e-01	2.61e-02	2.2818509	-3.65981	0.24320254	51634_at
55860_at	3.00e-01	2.61e-02	2.2809981	-3.66152	0.24821805	55860_at
80149_at	3.00e-01	2.62e-02	-2.2806415	-3.66224	-0.34336485	80149_at
9989_at	3.00e-01	2.62e-02	2.2794849	-3.66456	0.45269653	9989_at
53905_at	3.00e-01	2.63e-02	-2.2790411	-3.66545	-0.26408776	53905_at
51213_at	3.00e-01	2.63e-02	-2.2789477	-3.66564	-0.22859382	51213_at
2128_at	3.00e-01	2.63e-02	-2.2787624	-3.66601	-0.36653912	2128_at
3280_at	3.00e-01	2.63e-02	-2.2786512	-3.66623	-0.39258827	3280_at
8321_at	3.00e-01	2.63e-02	2.2782327	-3.66707	0.38763216	8321_at
10253_at	3.01e-01	2.65e-02	-2.2761422	-3.67126	-0.32712213	10253_at
55819_at	3.01e-01	2.65e-02	2.2760889	-3.67137	0.24654852	55819_at
56984_at	3.01e-01	2.65e-02	2.2747557	-3.67404	0.23146344	56984_at
8560_at	3.01e-01	2.66e-02	2.2732671	-3.67702	0.32144721	8560_at
55614_at	3.01e-01	2.66e-02	2.2732548	-3.67705	0.28328357	55614_at
29062_at	3.01e-01	2.66e-02	-2.2731907	-3.67718	-0.28354446	29062_at
8859_at	3.01e-01	2.66e-02	2.2731013	-3.67735	0.70289694	8859_at
56061_at	3.01e-01	2.67e-02	2.2726338	-3.67829	0.3519717	56061_at
9489_at	3.01e-01	2.67e-02	2.2725724	-3.67841	0.20810659	9489_at
3815_at	3.01e-01	2.67e-02	-2.2725023	-3.67855	-0.72456001	3815_at
87_at	3.01e-01	2.67e-02	2.2721424	-3.67927	0.88140592	87_at
56941_at	3.01e-01	2.67e-02	-2.2720335	-3.67949	-0.17702036	56941_at
3855_at	3.01e-01	2.67e-02	2.2719697	-3.67962	0.84627306	3855_at
4311_at	3.02e-01	2.69e-02	-2.2699386	-3.68368	-0.98390704	4311_at
778_at	3.02e-01	2.69e-02	-2.2698932	-3.68377	-0.29166348	778_at
54546_at	3.02e-01	2.69e-02	-2.2693559	-3.68485	-0.83434603	54546_at
1191_at	3.02e-01	2.69e-02	2.2685714	-3.68642	1.11646756	1191_at
80025_at	3.02e-01	2.70e-02	2.2676896	-3.68818	0.26006852	80025_at
10055_at	3.02e-01	2.70e-02	2.2675274	-3.6885	0.3838519	10055_at
51231_at	3.02e-01	2.70e-02	2.267032	-3.68949	0.25681435	51231_at
51129_at	3.02e-01	2.71e-02	-2.2661971	-3.69116	-0.29327169	51129_at
3109_at	3.02e-01	2.71e-02	2.2660107	-3.69153	0.82841694	3109_at
26228_at	3.03e-01	2.72e-02	-2.2650673	-3.69342	-0.83912205	26228_at
3263_at	3.03e-01	2.72e-02	-2.2644025	-3.69475	-0.23469212	3263_at
51347_at	3.03e-01	2.72e-02	2.2638258	-3.6959	0.32503463	51347_at
8915_at	3.03e-01	2.73e-02	-2.2636743	-3.6962	-0.36069373	8915_at
56911_at	3.04e-01	2.74e-02	2.2618605	-3.69982	0.35408669	56911_at
728448_at	3.04e-01	2.74e-02	-2.2614399	-3.70066	-0.2476109	728448_at
10665_at	3.04e-01	2.74e-02	-2.2611321	-3.70127	-0.17494076	10665_at
269_at	3.04e-01	2.75e-02	-2.2606691	-3.70219	-0.27785108	269_at
4204_at	3.04e-01	2.75e-02	-2.2605644	-3.7024	-0.16094013	4204_at
9796_at	3.04e-01	2.75e-02	-2.2604033	-3.70272	-0.320293	9796_at
25778_at	3.04e-01	2.75e-02	2.2598736	-3.70378	0.17201857	25778_at
1353_at	3.04e-01	2.75e-02	-2.2596189	-3.70428	-0.25336342	1353_at
5725_at	3.04e-01	2.76e-02	2.2586055	-3.7063	0.23978852	5725_at
80005_at	3.04e-01	2.76e-02	-2.2582385	-3.70703	-0.22852297	80005_at
6045_at	3.05e-01	2.77e-02	-2.2565438	-3.71041	-0.26357139	6045_at
6954_at	3.06e-01	2.78e-02	-2.2555497	-3.71239	-0.26218049	6954_at
54919_at	3.07e-01	2.80e-02	2.2524689	-3.71851	0.23331652	54919_at
7531_at	3.07e-01	2.80e-02	-2.2521807	-3.71908	-0.34385822	7531_at
54477_at	3.07e-01	2.81e-02	2.2516906	-3.72006	0.56183828	54477_at
481_at	3.07e-01	2.81e-02	-2.251427	-3.72058	-0.27480881	481_at
6434_at	3.07e-01	2.81e-02	2.2508386	-3.72175	0.22886152	6434_at
9411_at	3.07e-01	2.81e-02	2.2507195	-3.72199	0.57880572	9411_at
79602_at	3.08e-01	2.82e-02	-2.2497319	-3.72395	-0.24079637	79602_at
81034_at	3.09e-01	2.83e-02	-2.2478213	-3.72774	-0.40938814	81034_at
9487_at	3.09e-01	2.84e-02	-2.2471183	-3.72913	-0.31877139	9487_at
4682_at	3.10e-01	2.84e-02	2.2460884	-3.73118	0.26099824	4682_at
10916_at	3.10e-01	2.85e-02	2.2453476	-3.73264	0.21967938	10916_at
3954_at	3.10e-01	2.85e-02	-2.2445906	-3.73415	-0.25301934	3954_at
9520_at	3.11e-01	2.86e-02	2.2436999	-3.73591	0.19763833	9520_at
79915_at	3.11e-01	2.87e-02	-2.2426983	-3.73789	-0.26865244	79915_at
4300_at	3.11e-01	2.87e-02	2.2419496	-3.73938	0.25942398	4300_at
2005_at	3.11e-01	2.87e-02	-2.2418506	-3.73957	-0.1607842	2005_at
7556_at	3.12e-01	2.88e-02	-2.240655	-3.74194	-0.19219413	7556_at
55885_at	3.13e-01	2.89e-02	-2.2392793	-3.74466	-0.40045628	55885_at
83449_at	3.13e-01	2.89e-02	-2.2386081	-3.74599	-0.25854353	83449_at
