ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
220567_at	2.89e-06	5.11e-07	-5.61	5.466788	-2.55e-01	IKZF2	IKAROS family zinc finger 2
221821_s_at	2.90e-06	5.13e-07	5.61	5.46243	4.12e-01	KANSL2	KAT8 regulatory NSL complex subunit 2
220275_at	2.92e-06	5.16e-07	-5.61	5.45666	-2.47e-01	CUZD1	CUB and zona pellucida like domains 1
212507_at	2.93e-06	5.17e-07	5.61	5.454708	6.29e-01	TMEM131	transmembrane protein 131
201349_at	2.94e-06	5.20e-07	-5.61	5.450555	-4.64e-01	SLC9A3R1	SLC9A3 regulator 1
211387_x_at	2.95e-06	5.21e-07	-5.61	5.447511	-4.54e-01	RNGTT	RNA guanylyltransferase and 5'-phosphatase
206893_at	2.95e-06	5.22e-07	-5.61	5.446278	-1.06	SALL1	spalt like transcription factor 1
201678_s_at	2.96e-06	5.23e-07	5.61	5.443689	5.87e-01	HMCES	5-hydroxymethylcytosine (hmC) binding, ES cell-specific
213404_s_at	2.96e-06	5.24e-07	-5.61	5.442135	-4.20e-01	RHEB	Ras homolog enriched in brain
201403_s_at	2.97e-06	5.27e-07	5.61	5.43744	4.52e-01	MGST3	microsomal glutathione S-transferase 3
209443_at	3.00e-06	5.32e-07	5.60	5.427333	8.36e-01	SERPINA5	serpin family A member 5
221238_at	3.00e-06	5.32e-07	-5.60	5.427249	-2.56e-01	HMGN5	high mobility group nucleosome binding domain 5
215235_at	3.00e-06	5.32e-07	5.60	5.427159	5.11e-01	SPTAN1	spectrin alpha, non-erythrocytic 1
218700_s_at	3.01e-06	5.34e-07	-5.60	5.424452	-9.75e-01	RAB29	RAB29, member RAS oncogene family
205850_s_at	3.01e-06	5.34e-07	5.60	5.42431	5.28e-01	GABRB3	gamma-aminobutyric acid type A receptor beta3 subunit
203853_s_at	3.03e-06	5.37e-07	5.60	5.417563	3.58e-01	GAB2	GRB2 associated binding protein 2
208442_s_at	3.05e-06	5.40e-07	-5.60	5.411848	-5.99e-01	ATM	ATM serine/threonine kinase
64438_at	3.06e-06	5.44e-07	-5.60	5.40628	-2.63e-01	OGFOD3	2-oxoglutarate and iron dependent oxygenase domain containing 3
220347_at	3.07e-06	5.44e-07	-5.60	5.404682	-2.77e-01	SMG6	SMG6, nonsense mediated mRNA decay factor
203752_s_at	3.08e-06	5.47e-07	5.60	5.400316	6.95e-01	JUND	JunD proto-oncogene, AP-1 transcription factor subunit
222294_s_at	3.09e-06	5.49e-07	-5.59	5.395888	-9.50e-01	RAB27A	RAB27A, member RAS oncogene family
202301_s_at	3.11e-06	5.53e-07	5.59	5.389805	5.45e-01	RSRC2	arginine and serine rich coiled-coil 2
209420_s_at	3.11e-06	5.53e-07	-5.59	5.388983	-6.03e-01	SMPD1	sphingomyelin phosphodiesterase 1
204113_at	3.11e-06	5.53e-07	-5.59	5.388807	-4.84e-01	CELF1	CUGBP, Elav-like family member 1
203238_s_at	3.12e-06	5.55e-07	5.59	5.385466	5.03e-01	NOTCH3	notch 3
207151_at	3.13e-06	5.56e-07	-5.59	5.383561	-2.27e-01	ADCYAP1R1	ADCYAP receptor type I
211916_s_at	3.13e-06	5.56e-07	-5.59	5.383224	-3.72e-01	MYO1A	myosin IA
210621_s_at	3.13e-06	5.57e-07	5.59	5.382704	6.12e-01	RASA1	RAS p21 protein activator 1
214995_s_at	3.13e-06	5.57e-07	5.59	5.382423	3.59e-01	APOBEC3F///APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3F///apolipoprotein B mRNA editing enzyme catalytic subunit 3G
213559_s_at	3.17e-06	5.64e-07	-5.59	5.369482	-3.88e-01	ZNF467	zinc finger protein 467
206435_at	3.18e-06	5.65e-07	-5.59	5.367738	-3.25e-01	B4GALNT1	beta-1,4-N-acetyl-galactosaminyltransferase 1
212279_at	3.18e-06	5.66e-07	-5.59	5.366654	-8.73e-01	TMEM97	transmembrane protein 97
212977_at	3.18e-06	5.66e-07	5.59	5.36648	1.51	ACKR3	atypical chemokine receptor 3
